exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.443	chr5:55957209-55957291	-	IL6ST	ENST00000381298	0.01	HNRNPLL
chr12:57107605-57107743	-	STAT6	ENST00000300134	0.262	chr16:28845314-28845480	-	TUFM	ENST00000313511	0.01	HNRNPLL
chr19:13109915-13110001	-	TRMT1	ENST00000357720	0.322	chr12:49559453-49559535	-	MCRS1	ENST00000343810	0.01	HNRNPLL
chr8:22080805-22080870	+	DMTN	ENST00000358242	0.289	chr11:116837345-116837407	-	APOA1	ENST00000236850	-0.0	HNRNPLL
chr16:15047997-15048099	-	NTAN1	ENST00000287706	-0.189	chr5:179715899-179716000	+	CANX	ENST00000680984	-0.0	HNRNPLL
chr1:155253859-155253978	-	ENTREP3	ENST00000361361	-0.298	chr11:47179159-47179279	-	PACSIN3	ENST00000298838	0.0	HNRNPLL
chr1:155254400-155254456	-	ENTREP3	ENST00000361361	0.22	chr1:161306108-161306168	-	MPZ	ENST00000533357	0.0	HNRNPLL
chr12:123227463-123227616	-	MPHOSPH9	ENST00000606320	0.232	chr1:35408008-35408159	+	ZMYM4	ENST00000314607	-0.02	HNRNPLL
chr12:125136662-125136864	+	AACS	ENST00000316519	0.221	chr9:133043728-133043926	+	GTF3C5	ENST00000372097	-0.0	HNRNPLL
chr12:130795995-130796120	-	STX2	ENST00000392373	-0.461	chr17:39519956-39520087	+	CDK12	ENST00000447079	-0.0	HNRNPLL
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.318	chr3:38374462-38374502	+	XYLB	ENST00000207870	0.01	HNRNPLL
chr16:67664996-67665168	-	ENKD1	ENST00000243878	0.327	chr17:68541985-68542165	-	FAM20A	ENST00000592554	0.01	HNRNPLL
chr7:103307596-103307708	+	PMPCB	ENST00000249269	0.268	chr2:208245319-208245424	-	IDH1	ENST00000345146	-0.0	HNRNPLL
chr9:34220908-34220948	+	UBAP1	ENST00000297661	0.157	chr3:48807649-48807684	-	PRKAR2A	ENST00000265563	0.01	HNRNPLL
