exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.246	chr5:55957209-55957291	-	IL6ST	ENST00000381298	0.0	DDX5
chr3:66362860-66362929	+	SLC25A26	ENST00000354883	0.397	chr20:38983699-38983776	+	DHX35	ENST00000252011	-0.01	DDX5
chr16:119126-119255	-	NPRL3	ENST00000611875	0.295	chr11:970169-970311	+	AP2A2	ENST00000448903	-0.0	DDX5
chr2:159271702-159271795	-	WDSUB1	ENST00000359774	0.413	chr12:26411320-26411412	-	ITPR2	ENST00000381340	0.01	DDX5
chrX:102600920-102601032	+	ARMCX5	ENST00000473968	-0.504	chr15:52247458-52247592	-	MYO5C	ENST00000261839	0.01	DDX5
chr2:38300272-38300328	-	ATL2	ENST00000378954	-0.172	chr7:105472132-105472193	-	PUS7	ENST00000469408	-0.02	DDX5
chr2:208304846-208305013	+	PIKFYVE	ENST00000264380	-0.326	chr4:186595689-186595826	-	FAT1	ENST00000441802	0.0	DDX5
chr17:64502010-64502069	-	DDX5	ENST00000225792	-0.347	chr14:35096558-35096633	-	PPP2R3C	ENST00000261475	0.01	DDX5
chr5:60599075-60599260	-	DEPDC1B	ENST00000265036	-0.196	chr3:78600113-78600309	-	ROBO1	ENST00000464233	-0.0	DDX5
chr10:104010816-104010908	+	SLK	ENST00000369755	0.289	chr12:95485879-95485981	+	METAP2	ENST00000323666	0.0	DDX5
chr12:879573-880031	+	WNK1	ENST00000315939	-0.161	chr19:5648989-5649499	+	SAFB	ENST00000588852	-0.01	DDX5
chr8:22412037-22412206	+	SLC39A14	ENST00000381237	-0.231	chr1:154929024-154929176	-	PMVK	ENST00000368467	-0.02	DDX5
chr15:29719777-29720016	-	TJP1	ENST00000614355	0.344	chr4:68930546-68930765	-	UGT2A3	ENST00000251566	0.01	DDX5
chr2:152679056-152679109	-	PRPF40A	ENST00000545856	-0.114	chr12:96297270-96297332	-	CDK17	ENST00000261211	-0.02	DDX5
chr18:58335478-58335537	+	NEDD4L	ENST00000400345	0.203	chrX:108202928-108202981	-	COL4A6	ENST00000334504	-0.01	DDX5
chr12:50453460-50453672	+	LARP4	ENST00000398473	-0.261	chr9:100329931-100330169	-	TEX10	ENST00000374902	0.02	DDX5
chr4:40935077-40935139	-	APBB2	ENST00000508593	-0.303	chr17:78702538-78702604	-	CYTH1	ENST00000446868	-0.0	DDX5
chr8:73030336-73030395	+	TERF1	ENST00000276603	0.469	chr6:138917555-138917624	-	REPS1	ENST00000258062	-0.01	DDX5
chr8:17554560-17554699	+	SLC7A2	ENST00000494857	-0.372	chr4:39866861-39866997	-	PDS5A	ENST00000303538	0.01	DDX5
chr1:45607321-45608337	+	NASP	ENST00000350030	-0.173	chr5:132896323-132897240	-	AFF4	ENST00000265343	0.0	DDX5
chr10:114447880-114448020	-	ABLIM1	ENST00000533213	-0.142	chr10:114447880-114448026	-	ABLIM1	ENST00000369256	0.02	DDX5
chr5:66158809-66158932	+	SREK1	ENST00000380918	0.223	chr1:98691075-98691185	+	SNX7	ENST00000306121	0.01	DDX5
chr19:44914672-44914733	+	APOC1	ENST00000588750	-0.224	chrX:154448893-154448954	+	FAM50A	ENST00000393600	-0.0	DDX5
chr1:155268708-155268792	-	CLK2	ENST00000355560	-0.305	chr17:81893104-81893187	+	ANAPC11	ENST00000577747	-0.02	DDX5
chr8:17554946-17555082	+	SLC7A2	ENST00000470360	0.167	chr12:24832723-24832863	-	BCAT1	ENST00000261192	0.01	DDX5
chr5:36208625-36208690	-	NADK2	ENST00000506945	-0.209	chr5:87383713-87383780	+	RASA1	ENST00000274376	-0.01	DDX5
chr2:164727106-164727144	-	COBLL1	ENST00000629362	0.151	chr2:182994839-182994887	-	NCKAP1	ENST00000361354	0.01	DDX5
chr4:82830937-82830975	-	SEC31A	ENST00000503937	0.403	chr2:227550059-227550106	+	AGFG1	ENST00000458212	-0.0	DDX5
