exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr19:52774575-52774701	-	ZNF600	ENST00000692063	-0.409	chr1:15643522-15643650	+	DDI2	ENST00000480945	-0.01	PUF60
chr6:143947985-143948460	-	PLAGL1	ENST00000674357	-0.469	chr1:179043715-179044224	+	FAM20B	ENST00000263733	-0.02	PUF60
chrX:30727466-30727552	+	GK	ENST00000427190	-0.249	chr5:55957209-55957291	-	IL6ST	ENST00000381298	-0.0	PUF60
chr2:130173279-130173354	-	SMPD4	ENST00000680298	-0.317	chrX:54811250-54811313	+	MAGED2	ENST00000375068	-0.0	PUF60
chr2:130161186-130161272	-	SMPD4	ENST00000680298	-0.4	chr22:35338713-35338788	+	TOM1	ENST00000449058	-0.0	PUF60
chr17:59880894-59881110	-	TUBD1	ENST00000325752	-0.467	chr1:235154881-235155112	-	RBM34	ENST00000408888	0.02	PUF60
chr15:62783771-62783890	+	TLN2	ENST00000636159	-0.438	chrX:2726260-2726373	+	CD99	ENST00000381192	-0.0	PUF60
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	-0.306	chr4:99048733-99048876	+	METAP1	ENST00000296411	-0.01	PUF60
chr7:29367932-29367987	+	CHN2	ENST00000222792	-0.259	chr9:124384598-124384656	-	PSMB7	ENST00000259457	-0.0	PUF60
chr2:61162842-61162955	+	C2orf74	ENST00000432605	-0.196	chr8:58585898-58586000	-	NSMAF	ENST00000038176	-0.02	PUF60
chr6:110160635-110160732	-	WASF1	ENST00000392589	-0.555	chr10:117318872-117318974	-	PDZD8	ENST00000334464	-0.02	PUF60
chr20:18545956-18546033	+	SEC23B	ENST00000650089	-0.31	chr19:9614021-9614103	-	ZNF561	ENST00000302851	-0.01	PUF60
chrX:47091678-47091809	+	RGN	ENST00000397180	-0.621	chr5:171391305-171391424	+	NPM1	ENST00000296930	-0.0	PUF60
chr1:147270932-147271005	+	CHD1L	ENST00000369258	-0.47	chr1:109413068-109413135	-	PSMA5	ENST00000271308	0.0	PUF60
chrX:47089776-47089991	+	RGN	ENST00000397180	-0.498	chr10:92024756-92024967	+	BTAF1	ENST00000265990	-0.01	PUF60
chr3:66362860-66362929	+	SLC25A26	ENST00000354883	-0.229	chr13:100257595-100257673	+	PCCA	ENST00000376285	0.0	PUF60
chr1:147254870-147254976	+	CHD1L	ENST00000369258	-0.238	chr2:169821943-169822057	-	METTL5	ENST00000260953	-0.0	PUF60
chr3:66346364-66346408	+	SLC25A26	ENST00000354883	-0.313	chr14:37396976-37397014	+	MIPOL1	ENST00000553349	-0.01	PUF60
chr1:147284351-147284499	+	CHD1L	ENST00000369258	-0.319	chr8:22527392-22527517	+	PPP3CC	ENST00000240139	0.02	PUF60
chr1:147272171-147272281	+	CHD1L	ENST00000369258	-0.171	chr18:24125427-24125550	+	TTC39C	ENST00000317571	-0.0	PUF60
chr16:89114339-89114487	+	ACSF3	ENST00000614302	0.14	chr10:6226192-6226365	+	PFKFB3	ENST00000379775	0.01	PUF60
chr17:59874539-59874703	-	TUBD1	ENST00000325752	-0.468	chr11:68166982-68167178	-	KMT5B	ENST00000304363	0.01	PUF60
chr1:147252623-147252735	+	CHD1L	ENST00000369258	-0.326	chr12:49749618-49749734	+	TMBIM6	ENST00000549966	-0.0	PUF60
chr10:71344209-71344291	+	SLC29A3	ENST00000373189	-0.224	chr17:38890420-38890504	+	LASP1	ENST00000318008	-0.0	PUF60
chr3:66236544-66236700	+	SLC25A26	ENST00000354883	-0.267	chr3:33425590-33425741	-	UBP1	ENST00000283629	-0.01	PUF60
chr1:147280026-147280191	+	CHD1L	ENST00000369258	-0.427	chr20:5977876-5978017	+	ENSG00000286235	ENST00000652720	-0.01	PUF60
chr2:17771196-17771287	+	GEN1	ENST00000381254	0.279	chr13:79551017-79551101	+	NDFIP2	ENST00000703122	-0.01	PUF60
chr8:42319585-42319646	+	IKBKB	ENST00000520810	-0.465	chr2:38779258-38779325	+	GEMIN6	ENST00000409011	-0.0	PUF60
chr14:103574107-103574170	+	COA8	ENST00000409074	-0.667	chr7:102407434-102407498	+	PRKRIP1	ENST00000397912	-0.02	PUF60
chr1:236861125-236861277	+	MTR	ENST00000366577	-0.278	chr10:68968976-68969121	+	DDX21	ENST00000354185	-0.0	PUF60
chr9:133690380-133690527	-	SARDH	ENST00000439388	-0.157	chr11:977095-977224	+	AP2A2	ENST00000448903	0.01	PUF60
chr11:126018330-126018473	-	CDON	ENST00000531738	-0.327	chr15:43769497-43769646	+	PDIA3	ENST00000688851	-0.0	PUF60
chr6:21108401-21108463	+	CDKAL1	ENST00000274695	-0.278	chr10:74224538-74224591	+	ADK	ENST00000539909	-0.02	PUF60
chr19:56817746-56817835	-	PEG3	ENST00000326441	-0.127	chrX:71459150-71459251	+	TAF1	ENST00000683202	0.0	PUF60
chr14:94581615-94581710	+	SERPINA5	ENST00000329597	-0.153	chr3:184352013-184352117	-	CLCN2	ENST00000265593	0.01	PUF60
chr13:112878217-112878303	+	ATP11A	ENST00000375645	-0.864	chr22:23292541-23292638	+	BCR	ENST00000305877	0.01	PUF60
chr15:45603100-45603187	+	BLOC1S6	ENST00000220531	-0.502	chr14:67374468-67374547	+	EIF2S1	ENST00000256383	-0.01	PUF60
chr8:22080805-22080870	+	DMTN	ENST00000358242	0.205	chr22:40407789-40407843	+	SGSM3	ENST00000248929	-0.02	PUF60
chr5:138566626-138566718	-	HSPA9	ENST00000297185	-0.11	chr17:8535387-8535501	-	MYH10	ENST00000360416	0.0	PUF60
chr3:183833724-183833825	-	PARL	ENST00000317096	-0.218	chr17:2292871-2292977	-	SMG6	ENST00000263073	-0.01	PUF60
chr1:110951288-110952815	-	LRIF1	ENST00000369763	-0.193	chr11:77700721-77702495	-	RSF1	ENST00000308488	0.01	PUF60
chr3:180988178-180988229	-	DNAJC19	ENST00000382564	-0.147	chr16:4872884-4872934	+	UBN1	ENST00000262376	-0.02	PUF60
chr3:183092409-183092545	-	MCCC1	ENST00000265594	-0.258	chr1:30950127-30950261	-	PUM1	ENST00000426105	0.0	PUF60
chr12:120695095-120695152	+	MLEC	ENST00000228506	-0.114	chr2:27499397-27499450	+	GCKR	ENST00000264717	-0.02	PUF60
chr1:111124742-111124881	-	DRAM2	ENST00000484310	-0.434	chr3:186577668-186577800	+	DNAJB11	ENST00000265028	-0.0	PUF60
chr3:183833492-183833589	-	PARL	ENST00000317096	-0.162	chr2:108383416-108383510	+	SULT1C4	ENST00000272452	-0.01	PUF60
chr3:172511617-172511659	-	TNFSF10	ENST00000241261	-0.198	chr2:202210735-202210783	-	SUMO1	ENST00000409181	-0.02	PUF60
