exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr12:102164438-102164608	+	PARPBP	ENST00000327680	0.257	chr2:206786733-206786899	+	FASTKD2	ENST00000402774	0.0	PSIP1
chr9:109422718-109422852	-	PTPN3	ENST00000374541	-0.356	chr2:85644948-85645083	+	USP39	ENST00000323701	-0.01	PSIP1
chr19:19880051-19880146	+	ZNF253	ENST00000589717	-0.351	chr15:80122700-80122800	+	ZFAND6	ENST00000261749	-0.0	PSIP1
chr2:72961131-72961248	-	SFXN5	ENST00000272433	0.528	chr2:47011331-47011435	+	TTC7A	ENST00000319190	-0.01	PSIP1
chr3:121719646-121719768	-	GOLGB1	ENST00000614479	0.391	chr3:25737334-25737455	-	NGLY1	ENST00000280700	-0.01	PSIP1
chr17:42762355-42762463	+	RAMP2	ENST00000253796	-0.238	chr11:47424607-47424711	-	PSMC3	ENST00000298852	0.0	PSIP1
chr18:34829400-34829489	+	DTNA	ENST00000444659	0.178	chr7:38219565-38219660	+	STARD3NL	ENST00000009041	0.01	PSIP1
chr15:63061713-63061788	+	TPM1	ENST00000403994	0.165	chr6:79202317-79202389	-	HMGN3	ENST00000275036	0.0	PSIP1
chr3:134558142-134558347	+	CEP63	ENST00000675561	0.238	chr6:7601336-7601524	+	SNRNP48	ENST00000342415	-0.01	PSIP1
chr4:53391430-53391498	+	FIP1L1	ENST00000337488	0.281	chr6:127326496-127326574	-	ECHDC1	ENST00000436638	-0.0	PSIP1
chrX:17744071-17744219	+	SCML1	ENST00000380041	0.237	chr1:220196250-220196398	-	RAB3GAP2	ENST00000358951	0.01	PSIP1
chr10:50862889-50862981	-	A1CF	ENST00000395489	0.305	chr12:89601326-89601433	-	ATP2B1	ENST00000428670	0.02	PSIP1
chr17:42762340-42762463	+	RAMP2	ENST00000587142	-0.442	chr17:75225698-75225829	+	NUP85	ENST00000245544	-0.0	PSIP1
