exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.262	chr22:35338713-35338788	+	TOM1	ENST00000449058	0.0	NCBP2
chr1:41007449-41007545	+	CTPS1	ENST00000650070	-0.165	chr22:37958374-37958471	+	POLR2F	ENST00000492213	0.01	NCBP2
chr11:6548645-6548933	+	DNHD1	ENST00000254579	-0.301	chr15:52204865-52205147	-	MYO5C	ENST00000261839	-0.01	NCBP2
chr11:6520238-6520289	+	DNHD1	ENST00000254579	-0.402	chr7:123557404-123557448	-	NDUFA5	ENST00000355749	-0.0	NCBP2
chr2:43824889-43825018	-	ABCG5	ENST00000405322	-0.326	chr2:127865683-127865810	-	AMMECR1L	ENST00000680603	0.01	NCBP2
chr8:54010430-54010492	-	TCEA1	ENST00000521604	0.382	chr15:42199896-42199961	-	VPS39	ENST00000318006	-0.01	NCBP2
chr12:102843646-102843779	-	PAH	ENST00000553106	-0.141	chr9:132900715-132900837	-	TSC1	ENST00000298552	0.01	NCBP2
chr1:100140182-100140251	+	TRMT13	ENST00000370141	-0.348	chr14:49802669-49802727	-	NEMF	ENST00000298310	-0.01	NCBP2
chr3:25720014-25720191	-	NGLY1	ENST00000280700	-0.27	chr18:58709378-58709556	+	MALT1	ENST00000649217	0.01	NCBP2
chr3:120644319-120644443	-	HGD	ENST00000283871	-0.198	chr9:125323798-125323923	+	GAPVD1	ENST00000297933	0.0	NCBP2
chr3:120646267-120646366	-	HGD	ENST00000283871	-0.175	chr12:121330583-121330672	-	ANAPC5	ENST00000261819	-0.01	NCBP2
chr1:155133503-155133568	+	EFNA1	ENST00000368407	-0.128	chr11:62627289-62627353	-	GANAB	ENST00000356638	0.0	NCBP2
chr15:77365163-77365225	-	PEAK1	ENST00000682557	-0.269	chr10:74224538-74224591	+	ADK	ENST00000539909	0.0	NCBP2
chr3:142743485-142743586	+	TRPC1	ENST00000476941	0.217	chr16:53262987-53263097	+	CHD9	ENST00000447540	-0.01	NCBP2
chr1:11828458-11828624	+	CLCN6	ENST00000346436	-0.268	chr2:27222866-27223037	+	CAD	ENST00000264705	-0.01	NCBP2
chr7:32580219-32580272	+	AVL9	ENST00000318709	-0.205	chr1:179913586-179913630	+	TOR1AIP1	ENST00000271583	0.01	NCBP2
chr19:36006423-36006671	-	SYNE4	ENST00000324444	-0.299	chr11:63913954-63914169	-	RCOR2	ENST00000301459	0.0	NCBP2
chr19:36008217-36008367	-	SYNE4	ENST00000324444	-0.234	chr7:56078364-56078508	+	SUMF2	ENST00000434526	-0.0	NCBP2
chr11:65047475-65047565	-	NAALADL1	ENST00000358658	0.4	chr16:1964276-1964365	-	RPS2	ENST00000343262	-0.0	NCBP2
chr4:83107804-83107950	-	PLAC8	ENST00000311507	-0.131	chr17:48839376-48839511	+	CALCOCO2	ENST00000570513	0.01	NCBP2
chr19:15886242-15886308	-	CYP4F2	ENST00000221700	-0.236	chr19:15652569-15652635	+	CYP4F3	ENST00000221307	-0.02	NCBP2
chr4:84808334-84808417	-	WDFY3	ENST00000295888	0.302	chr10:32906465-32906562	-	ITGB1	ENST00000676659	0.01	NCBP2
chr19:58498785-58498915	-	SLC27A5	ENST00000263093	-0.245	chr10:100978849-100979018	+	SEMA4G	ENST00000210633	-0.01	NCBP2
chr3:50110379-50110463	+	RBM5	ENST00000347869	-0.15	chr1:39571607-39571705	-	PABPC4	ENST00000474378	0.0	NCBP2
chr3:50104248-50104308	+	RBM5	ENST00000347869	-0.413	chr19:11724194-11724254	-	ZNF823	ENST00000341191	-0.02	NCBP2
chr3:50100532-50100605	+	RBM5	ENST00000347869	-0.344	chr15:66323493-66323585	+	DIS3L	ENST00000319212	0.02	NCBP2
chr19:44217791-44217852	+	ZNF227	ENST00000313040	-0.285	chr2:32406499-32406557	+	BIRC6	ENST00000421745	-0.02	NCBP2
chr19:47069092-47069343	-	ZC3H4	ENST00000253048	-0.325	chr12:113164067-113164285	-	DDX54	ENST00000306014	0.01	NCBP2
chr15:101286214-101286293	-	SNRPA1	ENST00000254193	-0.164	chr13:75841109-75841201	+	LMO7	ENST00000377534	-0.02	NCBP2
chr1:45690974-45691110	+	TMEM69	ENST00000372025	-0.281	chr7:56017234-56017379	-	PSPH	ENST00000275605	-0.0	NCBP2
chr13:39042105-39042305	+	NHLRC3	ENST00000379600	0.256	chr14:35312863-35313059	+	PSMA6	ENST00000553809	-0.0	NCBP2
chr2:113717753-113717850	-	SLC35F5	ENST00000245680	-0.121	chr15:72563394-72563500	+	ARIH1	ENST00000379887	-0.0	NCBP2
chr9:96343904-96343996	-	SLC35D2	ENST00000253270	0.336	chr1:162805394-162805492	+	HSD17B7	ENST00000254521	-0.0	NCBP2
chr14:74290027-74290118	-	ABCD4	ENST00000356924	-0.214	chr12:6550695-6550790	-	IFFO1	ENST00000619571	-0.01	NCBP2
chr14:74299548-74299675	-	ABCD4	ENST00000356924	-0.382	chr5:177594139-177594285	+	TMED9	ENST00000332598	0.0	NCBP2
chr21:46663383-46663554	+	PRMT2	ENST00000355680	-0.221	chr1:2145338-2145511	+	PRKCZ	ENST00000486681	0.01	NCBP2
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.229	chr16:28835933-28836122	+	ATXN2L	ENST00000340394	-0.01	NCBP2
chr8:123253322-123256171	-	ZHX1	ENST00000395571	-0.305	chr11:77700721-77702495	-	RSF1	ENST00000308488	0.01	NCBP2
chr20:23367003-23367097	+	GZF1	ENST00000338121	-0.274	chr2:47820362-47820456	-	FBXO11	ENST00000403359	-0.0	NCBP2
