exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr12:109579802-109579946	+	MVK	ENST00000228510	-0.204	chr20:25213263-25213406	+	ENTPD6	ENST00000376652	0.0	EFTUD2
chr12:109581395-109581550	+	MVK	ENST00000228510	-0.222	chr7:100817192-100817357	-	EPHB4	ENST00000358173	-0.01	EFTUD2
chr7:44535840-44535968	-	NPC1L1	ENST00000381160	-0.367	chr6:31150066-31150215	-	CCHCR1	ENST00000396268	0.02	EFTUD2
chr11:59143497-59143695	+	FAM111A	ENST00000675163	-0.396	chr3:185494623-185494761	-	TMEM41A	ENST00000421852	0.01	EFTUD2
chr13:41355144-41355216	+	NAA16	ENST00000379406	-0.272	chrX:30691123-30691199	+	GK	ENST00000427190	-0.02	EFTUD2
chr13:39034131-39034196	-	PROSER1	ENST00000352251	0.398	chr11:87305936-87306005	+	TMEM135	ENST00000305494	0.01	EFTUD2
chr14:74034028-74034171	+	BBOF1	ENST00000394009	-0.421	chr2:200383867-200384017	+	SPATS2L	ENST00000428692	-0.02	EFTUD2
chr15:67727916-67727945	+	MAP2K5	ENST00000178640	-0.225	chr17:8589081-8589108	-	MYH10	ENST00000360416	0.01	EFTUD2
chr13:114286302-114286400	+	UPF3A	ENST00000375299	0.311	chr10:5921258-5921357	+	FBH1	ENST00000362091	0.0	EFTUD2
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.21	chr2:43896634-43896708	-	LRPPRC	ENST00000260665	-0.01	EFTUD2
chr13:25251649-25251775	-	MTMR6	ENST00000381801	-0.2	chr3:25632446-25632583	-	TOP2B	ENST00000264331	-0.01	EFTUD2
chr2:222900674-222900780	+	ACSL3	ENST00000357430	-0.179	chr13:98377821-98377918	+	FARP1	ENST00000319562	0.0	EFTUD2
chr16:84740309-84740369	+	USP10	ENST00000219473	-0.247	chr7:24820175-24820238	-	OSBPL3	ENST00000313367	-0.02	EFTUD2
