exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.229	chr22:35338713-35338788	+	TOM1	ENST00000449058	0.02	ADAR
chr11:47259180-47259259	+	NR1H3	ENST00000441012	0.442	chr20:37401602-37401678	+	SRC	ENST00000373578	-0.01	ADAR
chr20:49850810-49850844	+	SLC9A8	ENST00000361573	0.612	chr15:84679932-84679969	-	SEC11A	ENST00000560266	-0.0	ADAR
chr9:96852853-96853069	-	ZNF782	ENST00000481138	0.576	chr15:72349079-72349259	-	HEXA	ENST00000268097	-0.0	ADAR
chr9:133465322-133465447	+	CACFD1	ENST00000316948	-0.273	chr7:857828-857957	+	SUN1	ENST00000401592	-0.01	ADAR
chr13:75809154-75809183	+	LMO7	ENST00000377534	0.276	chr2:32175319-32175361	+	SLC30A6	ENST00000282587	0.01	ADAR
chr19:42511576-42511628	-	CEACAM1	ENST00000161559	0.208	chr2:219174146-219174207	-	CNPPD1	ENST00000360507	-0.02	ADAR
chr9:125962102-125962214	+	PBX3	ENST00000373489	-0.522	chr6:79202276-79202389	-	HMGN3	ENST00000344726	0.01	ADAR
chr12:56160626-56160670	+	MYL6	ENST00000550697	0.16	chr11:47173426-47173482	-	ARFGAP2	ENST00000524782	-0.01	ADAR
chr11:57791385-57791673	+	CTNND1	ENST00000399050	0.259	chr12:95956685-95956962	+	AMDHD1	ENST00000266736	-0.0	ADAR
chr9:36390467-36390616	-	RNF38	ENST00000259605	-0.424	chr11:36648016-36648155	+	IFTAP	ENST00000334307	-0.02	ADAR
chr2:95405277-95405402	+	FAHD2A	ENST00000447036	-0.51	chr19:11120092-11120233	+	LDLR	ENST00000558518	-0.01	ADAR
chr19:44914672-44914733	+	APOC1	ENST00000588750	0.115	chr1:161306108-161306168	-	MPZ	ENST00000533357	-0.0	ADAR
chr4:39062559-39063035	+	KLHL5	ENST00000261425	0.412	chrX:107088436-107088839	-	RBM41	ENST00000685964	0.02	ADAR
chr17:50975863-50975901	-	SPAG9	ENST00000510283	0.224	chr9:83975462-83975505	-	HNRNPK	ENST00000376263	-0.0	ADAR
chr20:49850762-49850844	+	SLC9A8	ENST00000417961	0.715	chrX:68513327-68513405	+	YIPF6	ENST00000462683	-0.01	ADAR
chr8:130361670-130361771	-	ASAP1	ENST00000357668	0.383	chr13:111205289-111205373	+	ARHGEF7	ENST00000646102	-0.02	ADAR
chr11:57791494-57791673	+	CTNND1	ENST00000532844	0.266	chr3:47590661-47590837	-	SMARCC1	ENST00000254480	-0.01	ADAR
chr11:57791492-57791673	+	CTNND1	ENST00000534579	0.264	chrX:18951104-18951272	-	PHKA2	ENST00000379942	0.02	ADAR
chr12:3863836-3863957	-	PARP11	ENST00000427057	0.362	chrX:133692369-133692494	-	GPC3	ENST00000370818	0.0	ADAR
chr2:63842059-63842204	+	UGP2	ENST00000484142	-0.223	chr13:51451025-51451174	-	INTS6	ENST00000311234	0.01	ADAR
chr4:102827592-102827741	-	UBE2D3	ENST00000502690	0.209	chr22:50438599-50438762	+	PPP6R2	ENST00000612753	-0.01	ADAR
