exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr4:127989721-127989821	+	ABHD18	ENST00000645843	0.381	chr8:73825147-73825249	-	UBE2W	ENST00000602593	-0.0	RBM5
chr4:158235438-158235505	+	TMEM144	ENST00000296529	0.241	chr2:32144937-32145007	+	SPAST	ENST00000315285	0.02	RBM5
chr11:65047475-65047565	-	NAALADL1	ENST00000358658	0.406	chr16:1964276-1964365	-	RPS2	ENST00000343262	-0.0	RBM5
chr16:69121053-69121170	-	CHTF8	ENST00000448552	0.365	chr1:151401239-151401355	+	PSMB4	ENST00000290541	0.01	RBM5
chr19:35042453-35042522	+	HPN	ENST00000672452	0.259	chr20:57393279-57393333	+	RBM38	ENST00000356208	-0.0	RBM5
chr11:850288-850367	+	TSPAN4	ENST00000397397	0.362	chr19:13090299-13090390	+	NFIX	ENST00000592199	0.01	RBM5
chr9:70346605-70346649	+	SMC5	ENST00000361138	0.283	chr2:110670525-110670568	-	BUB1	ENST00000302759	0.02	RBM5
chr2:169538013-169538141	-	FASTKD1	ENST00000453153	0.355	chr6:143862104-143862243	+	LTV1	ENST00000367576	0.0	RBM5
chr7:95367362-95367488	-	PON3	ENST00000265627	0.331	chr17:47132257-47132374	-	CDC27	ENST00000066544	0.01	RBM5
chr20:35280654-35280829	-	EIF6	ENST00000374450	0.165	chr7:100553347-100553500	+	AGFG2	ENST00000300176	-0.01	RBM5
chr14:37499908-37500138	+	MIPOL1	ENST00000684589	0.229	chr1:88740988-88741288	+	PKN2	ENST00000370521	0.02	RBM5
chr1:212887891-212888001	+	FLVCR1	ENST00000366971	0.29	chr6:159785900-159785997	-	TCP1	ENST00000321394	0.0	RBM5
chr2:219247113-219247246	+	STK16	ENST00000396738	0.18	chr2:219181062-219181205	+	RETREG2	ENST00000430297	-0.01	RBM5
chr6:30204656-30204765	-	TRIM26	ENST00000454678	0.329	chr12:122319232-122319348	-	CLIP1	ENST00000620786	0.01	RBM5
chr16:84744633-84745673	+	USP10	ENST00000219473	0.341	chr3:47056821-47057490	-	SETD2	ENST00000409792	-0.01	RBM5
chr16:84740309-84740369	+	USP10	ENST00000219473	0.203	chr3:50054335-50054395	+	RBM6	ENST00000266022	0.01	RBM5
chr17:50463818-50463909	+	ACSF2	ENST00000300441	0.243	chr1:154551397-154551492	-	UBE2Q1	ENST00000292211	-0.0	RBM5
chr17:81893552-81893614	+	ANAPC11	ENST00000344877	0.364	chr11:70415663-70415717	+	CTTN	ENST00000301843	0.01	RBM5
chr11:102209517-102209564	+	YAP1	ENST00000282441	0.303	chr12:42355161-42355222	+	PPHLN1	ENST00000358314	0.01	RBM5
chr8:43173713-43173743	+	HGSNAT	ENST00000379644	0.224	chr12:890453-890510	+	WNK1	ENST00000535572	0.02	RBM5
chr4:40935077-40935139	-	APBB2	ENST00000508593	0.491	chr5:171400153-171400210	+	NPM1	ENST00000296930	0.0	RBM5
chr12:42351885-42352049	+	PPHLN1	ENST00000358314	0.351	chr15:75929884-75930049	+	FBXO22	ENST00000308275	0.01	RBM5
chr14:88875026-88875109	+	TTC8	ENST00000380656	0.326	chr10:120880826-120880901	+	WDR11	ENST00000263461	0.02	RBM5
chr3:12902773-12902822	-	IQSEC1	ENST00000613206	0.17	chr6:43774341-43774392	+	VEGFA	ENST00000672860	0.0	RBM5
chr7:102395977-102396537	+	PRKRIP1	ENST00000496391	0.172	chr19:5245776-5246045	-	PTPRS	ENST00000262963	0.0	RBM5
chr22:36253838-36253991	+	APOL1	ENST00000319136	-0.364	chr14:94590749-94590896	+	SERPINA5	ENST00000329597	-0.0	RBM5
chr4:1802914-1803064	+	FGFR3	ENST00000340107	0.444	chr7:2659940-2660040	+	TTYH3	ENST00000429448	0.01	RBM5
chr6:142440908-142440953	+	ADGRG6	ENST00000296932	0.214	chr2:135914469-135914511	-	DARS1	ENST00000264161	0.0	RBM5
chr3:37273536-37273601	+	GOLGA4	ENST00000356847	0.49	chr1:8624310-8624380	-	RERE	ENST00000400908	-0.02	RBM5
chr6:34972581-34972643	+	ANKS1A	ENST00000649117	-0.304	chr2:231801140-231801207	+	COPS7B	ENST00000410017	0.0	RBM5
chr20:37141162-37141314	-	MROH8	ENST00000343811	0.325	chr13:95622343-95622480	-	DZIP1	ENST00000376829	0.02	RBM5
chr17:47619278-47619322	+	NPEPPS	ENST00000528565	0.425	chr20:499525-499573	-	CSNK2A1	ENST00000646477	-0.0	RBM5
chr19:35042308-35042522	+	HPN	ENST00000600390	0.312	chr20:32452236-32452437	-	NOL4L	ENST00000621426	0.0	RBM5
