exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	0.365	chr5:55957209-55957291	-	IL6ST	ENST00000381298	0.01	PTBP1
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.251	chr2:72968448-72968533	-	SFXN5	ENST00000272433	-0.01	PTBP1
chr16:16162993-16163192	-	ABCC6	ENST00000205557	0.401	chr13:51944109-51944291	-	ATP7B	ENST00000242839	0.01	PTBP1
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	-0.235	chr17:12129139-12129287	+	MAP2K4	ENST00000353533	0.01	PTBP1
chr15:45173576-45173716	-	SHF	ENST00000690270	0.184	chr17:41807859-41808004	-	P3H4	ENST00000393928	0.0	PTBP1
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.291	chr11:9152358-9152442	-	DENND5A	ENST00000328194	-0.0	PTBP1
chr13:112878217-112878303	+	ATP11A	ENST00000375645	0.488	chr5:177601426-177601503	+	B4GALT7	ENST00000510761	-0.01	PTBP1
chr15:45603100-45603187	+	BLOC1S6	ENST00000220531	-0.271	chr18:2760652-2760739	+	SMCHD1	ENST00000320876	-0.01	PTBP1
chr3:172509217-172509321	-	TNFSF10	ENST00000241261	-0.26	chr3:183758862-183758965	+	YEATS2	ENST00000305135	0.02	PTBP1
chr3:180986943-180987022	-	DNAJC19	ENST00000382564	0.196	chr1:31910038-31910112	-	PTP4A2	ENST00000647444	0.01	PTBP1
chr16:15047997-15048099	-	NTAN1	ENST00000287706	-0.237	chr5:179715899-179716000	+	CANX	ENST00000680984	0.0	PTBP1
chr1:107683488-107683533	-	VAV3	ENST00000370056	0.157	chr1:212782372-212782426	-	NSL1	ENST00000366977	0.0	PTBP1
chr3:168040786-168040869	-	GOLIM4	ENST00000470487	-0.457	chr10:103105706-103105801	-	NT5C2	ENST00000404739	0.01	PTBP1
chr9:36594628-36594771	+	MELK	ENST00000298048	-0.243	chr20:49023051-49023181	+	ARFGEF2	ENST00000371917	0.0	PTBP1
chr3:121828470-121828632	-	IQCB1	ENST00000310864	-0.201	chr4:99591651-99591790	+	MTTP	ENST00000265517	-0.0	PTBP1
chr1:155253859-155253978	-	ENTREP3	ENST00000361361	0.166	chr3:49685262-49685382	-	MST1	ENST00000449682	0.0	PTBP1
chr2:85552416-85552567	-	GGCX	ENST00000233838	-0.298	chr14:23062929-23063074	-	ACIN1	ENST00000605057	-0.0	PTBP1
chr12:49371228-49371290	+	SPATS2	ENST00000552918	0.508	chr2:164837428-164837498	-	COBLL1	ENST00000439313	-0.02	PTBP1
chr1:155136828-155136951	+	SLC50A1	ENST00000368404	-0.267	chr14:68884775-68884883	-	ACTN1	ENST00000394419	-0.0	PTBP1
chr7:50539915-50540028	-	DDC	ENST00000444124	0.263	chr22:45523091-45523204	+	FBLN1	ENST00000402984	0.01	PTBP1
chr3:15098119-15098274	-	RBSN	ENST00000253699	-0.528	chr15:34228429-34228589	+	EMC4	ENST00000267750	-0.0	PTBP1
chr1:144460843-144460961	-	NBPF15	ENST00000581897	-0.426	chr12:110501417-110501559	-	VPS29	ENST00000546588	0.0	PTBP1
chr12:123203250-123203375	-	MPHOSPH9	ENST00000606320	-0.389	chr2:98616207-98616346	+	UNC50	ENST00000357765	-0.0	PTBP1
chr1:11828458-11828624	+	CLCN6	ENST00000346436	0.194	chr11:61357203-61357371	-	CYB561A3	ENST00000426130	-0.01	PTBP1
chr12:124374413-124374463	-	NCOR2	ENST00000405201	0.462	chr17:74766936-74766976	+	NHERF1	ENST00000262613	0.0	PTBP1
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.278	chr9:113392119-113392169	-	ALAD	ENST00000409155	0.0	PTBP1
chr3:132696731-132696813	-	NPHP3	ENST00000337331	0.506	chr2:53895007-53895076	-	PSME4	ENST00000404125	0.0	PTBP1
chr19:40365718-40365930	+	PLD3	ENST00000409735	0.234	chr11:64271613-64271803	-	BAD	ENST00000309032	-0.01	PTBP1
chr4:83458346-83458429	+	MRPS18C	ENST00000295491	0.338	chr6:127996901-127996988	-	PTPRK	ENST00000368226	-0.01	PTBP1
chr4:78466208-78466435	+	FRAS1	ENST00000512123	-0.143	chr6:167898205-167898467	+	AFDN	ENST00000683244	0.0	PTBP1
chr16:70679315-70679323	-	MTSS2	ENST00000338779	0.426	chr19:35022900-35022911	+	GRAMD1A	ENST00000317991	0.01	PTBP1
chr11:893427-893519	-	CHID1	ENST00000323578	0.19	chr19:33396090-33396155	-	PEPD	ENST00000588328	-0.0	PTBP1
chr19:740352-740483	+	PALM	ENST00000338448	0.394	chr21:44813976-44814104	-	SUMO3	ENST00000332859	-0.0	PTBP1
chr16:3777613-3777657	-	CREBBP	ENST00000262367	-0.386	chr17:37471094-37471137	+	TADA2A	ENST00000615182	-0.02	PTBP1
chr11:66954249-66954436	-	PC	ENST00000393960	0.676	chr9:131117756-131117918	+	AIF1L	ENST00000247291	0.02	PTBP1
chr8:76988307-76988338	-	PEX2	ENST00000357039	-0.23	chr17:35817716-35817755	+	TAF15	ENST00000605844	0.0	PTBP1
chr11:75271701-75271724	-	ARRB1	ENST00000420843	0.562	chr15:73711135-73711170	+	CD276	ENST00000318443	0.01	PTBP1
chr9:69249375-69249485	+	TJP2	ENST00000377245	-0.117	chr1:11015524-11015646	+	TARDBP	ENST00000476201	-0.0	PTBP1
chr1:74707103-74707204	-	CRYZ	ENST00000340866	0.229	chr2:11198681-11198774	-	ROCK2	ENST00000315872	0.0	PTBP1
chr1:59321536-59321750	+	FGGY	ENST00000303721	0.269	chr20:526696-526942	-	CSNK2A1	ENST00000646814	0.0	PTBP1
chr1:3493771-3493899	-	MEGF6	ENST00000356575	-0.314	chr17:82929362-82929500	+	TBCD	ENST00000355528	0.01	PTBP1
chr13:39042105-39042305	+	NHLRC3	ENST00000379600	0.289	chr14:35312863-35313059	+	PSMA6	ENST00000553809	-0.0	PTBP1
chr2:11174968-11175009	+	SLC66A3	ENST00000295083	0.415	chr6:110989028-110989065	+	RPF2	ENST00000441448	-0.0	PTBP1
chr14:102954198-102954275	-	CDC42BPB	ENST00000361246	0.32	chr1:28530523-28530615	+	RCC1	ENST00000649185	0.01	PTBP1
chr13:72731281-72731387	+	BORA	ENST00000390667	-0.355	chr12:79786374-79786478	-	PPP1R12A	ENST00000450142	0.01	PTBP1
chr9:96352038-96352109	-	SLC35D2	ENST00000253270	0.182	chr13:21402797-21402866	-	ZDHHC20	ENST00000400590	-0.02	PTBP1
chr9:96351103-96351171	-	SLC35D2	ENST00000253270	0.139	chr20:50940865-50940933	-	DPM1	ENST00000371588	0.01	PTBP1
chr20:46126640-46126701	+	CD40	ENST00000372285	0.415	chr12:130991014-130991078	+	ADGRD1	ENST00000261654	0.02	PTBP1
chr9:85678335-85678398	-	AGTPBP1	ENST00000357081	0.296	chr12:68725727-68725796	+	NUP107	ENST00000229179	-0.0	PTBP1
chr14:74299548-74299675	-	ABCD4	ENST00000356924	0.39	chr8:38417306-38417416	-	FGFR1	ENST00000447712	-0.0	PTBP1
chr20:527933-528049	-	CSNK2A1	ENST00000217244	-0.336	chr9:123652013-123652123	-	DENND1A	ENST00000394215	-0.01	PTBP1
chr22:17743803-17744013	-	BID	ENST00000622694	-0.267	chr19:2790421-2790633	+	THOP1	ENST00000307741	0.01	PTBP1
chr1:92266700-92266741	-	GLMN	ENST00000370360	-0.247	chr11:17135111-17135159	-	PIK3C2A	ENST00000691414	-0.01	PTBP1
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.256	chr17:75239375-75239571	-	GGA3	ENST00000537686	-0.01	PTBP1
chr1:84671177-84671308	-	SSX2IP	ENST00000342203	-0.512	chr12:101714090-101714237	+	CHPT1	ENST00000229266	-0.01	PTBP1
chr2:48328561-48328702	+	FOXN2	ENST00000340553	-0.417	chr15:71916370-71916492	-	MYO9A	ENST00000356056	0.01	PTBP1
chr1:172577539-172577559	+	SUCO	ENST00000263688	0.361	chr12:9110314-9110334	-	A2M	ENST00000318602	-0.0	PTBP1
chr1:176136488-176136547	-	COP1	ENST00000367669	0.338	chr14:30638184-30638247	+	SCFD1	ENST00000678669	0.01	PTBP1
chr8:33388963-33389798	-	FUT10	ENST00000327671	-0.258	chr8:41598292-41599304	+	GPAT4	ENST00000396987	0.01	PTBP1
chr2:73938910-73939022	+	DGUOK	ENST00000264093	-0.157	chr2:117985969-117986069	-	CCDC93	ENST00000376300	-0.01	PTBP1
chr12:51056144-51056245	+	LETMD1	ENST00000262055	0.318	chr11:61964987-61965112	-	FTH1	ENST00000273550	-0.0	PTBP1
chr15:75016593-75016749	+	SCAMP5	ENST00000425597	0.655	chr16:16178798-16178965	-	ABCC6	ENST00000205557	0.02	PTBP1
chr15:75859878-75859982	+	UBE2Q2	ENST00000267938	-0.35	chr14:50174454-50174552	-	SOS2	ENST00000216373	0.02	PTBP1
chr2:75522365-75522487	-	EVA1A	ENST00000393913	-0.237	chr3:179030880-179030999	-	ZMAT3	ENST00000311417	0.02	PTBP1
chr2:74673457-74673576	+	SEMA4F	ENST00000357877	0.58	chr19:15695936-15696069	+	CYP4F12	ENST00000550308	0.01	PTBP1
chr2:74662732-74662825	+	SEMA4F	ENST00000357877	-0.425	chr3:183086693-183086788	-	MCCC1	ENST00000265594	0.01	PTBP1
chr12:54187819-54187902	-	SMUG1	ENST00000682136	-0.518	chr17:7566927-7567004	+	SENP3	ENST00000321337	-0.0	PTBP1
