exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:85246930-85247188	+	ZNF711	ENST00000674551	0.489	chr3:171687371-171687584	-	PLD1	ENST00000351298	0.02	KHDRBS1
chr14:75046376-75049718	-	MLH3	ENST00000355774	0.387	chr2:47798611-47801155	+	MSH6	ENST00000234420	0.01	KHDRBS1
chr12:46803603-46803794	-	SLC38A4	ENST00000266579	0.378	chr17:12081356-12081530	+	MAP2K4	ENST00000353533	-0.02	KHDRBS1
chr3:146199813-146200039	-	PLSCR4	ENST00000354952	0.23	chr2:26386354-26386536	+	SELENOI	ENST00000260585	-0.02	KHDRBS1
chr3:15241453-15241588	+	CAPN7	ENST00000253693	0.3	chr5:146143412-146143550	-	LARS1	ENST00000394434	0.01	KHDRBS1
chr12:3017398-3017526	+	TEAD4	ENST00000359864	0.211	chr3:197010698-197010794	-	MELTF	ENST00000296350	-0.01	KHDRBS1
chr8:89762829-89762982	+	RIPK2	ENST00000220751	0.431	chr3:195519018-195519185	-	PPP1R2	ENST00000618156	0.0	KHDRBS1
chr4:70201454-70201501	+	ODAM	ENST00000683306	0.16	chr4:73437160-73437211	+	AFP	ENST00000395792	-0.0	KHDRBS1
chr11:90170069-90170136	+	NAALAD2	ENST00000534061	0.453	chr3:57909076-57909150	+	SLMAP	ENST00000671191	-0.02	KHDRBS1
chr22:46176753-46176836	+	PPARA	ENST00000407236	-0.415	chr11:73825708-73825796	+	MRPL48	ENST00000310614	-0.01	KHDRBS1
chr20:62668012-62668184	+	SLCO4A1	ENST00000217159	-0.152	chr2:85343999-85344165	-	RETSAT	ENST00000295802	-0.02	KHDRBS1
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.272	chr2:43896634-43896708	-	LRPPRC	ENST00000260665	-0.0	KHDRBS1
chr10:104010816-104010908	+	SLK	ENST00000369755	0.158	chr12:95485879-95485981	+	METAP2	ENST00000323666	0.0	KHDRBS1
chr10:98431131-98431291	-	HPS1	ENST00000361490	-0.357	chr18:2922047-2922199	-	LPIN2	ENST00000677752	0.0	KHDRBS1
chr9:136799713-136799790	+	CCDC183	ENST00000338005	0.455	chr16:2171264-2171356	+	TRAF7	ENST00000326181	-0.01	KHDRBS1
chr4:52062220-52062332	+	SPATA18	ENST00000295213	-0.303	chr15:59650669-59650773	-	GTF2A2	ENST00000396060	-0.0	KHDRBS1
chr14:39320928-39321056	+	MIA2	ENST00000640607	0.22	chr6:131740224-131740380	+	ENPP3	ENST00000357639	-0.01	KHDRBS1
chr16:57722713-57722841	+	DRC7	ENST00000360716	-0.339	chr3:127575940-127576050	-	TPRA1	ENST00000355552	0.0	KHDRBS1
