exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	0.261	chr8:109339320-109339390	+	ENY2	ENST00000521688	-0.0	CELF1
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.287	chr22:35338713-35338788	+	TOM1	ENST00000449058	0.02	CELF1
chr1:92833545-92833660	+	RPL5	ENST00000370321	-0.527	chr2:61190271-61190414	-	USP34	ENST00000398571	-0.01	CELF1
chr13:112878217-112878303	+	ATP11A	ENST00000375645	-0.369	chr1:10627272-10627363	+	PEX14	ENST00000356607	0.01	CELF1
chr2:166304238-166304329	-	SCN9A	ENST00000642356	-0.329	chr4:73416256-73416353	+	ALB	ENST00000295897	-0.0	CELF1
chr1:155136828-155136951	+	SLC50A1	ENST00000368404	0.278	chr7:129209289-129209397	+	SMO	ENST00000249373	-0.02	CELF1
chr1:143964855-143964979	-	FAM72C	ENST00000584486	0.25	chr1:206195752-206195876	-	FAM72A	ENST00000367128	0.0	CELF1
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.309	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	0.0	CELF1
chr4:16170653-16170729	-	TAPT1	ENST00000405303	-0.512	chr4:70778369-70778438	+	RUFY3	ENST00000381006	0.02	CELF1
chr4:78887174-78887284	+	BMP2K	ENST00000502613	0.388	chr7:92327783-92327900	+	ANKIB1	ENST00000265742	0.01	CELF1
chr19:11405323-11405426	-	RGL3	ENST00000380456	0.382	chr20:41354645-41354737	+	LPIN3	ENST00000373257	0.01	CELF1
chr4:127939853-127939997	-	MFSD8	ENST00000641686	0.318	chr5:66177514-66177658	+	SREK1	ENST00000334121	-0.0	CELF1
chr4:127938783-127938838	-	MFSD8	ENST00000641686	0.292	chr5:62366414-62366481	+	KIF2A	ENST00000407818	-0.01	CELF1
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	0.467	chr20:25013536-25013662	-	ACSS1	ENST00000323482	-0.02	CELF1
chr9:96343904-96343996	-	SLC35D2	ENST00000253270	0.36	chr8:42362612-42362698	+	POLB	ENST00000265421	0.0	CELF1
chr2:39707049-39707186	+	TMEM178A	ENST00000281961	0.365	chr8:28099828-28099966	+	ELP3	ENST00000256398	-0.0	CELF1
chr2:215380811-215381080	-	FN1	ENST00000354785	-0.187	chr4:102633251-102633473	-	MANBA	ENST00000644159	0.01	CELF1
chr7:76400286-76400591	-	SSC4D	ENST00000275560	0.398	chr12:56231204-56231561	+	SLC39A5	ENST00000454355	-0.01	CELF1
chr2:219547506-219548081	+	TMEM198	ENST00000373883	-0.261	chr17:78803385-78803978	-	USP36	ENST00000449938	-0.01	CELF1
chr6:144827348-144827386	+	UTRN	ENST00000367545	-0.177	chr12:55800854-55800900	-	SARNP	ENST00000336133	-0.0	CELF1
chr5:180567849-180568003	+	CNOT6	ENST00000261951	-0.203	chr12:96014855-96014999	-	LTA4H	ENST00000228740	-0.0	CELF1
chr17:51259143-51259206	-	MBTD1	ENST00000586178	0.256	chr10:70816811-70816880	+	SGPL1	ENST00000373202	0.02	CELF1
chr15:71951777-71951896	-	MYO9A	ENST00000356056	0.357	chr5:140464667-140464776	+	ANKHD1	ENST00000360839	0.01	CELF1
chr7:4175775-4175834	+	SDK1	ENST00000404826	-0.388	chr10:73824040-73824084	-	CAMK2G	ENST00000423381	0.01	CELF1
chr3:17623849-17623913	-	TBC1D5	ENST00000696125	0.287	chr14:66776464-66776521	+	GPHN	ENST00000478722	0.02	CELF1
chr3:57925845-57925934	+	SLMAP	ENST00000671191	-0.649	chr2:232809720-232809811	+	GIGYF2	ENST00000373563	0.01	CELF1
chr13:75809154-75809183	+	LMO7	ENST00000377534	-0.758	chr2:32175319-32175361	+	SLC30A6	ENST00000282587	-0.0	CELF1
chr2:101871494-101871685	+	MAP4K4	ENST00000324219	0.22	chr3:12570071-12570252	+	MKRN2	ENST00000170447	0.02	CELF1
chr14:50756492-50758630	-	NIN	ENST00000530997	0.375	chr1:169540294-169543114	-	F5	ENST00000367797	-0.01	CELF1
chr4:183655881-183655961	-	RWDD4	ENST00000326397	0.357	chr9:100445169-100445237	+	MSANTD3	ENST00000374885	0.01	CELF1
chr9:131474454-131476535	+	PRRC2B	ENST00000683519	-0.282	chr22:19961697-19962815	+	COMT	ENST00000678255	-0.0	CELF1
chr5:179619269-179619407	-	HNRNPH1	ENST00000393432	-0.243	chr17:63806535-63806654	+	DDX42	ENST00000389924	-0.0	CELF1
