exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr7:92244002-92244149	-	KRIT1	ENST00000394505	0.416	chr5:137987461-137987616	-	FAM13B	ENST00000689681	0.02	FMR1
chr3:184357620-184357698	-	CLCN2	ENST00000265593	-0.438	chr17:4720393-4720472	+	ARRB2	ENST00000269260	-0.0	FMR1
chr2:97580462-97580568	-	ANKRD36B	ENST00000359901	0.534	chr13:48463731-48463835	+	RB1	ENST00000267163	0.0	FMR1
chr4:20712788-20712922	+	PACRGL	ENST00000503585	0.429	chr6:113946008-113946148	-	HDAC2	ENST00000519065	0.0	FMR1
chr4:20709683-20709773	+	PACRGL	ENST00000503585	0.477	chr2:113462408-113462494	+	ZNG1B	ENST00000259199	-0.01	FMR1
chr4:20707803-20707870	+	PACRGL	ENST00000503585	0.514	chr1:178883466-178883533	+	RALGPS2	ENST00000367635	-0.02	FMR1
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	0.467	chr19:43626784-43626918	-	CADM4	ENST00000222374	0.01	FMR1
chr1:40454203-40454288	+	ZFP69B	ENST00000361584	-0.671	chr20:39028418-39028499	+	DHX35	ENST00000252011	0.01	FMR1
chr13:32344558-32344653	+	BRCA2	ENST00000380152	-0.375	chr7:87843754-87843863	-	SLC25A40	ENST00000341119	0.02	FMR1
chr15:71951777-71951896	-	MYO9A	ENST00000356056	0.409	chr21:15777904-15778027	+	USP25	ENST00000400183	-0.01	FMR1
chr8:22412037-22412206	+	SLC39A14	ENST00000381237	-0.179	chr16:16086824-16086991	+	ABCC1	ENST00000399410	0.02	FMR1
chr4:1802914-1803064	+	FGFR3	ENST00000340107	0.317	chr21:46154149-46154332	-	FTCD	ENST00000397746	0.0	FMR1
chr1:32633951-32634110	-	ZBTB8OS	ENST00000465588	-0.465	chr1:108950309-108950448	-	CLCC1	ENST00000369969	0.01	FMR1
