exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr19:9415654-9415742	-	ZNF266	ENST00000592904	-0.355	chr17:75040092-75040163	-	ATP5PD	ENST00000301587	-0.01	CDC40
chr12:31089403-31089490	+	DDX11	ENST00000542838	-0.521	chr17:7223133-7223237	+	ACADVL	ENST00000356839	0.0	CDC40
chr2:9418626-9418732	-	ITGB1BP1	ENST00000355346	0.319	chr14:101906402-101906529	+	PPP2R5C	ENST00000694906	0.01	CDC40
chr16:117301-117375	-	NPRL3	ENST00000611875	0.381	chr4:4423518-4423587	-	STX18	ENST00000306200	-0.01	CDC40
chr16:1314020-1314096	+	UBE2I	ENST00000397514	-0.228	chr10:102654653-102654748	+	TRIM8	ENST00000643721	-0.0	CDC40
chr19:4097279-4097343	-	MAP2K2	ENST00000262948	-0.282	chr5:179867778-179867849	-	TBC1D9B	ENST00000355235	-0.0	CDC40
chr16:29895259-29895460	-	SEZ6L2	ENST00000617533	-0.486	chr15:40751426-40751569	-	RMDN3	ENST00000338376	0.01	CDC40
chr9:32988083-32988129	-	APTX	ENST00000379817	-0.222	chr19:8473664-8473708	+	HNRNPM	ENST00000325495	-0.0	CDC40
chr11:74161399-74161556	-	C2CD3	ENST00000334126	-0.212	chr3:134507109-134507286	+	CEP63	ENST00000675561	-0.01	CDC40
chr2:15628638-15628710	+	DDX1	ENST00000233084	-0.244	chr2:86456805-86456877	+	KDM3A	ENST00000312912	-0.02	CDC40
chr1:36462088-36462163	-	MRPS15	ENST00000373116	-0.322	chr16:74949718-74949798	-	WDR59	ENST00000262144	0.02	CDC40
chr21:33597280-33597401	-	CRYZL1	ENST00000381554	-0.278	chr2:53899881-53900017	-	PSME4	ENST00000404125	0.01	CDC40
chr1:21706467-21706589	-	USP48	ENST00000308271	-0.261	chr11:57738664-57738770	+	TMX2	ENST00000278422	0.01	CDC40
chr5:140535362-140535538	+	ANKHD1	ENST00000360839	-0.134	chr17:16034765-16034944	-	NCOR1	ENST00000268712	-0.01	CDC40
chr17:19571478-19571572	+	SLC47A1	ENST00000270570	0.273	chr11:46754888-46754983	-	CKAP5	ENST00000527333	-0.01	CDC40
chr6:7240438-7240602	+	RREB1	ENST00000379938	-0.266	chr2:38675912-38676066	+	GALM	ENST00000272252	0.02	CDC40
chr16:84744633-84745673	+	USP10	ENST00000219473	0.301	chr9:33294420-33295427	+	NFX1	ENST00000379540	-0.02	CDC40
chr16:84740309-84740369	+	USP10	ENST00000219473	0.181	chr12:64752698-64752757	-	GNS	ENST00000258145	-0.02	CDC40
chr5:69567727-69567777	+	GTF2H2C	ENST00000380729	-0.39	chr4:73455236-73455290	+	AFP	ENST00000395792	-0.0	CDC40
chr6:31539147-31539274	-	DDX39B	ENST00000396172	-0.119	chr5:181238099-181238239	-	RACK1	ENST00000512805	-0.0	CDC40
chr14:88602828-88603060	+	ZC3H14	ENST00000251038	-0.45	chrX:40679864-40680133	-	MED14	ENST00000324817	-0.01	CDC40
chr12:62566014-62566031	+	MON2	ENST00000393630	-0.417	chr2:152677451-152677475	-	PRPF40A	ENST00000545856	-0.0	CDC40
chr2:135641536-135641790	+	R3HDM1	ENST00000683871	0.164	chr9:105385422-105385703	+	SLC44A1	ENST00000699290	0.01	CDC40
chr4:82371528-82371584	-	HNRNPD	ENST00000313899	0.217	chr2:42304484-42304551	+	EML4	ENST00000318522	-0.0	CDC40
chr5:146468341-146468403	+	TCERG1	ENST00000679501	0.344	chr5:139314675-139314736	+	MATR3	ENST00000394805	-0.01	CDC40
chr7:74190247-74190306	+	EIF4H	ENST00000265753	0.174	chr9:96465710-96465778	+	HABP4	ENST00000375249	-0.01	CDC40
chr9:32988083-32988124	-	APTX	ENST00000673248	-0.171	chr2:61502249-61502310	-	XPO1	ENST00000401558	-0.0	CDC40
chr1:31318167-31318236	+	ZCCHC17	ENST00000616859	0.242	chr15:63255507-63255584	+	RAB8B	ENST00000321437	-0.01	CDC40
chr1:100267500-100267538	+	RTCA	ENST00000260563	0.193	chr3:133764875-133764907	+	TF	ENST00000402696	-0.0	CDC40
chr11:3373577-3373675	-	ZNF195	ENST00000343338	0.308	chr1:144450772-144450870	-	NBPF15	ENST00000581897	-0.02	CDC40
chr11:3373577-3373656	-	ZNF195	ENST00000618467	0.436	chr1:11117004-11117086	-	MTOR	ENST00000361445	-0.02	CDC40
chr17:44187907-44188009	+	TMUB2	ENST00000446571	0.443	chr2:241248003-241248116	-	HDLBP	ENST00000310931	-0.0	CDC40
chr19:18122107-18122127	+	MAST3	ENST00000697700	-0.361	chr1:153976976-153977013	-	JTB	ENST00000271843	0.02	CDC40
chr20:34065044-34065160	+	RALY	ENST00000448364	-0.498	chrX:21967196-21967316	+	SMS	ENST00000404933	-0.0	CDC40
chr7:5329937-5329969	-	TNRC18	ENST00000455076	0.569	chr5:6602461-6602500	-	NSUN2	ENST00000264670	0.01	CDC40
