exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr15:25409088-25409207	-	UBE3A	ENST00000648336	0.401	chr2:203193795-203193911	+	NBEAL1	ENST00000683969	-0.0	PRPF6
chr12:43771220-43771365	+	IRAK4	ENST00000613694	-0.508	chr9:26920227-26920384	-	PLAA	ENST00000397292	-0.01	PRPF6
chr16:4801267-4801321	-	ROGDI	ENST00000322048	-0.246	chr1:21597686-21597728	-	RAP1GAP	ENST00000374765	0.01	PRPF6
chr16:3655849-3655937	+	DNASE1	ENST00000246949	-0.482	chr17:82055740-82055825	+	GPS1	ENST00000578552	0.01	PRPF6
chr22:35262323-35262421	+	HMGXB4	ENST00000216106	0.33	chr13:49552178-49552285	-	RCBTB1	ENST00000378302	0.01	PRPF6
chr9:70346605-70346649	+	SMC5	ENST00000361138	0.249	chr1:81989657-81989709	+	ADGRL2	ENST00000370715	-0.02	PRPF6
chr2:72971570-72971685	-	SFXN5	ENST00000272433	-0.3	chr19:35258945-35259064	+	LSR	ENST00000605618	0.0	PRPF6
chr2:215392931-215393203	-	FN1	ENST00000354785	0.115	chr16:18839698-18839946	-	SMG1	ENST00000446231	-0.01	PRPF6
chr6:31355107-31355223	-	HLA-B	ENST00000412585	-0.2	chr6:31269966-31270085	-	HLA-C	ENST00000376228	-0.01	PRPF6
chr16:88611268-88611536	+	ZC3H18	ENST00000301011	-0.393	chr5:151056766-151056957	-	TNIP1	ENST00000521591	-0.0	PRPF6
chr1:211312720-211312961	+	RCOR3	ENST00000419091	-0.337	chr13:77126318-77126542	-	MYCBP2	ENST00000544440	-0.01	PRPF6
chr4:1803692-1803836	+	FGFR3	ENST00000440486	0.336	chr4:1213478-1213605	-	CTBP1	ENST00000382952	-0.02	PRPF6
chr10:35179134-35179276	+	CREM	ENST00000685392	-0.485	chr7:92234449-92234592	-	KRIT1	ENST00000394505	-0.02	PRPF6
chr3:58141858-58141929	+	FLNB	ENST00000295956	-0.185	chr19:16081020-16081075	+	TPM4	ENST00000642221	-0.0	PRPF6
chr6:8434385-8434430	-	SLC35B3	ENST00000644923	0.259	chr12:122521385-122521428	-	RSRC2	ENST00000331738	-0.02	PRPF6
chr1:39465095-39465112	+	MACF1	ENST00000564288	-0.315	chr18:36805374-36805397	-	TPGS2	ENST00000593035	0.01	PRPF6
chr11:108224784-108224871	+	ATM	ENST00000452508	0.376	chr3:37008814-37008905	+	MLH1	ENST00000231790	-0.02	PRPF6
chr2:187513616-187513646	-	TFPI	ENST00000409676	-0.182	chr20:21205491-21205530	+	KIZ	ENST00000621366	0.01	PRPF6
chr2:38296686-38296700	-	ATL2	ENST00000629272	0.365	chr12:56642673-56642684	-	ATP5F1B	ENST00000551570	-0.0	PRPF6
chr1:211312720-211312835	+	RCOR3	ENST00000529763	-0.495	chr5:74751368-74751493	-	GFM2	ENST00000296805	-0.02	PRPF6
