exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	0.395	chr10:94510091-94510179	+	TBC1D12	ENST00000225235	-0.02	QKI
chr4:152870753-152870848	+	ARFIP1	ENST00000353617	-0.493	chr2:135933910-135933990	-	DARS1	ENST00000264161	-0.0	QKI
chr6:44135328-44135366	+	TMEM63B	ENST00000323267	-0.176	chrX:153932071-153932115	-	NAA10	ENST00000464845	-0.01	QKI
chr19:36201977-36202050	-	ZNF565	ENST00000304116	0.453	chr13:98424572-98424650	+	FARP1	ENST00000319562	-0.0	QKI
chr5:139477329-139477515	-	STING1	ENST00000330794	0.416	chr9:128846680-128846859	-	KYAT1	ENST00000436267	-0.01	QKI
chr6:16753233-16753347	-	ATXN1	ENST00000436367	-0.309	chr3:136867431-136867525	+	NCK1	ENST00000485096	0.01	QKI
chr9:36594628-36594771	+	MELK	ENST00000298048	-0.272	chr20:49023051-49023181	+	ARFGEF2	ENST00000371917	0.01	QKI
chr3:120646267-120646366	-	HGD	ENST00000283871	0.152	chr12:121330583-121330672	-	ANAPC5	ENST00000261819	-0.02	QKI
chr7:50539915-50540028	-	DDC	ENST00000444124	0.274	chr22:45523091-45523204	+	FBLN1	ENST00000402984	0.0	QKI
chr19:36007125-36007268	-	SYNE4	ENST00000324444	0.274	chr16:67663937-67664062	-	ENKD1	ENST00000243878	0.02	QKI
chr19:15696161-15696225	+	CYP4F12	ENST00000550308	0.229	chr19:15879604-15879668	-	CYP4F2	ENST00000221700	-0.02	QKI
chr16:70679315-70679323	-	MTSS2	ENST00000338779	0.199	chr19:35022900-35022911	+	GRAMD1A	ENST00000317991	0.0	QKI
chr4:84808334-84808417	-	WDFY3	ENST00000295888	0.607	chr13:37017245-37017328	-	SUPT20H	ENST00000469488	0.01	QKI
chr19:32347245-32347338	+	ZNF507	ENST00000355898	-0.364	chr18:3249361-3249443	+	MYL12A	ENST00000578611	0.0	QKI
chr16:28593252-28593346	-	SULT1A2	ENST00000335715	0.512	chr17:39746109-39746202	+	GRB7	ENST00000309156	-0.0	QKI
chr11:90159239-90159337	+	NAALAD2	ENST00000534061	0.409	chr21:37421774-37421866	+	DYRK1A	ENST00000642309	-0.0	QKI
chr3:50104248-50104308	+	RBM5	ENST00000347869	-0.213	chr14:21462350-21462418	-	RAB2B	ENST00000397762	0.0	QKI
chr3:50100532-50100605	+	RBM5	ENST00000347869	-0.25	chr9:132934466-132934540	-	TSC1	ENST00000642646	0.01	QKI
chr1:74707103-74707204	-	CRYZ	ENST00000340866	0.235	chr2:11198681-11198774	-	ROCK2	ENST00000315872	0.0	QKI
chr1:59321536-59321750	+	FGGY	ENST00000303721	0.3	chr12:68624675-68624873	+	RAP1B	ENST00000534899	-0.01	QKI
chr21:46636439-46636547	+	PRMT2	ENST00000355680	-0.26	chr12:43805524-43805637	-	TWF1	ENST00000546662	-0.01	QKI
chr1:176136488-176136547	-	COP1	ENST00000367669	0.275	chr14:30638184-30638247	+	SCFD1	ENST00000678669	0.01	QKI
chr8:27290156-27290178	-	TRIM35	ENST00000305364	0.467	chr19:35508205-35508240	-	DMKN	ENST00000419602	-0.01	QKI
chr1:178869114-178869223	-	ANGPTL1	ENST00000234816	0.463	chr11:86266083-86266216	+	EED	ENST00000263360	-0.0	QKI
chr12:51056144-51056245	+	LETMD1	ENST00000262055	0.271	chr2:219232260-219232362	+	ANKZF1	ENST00000323348	-0.02	QKI
chr15:75016593-75016749	+	SCAMP5	ENST00000425597	0.522	chr2:233193812-233193961	+	INPP5D	ENST00000445964	0.0	QKI
