exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.452	chr5:55957209-55957291	-	IL6ST	ENST00000381298	0.01	FUBP1
chr19:52781317-52781464	-	ZNF600	ENST00000692063	-0.29	chr17:75042529-75042659	-	ATP5PD	ENST00000301587	0.0	FUBP1
chr17:75828787-75828983	-	UNC13D	ENST00000207549	-0.344	chr19:18538216-18538433	-	FKBP8	ENST00000222308	0.01	FUBP1
chr15:89321125-89321260	-	POLG	ENST00000268124	-0.225	chr14:24187667-24187796	-	IPO4	ENST00000354464	-0.01	FUBP1
chr12:57107605-57107743	-	STAT6	ENST00000300134	-0.269	chr12:48832422-48832573	-	DDX23	ENST00000308025	-0.01	FUBP1
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	-0.231	chr17:12129139-12129287	+	MAP2K4	ENST00000353533	-0.02	FUBP1
chr16:1666073-1666177	+	CRAMP1	ENST00000397412	-0.465	chr1:154951795-154951921	-	PBXIP1	ENST00000368463	-0.01	FUBP1
chr6:44135328-44135366	+	TMEM63B	ENST00000323267	-0.439	chr3:46923329-46923363	-	CCDC12	ENST00000683445	-0.0	FUBP1
chrX:47089776-47089991	+	RGN	ENST00000397180	-0.236	chr10:92024756-92024967	+	BTAF1	ENST00000265990	-0.01	FUBP1
chr1:19978380-19978524	-	PLA2G2A	ENST00000482011	-0.19	chr6:32170937-32171070	-	AGPAT1	ENST00000375107	-0.02	FUBP1
chr14:24157898-24158011	+	RNF31	ENST00000324103	-0.127	chr6:43512440-43512563	-	YIPF3	ENST00000372422	-0.01	FUBP1
chr14:103107631-103107783	+	EXOC3L4	ENST00000688303	-0.369	chrX:154366024-154366224	-	FLNA	ENST00000369850	-0.01	FUBP1
chrX:47080317-47080936	+	RGN	ENST00000397180	0.229	chr11:57659455-57660082	+	CLP1	ENST00000533682	-0.01	FUBP1
chr1:150556621-150556793	+	ADAMTSL4	ENST00000271643	-0.377	chr11:119049018-119049203	-	HYOU1	ENST00000617285	-0.01	FUBP1
chr19:13109915-13110001	-	TRMT1	ENST00000357720	-0.505	chr11:61780960-61781045	+	MYRF	ENST00000278836	-0.01	FUBP1
chr19:13115626-13115768	-	TRMT1	ENST00000357720	-0.243	chr6:33195570-33195702	-	RXRB	ENST00000374680	-0.01	FUBP1
chr7:92244002-92244149	-	KRIT1	ENST00000394505	-0.254	chr5:98888088-98888240	-	CHD1	ENST00000614616	-0.01	FUBP1
chr20:35632163-35632234	-	CPNE1	ENST00000397443	-0.244	chr12:56083467-56083548	+	ERBB3	ENST00000415288	0.02	FUBP1
chr13:36867273-36867383	-	SMAD9	ENST00000379826	-0.438	chr6:53516109-53516222	-	GCLC	ENST00000650454	-0.0	FUBP1
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.213	chr11:9152358-9152442	-	DENND5A	ENST00000328194	-0.01	FUBP1
chr9:146102-146158	-	ZNG1A	ENST00000356521	-0.46	chr1:61694697-61694770	-	TM2D1	ENST00000606498	0.0	FUBP1
chr2:74490025-74490127	+	TTC31	ENST00000233623	-0.268	chr19:43546884-43546977	-	XRCC1	ENST00000262887	-0.02	FUBP1
chr19:1053329-1053531	+	ABCA7	ENST00000263094	-0.231	chr2:240596319-240596521	+	CAPN10	ENST00000391984	-0.02	FUBP1
chr15:45603100-45603187	+	BLOC1S6	ENST00000220531	-0.276	chr14:67374468-67374547	+	EIF2S1	ENST00000256383	-0.0	FUBP1
chrX:48466799-48466872	-	SLC38A5	ENST00000620913	-0.294	chr3:51934472-51934551	-	RRP9	ENST00000232888	-0.01	FUBP1
chr8:22080805-22080870	+	DMTN	ENST00000358242	-0.266	chr3:50270433-50270495	+	SEMA3B	ENST00000616701	0.0	FUBP1
chr22:50283050-50283186	-	PLXNB2	ENST00000359337	-0.138	chr8:144400924-144401075	-	CPSF1	ENST00000616140	-0.02	FUBP1
chr17:8228727-8228892	-	CTC1	ENST00000651323	-0.409	chr1:45014439-45014576	+	UROD	ENST00000246337	-0.01	FUBP1
chr3:184358682-184358813	-	CLCN2	ENST00000265593	-0.354	chr7:44117619-44117742	-	POLD2	ENST00000610533	-0.01	FUBP1
chr9:35740526-35740628	-	GBA2	ENST00000378103	-0.213	chr1:225921552-225921644	-	PYCR2	ENST00000343818	0.02	FUBP1
chr16:1349889-1349952	-	TSR3	ENST00000007390	-0.18	chr11:65536259-65536334	+	SCYL1	ENST00000270176	-0.02	FUBP1
chr1:112705100-112705168	-	RHOC	ENST00000339083	-0.194	chr1:18879300-18879373	-	ALDH4A1	ENST00000375341	-0.0	FUBP1
chr3:184243791-184243996	-	ALG3	ENST00000397676	-0.134	chr3:184317321-184317497	+	EIF4G1	ENST00000346169	-0.01	FUBP1
chr1:11658533-11658628	+	FBXO44	ENST00000251547	-0.434	chr5:179799203-179799307	-	MGAT4B	ENST00000518778	-0.02	FUBP1
chr3:38126162-38126341	-	ACAA1	ENST00000333167	-0.117	chr17:81845561-81845742	-	P4HB	ENST00000331483	-0.0	FUBP1
chr7:1549854-1549945	-	TMEM184A	ENST00000297477	-0.429	chr16:2085230-2085322	+	TSC2	ENST00000219476	-0.01	FUBP1
chr7:151076913-151077027	-	FASTK	ENST00000297532	-0.498	chr11:801218-801365	-	PIDD1	ENST00000347755	-0.02	FUBP1
chr3:45827356-45827459	-	LZTFL1	ENST00000296135	-0.255	chr19:32585816-32585907	+	PDCD5	ENST00000590247	-0.0	FUBP1
chr7:151077101-151077236	-	FASTK	ENST00000297532	-0.391	chr4:1805750-1805940	+	FGFR3	ENST00000440486	-0.01	FUBP1
chr1:109657590-109657671	+	GSTM4	ENST00000369836	-0.177	chr20:45949485-45949568	-	ZNF335	ENST00000322927	-0.01	FUBP1
chr3:190556130-190556216	+	IL1RAP	ENST00000447382	-0.336	chr2:190261156-190261234	-	HIBCH	ENST00000359678	-0.01	FUBP1
chr9:35607327-35607409	+	TESK1	ENST00000336395	-0.497	chr9:128124779-128124871	-	PTGES2	ENST00000277462	0.01	FUBP1
chr12:113284718-113284771	+	TPCN1	ENST00000335509	-0.228	chr7:101200234-101200304	-	MOGAT3	ENST00000223114	-0.02	FUBP1
chrX:47585543-47585667	+	TIMP1	ENST00000218388	-0.141	chr19:8256949-8257077	+	CERS4	ENST00000251363	-0.01	FUBP1
chr1:109628643-109628806	+	AMPD2	ENST00000528667	-0.304	chr12:6856305-6856450	+	USP5	ENST00000229268	-0.01	FUBP1
chrX:47226279-47226402	+	CDK16	ENST00000357227	-0.171	chr3:128910391-128910539	+	ACAD9	ENST00000681367	0.01	FUBP1
chr3:114056999-114057106	+	QTRT2	ENST00000281273	-0.426	chr7:123557404-123557507	-	NDUFA5	ENST00000679163	0.01	FUBP1
chr1:153939589-153939804	-	DENND4B	ENST00000361217	-0.333	chr3:52405110-52405294	-	BAP1	ENST00000460680	-0.02	FUBP1
chr7:44536842-44536942	-	NPC1L1	ENST00000381160	-0.453	chr22:45533063-45533164	+	FBLN1	ENST00000327858	-0.01	FUBP1
chr9:36594628-36594771	+	MELK	ENST00000298048	-0.297	chr20:49023051-49023181	+	ARFGEF2	ENST00000371917	0.02	FUBP1
