exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr19:44784264-44784401	+	CBLC	ENST00000647358	-0.45	chr20:45855159-45855292	-	ACOT8	ENST00000217455	-0.01	HNRNPA1
chr12:53285924-53286912	+	ESPL1	ENST00000257934	-0.496	chr17:7038152-7038889	+	SLC16A13	ENST00000308027	-0.01	HNRNPA1
chr1:1355450-1355752	-	MXRA8	ENST00000309212	0.575	chr7:5529535-5529733	-	ACTB	ENST00000493945	0.0	HNRNPA1
chr12:26979784-26979936	-	TM7SF3	ENST00000343028	-0.217	chr2:86207183-86207327	+	MRPL35	ENST00000337109	-0.01	HNRNPA1
chr7:107573704-107573821	+	DUS4L	ENST00000265720	-0.303	chr15:72715291-72715402	+	BBS4	ENST00000268057	-0.01	HNRNPA1
chr11:47259180-47259259	+	NR1H3	ENST00000441012	0.496	chr20:37401602-37401678	+	SRC	ENST00000373578	0.01	HNRNPA1
chr7:99498716-99498842	-	ZNF394	ENST00000337673	0.483	chr8:140674298-140674404	-	PTK2	ENST00000696786	0.0	HNRNPA1
chr14:23565816-23565892	-	AP1G2	ENST00000397120	-0.23	chr11:47182674-47182764	-	PACSIN3	ENST00000298838	-0.01	HNRNPA1
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.238	chr17:4890951-4891124	+	MINK1	ENST00000355280	0.02	HNRNPA1
chr8:123253322-123256171	-	ZHX1	ENST00000395571	-0.39	chr15:42449771-42451954	-	ZNF106	ENST00000564754	0.01	HNRNPA1
chr1:183806375-183806485	+	RGL1	ENST00000360851	-0.522	chr3:142597237-142597348	+	PLS1	ENST00000464320	-0.02	HNRNPA1
chr2:27774424-27774530	+	MRPL33	ENST00000296102	-0.265	chr3:47101458-47101555	-	SETD2	ENST00000409792	-0.0	HNRNPA1
chr1:244841944-244842058	+	COX20	ENST00000411948	-0.246	chrX:40597249-40597344	+	ATP6AP2	ENST00000636580	-0.0	HNRNPA1
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.212	chr2:43896634-43896708	-	LRPPRC	ENST00000260665	0.0	HNRNPA1
chr2:200860125-200860215	-	CLK1	ENST00000321356	0.269	chr4:154546123-154546213	-	PLRG1	ENST00000499023	0.0	HNRNPA1
chr7:90355086-90355230	+	GTPBP10	ENST00000222511	0.327	chrX:115610803-115610921	+	PLS3	ENST00000289290	-0.0	HNRNPA1
chr11:18575347-18575412	-	UEVLD	ENST00000396197	0.238	chr9:100445169-100445237	+	MSANTD3	ENST00000374885	-0.01	HNRNPA1
chr5:78449933-78450034	+	SCAMP1	ENST00000621999	0.192	chr12:71861405-71861496	+	TBC1D15	ENST00000319106	-0.02	HNRNPA1
chr17:39745913-39746000	+	GRB7	ENST00000309156	-0.296	chr12:56236931-56237011	+	SLC39A5	ENST00000454355	-0.02	HNRNPA1
chr7:100077303-100077433	-	ZNF3	ENST00000299667	0.359	chr12:50096850-50096972	+	SMARCD1	ENST00000394963	0.01	HNRNPA1
chr5:177371475-177371589	+	RGS14	ENST00000408923	-0.271	chr11:65115476-65115598	+	TM7SF2	ENST00000279263	-0.0	HNRNPA1
chr3:57871636-57871698	+	SLMAP	ENST00000671191	0.538	chr6:36059289-36059347	+	MAPK14	ENST00000229794	0.01	HNRNPA1
chr22:35756105-35756144	-	RBFOX2	ENST00000695854	-0.297	chr1:207770321-207770362	+	CD46	ENST00000367042	-0.0	HNRNPA1
chr22:50457034-50457111	-	SBF1	ENST00000380817	-0.317	chr16:4798569-4798667	-	ROGDI	ENST00000322048	-0.01	HNRNPA1
chr9:128592983-128593042	+	SPTAN1	ENST00000372739	0.288	chr9:35677790-35677856	+	CA9	ENST00000378357	0.01	HNRNPA1
chr9:83666350-83666433	-	UBQLN1	ENST00000376395	-0.207	chr1:51825287-51825382	-	NRDC	ENST00000352171	-0.0	HNRNPA1
chr3:100311833-100311877	+	TBC1D23	ENST00000394144	-0.322	chr10:34336199-34336243	-	PARD3	ENST00000374788	0.0	HNRNPA1
chr10:78040204-78040225	+	RPS24	ENST00000372360	0.164	chr10:78040201-78040225	+	RPS24	ENST00000435275	0.0	HNRNPA1
chr8:81717249-81717288	-	ZFAND1	ENST00000220669	0.356	chr22:40829626-40829674	-	ST13	ENST00000216218	0.0	HNRNPA1
chr4:82862534-82862572	-	SEC31A	ENST00000395310	0.226	chr2:237096822-237096869	+	COPS8	ENST00000354371	0.0	HNRNPA1
chr12:6672350-6672532	-	ZNF384	ENST00000683879	0.225	chr3:186617187-186617350	+	AHSG	ENST00000411641	-0.0	HNRNPA1
chr1:154953671-154953757	-	PBXIP1	ENST00000368463	0.186	chr17:79781696-79781801	+	CBX2	ENST00000310942	0.01	HNRNPA1
chr10:34372498-34372536	-	PARD3	ENST00000374788	0.285	chr7:77585543-77585581	+	PTPN12	ENST00000248594	-0.0	HNRNPA1
chr17:32366665-32366757	+	ZNF207	ENST00000394670	0.349	chr6:99550218-99550309	-	CCNC	ENST00000520429	0.01	HNRNPA1
chr20:58898941-58898985	+	GNAS	ENST00000371085	0.157	chr2:106125620-106125679	-	UXS1	ENST00000283148	0.0	HNRNPA1
chr6:142383760-142383843	+	ADGRG6	ENST00000367609	0.274	chr14:30707990-30708065	+	SCFD1	ENST00000458591	0.01	HNRNPA1
chr1:45607321-45608337	+	NASP	ENST00000350030	-0.303	chr5:132896323-132897240	-	AFF4	ENST00000265343	-0.01	HNRNPA1
chr12:56160626-56160670	+	MYL6	ENST00000550697	0.141	chr6:41741796-41741843	-	PGC	ENST00000425343	0.0	HNRNPA1
chr10:31839637-31839711	-	ARHGAP12	ENST00000344936	0.329	chr12:76809043-76809120	+	ZDHHC17	ENST00000426126	0.02	HNRNPA1
chr21:25997360-25997416	-	APP	ENST00000346798	-0.188	chr3:122387464-122387515	+	FAM162A	ENST00000692876	0.0	HNRNPA1
chr10:24494500-24494604	+	KIAA1217	ENST00000376454	0.482	chr9:130075636-130075749	+	GPR107	ENST00000347136	-0.01	HNRNPA1
chr4:109481677-109481781	+	SEC24B	ENST00000265175	-0.33	chr3:197104903-197105005	-	DLG1	ENST00000667157	-0.01	HNRNPA1
chr7:102395977-102396537	+	PRKRIP1	ENST00000496391	-0.459	chr22:41866831-41867280	+	SREBF2	ENST00000361204	-0.0	HNRNPA1
chr22:41682356-41682587	-	SNU13	ENST00000648674	0.194	chr10:22541804-22542047	-	PIP4K2A	ENST00000376573	0.01	HNRNPA1
chr8:100951929-100952125	-	YWHAZ	ENST00000395957	0.211	chr6:106974578-106974754	-	CD24	ENST00000610952	-0.01	HNRNPA1
chr6:3002050-3002286	+	NQO2	ENST00000338130	-0.401	chr11:126330194-126330436	+	DCPS	ENST00000648516	0.02	HNRNPA1
