exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.266	chr5:55957209-55957291	-	IL6ST	ENST00000381298	-0.02	U2AF2
chr1:10326111-10326359	+	KIF1B	ENST00000676179	0.344	chr1:30964674-30964910	-	PUM1	ENST00000426105	-0.01	U2AF2
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.247	chr16:505524-505627	+	RAB11FIP3	ENST00000262305	0.0	U2AF2
chr16:67658555-67658641	-	ACD	ENST00000620761	-0.188	chr19:33387655-33387744	-	PEPD	ENST00000651901	-0.02	U2AF2
chr6:149597063-149597189	-	KATNA1	ENST00000367411	-0.162	chr14:91974627-91974743	-	TRIP11	ENST00000267622	-0.02	U2AF2
chrX:123613399-123613556	-	THOC2	ENST00000245838	-0.364	chr6:75713675-75713825	+	SENP6	ENST00000447266	-0.01	U2AF2
chr3:138694786-138694907	-	PIK3CB	ENST00000674063	-0.228	chr15:50282279-50282391	-	GABPB1	ENST00000561010	-0.02	U2AF2
chr20:10412530-10413931	-	MKKS	ENST00000347364	-0.271	chr8:58560284-58561795	+	SDCBP	ENST00000523483	-0.01	U2AF2
chr10:21733504-21733592	+	MLLT10	ENST00000307729	-0.106	chr10:22328600-22328698	+	BMI1	ENST00000376663	-0.0	U2AF2
chr12:57107605-57107743	-	STAT6	ENST00000300134	-0.633	chr9:35750243-35750379	+	RGP1	ENST00000378078	-0.01	U2AF2
chr12:15623158-15623287	-	EPS8	ENST00000281172	-0.108	chr6:131884931-131885063	+	ENPP1	ENST00000647893	0.0	U2AF2
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	0.357	chr4:99048733-99048876	+	METAP1	ENST00000296411	-0.02	U2AF2
chr14:92093746-92093831	-	ATXN3	ENST00000644486	-0.516	chr13:27253765-27253843	+	RPL21	ENST00000311549	0.0	U2AF2
chr15:42734226-42734346	-	CDAN1	ENST00000356231	-0.533	chr12:56159587-56159730	+	MYL6	ENST00000550697	0.01	U2AF2
chr16:67658720-67658816	-	ACD	ENST00000620761	-0.293	chr3:50348317-50348410	-	NPRL2	ENST00000232501	-0.02	U2AF2
chr3:123955843-123955965	-	CCDC14	ENST00000409697	-0.298	chr5:95536817-95536925	-	SKIC3	ENST00000358746	-0.01	U2AF2
chrX:123613639-123613708	-	THOC2	ENST00000245838	-0.145	chr10:68341585-68341680	+	HNRNPH3	ENST00000265866	-0.0	U2AF2
chr14:24159864-24159960	+	RNF31	ENST00000324103	-0.252	chr20:35465743-35465825	+	CEP250	ENST00000397527	-0.0	U2AF2
chr3:66362860-66362929	+	SLC25A26	ENST00000354883	-0.271	chr7:155665175-155665253	+	RBM33	ENST00000401878	0.02	U2AF2
chr8:22069016-22069060	+	DMTN	ENST00000358242	-0.421	chr3:46923607-46923668	-	CCDC12	ENST00000683445	0.01	U2AF2
chr1:150556621-150556793	+	ADAMTSL4	ENST00000271643	-0.579	chr11:119049018-119049203	-	HYOU1	ENST00000617285	-0.0	U2AF2
chr14:24241890-24241994	-	TINF2	ENST00000267415	-0.233	chr6:33276176-33276267	+	RPS18	ENST00000439602	-0.0	U2AF2
chr14:92093252-92093318	-	ATXN3	ENST00000644486	-0.248	chr16:81017758-81017834	+	CENPN	ENST00000305850	-0.01	U2AF2
chr1:61771431-61771626	+	PATJ	ENST00000642238	-0.238	chr1:114713800-114713978	-	NRAS	ENST00000369535	0.0	U2AF2
chr14:24241020-24241116	-	TINF2	ENST00000267415	-0.311	chr6:31636510-31636608	+	PRRC2A	ENST00000376033	-0.0	U2AF2
chr1:62079450-62079567	+	PATJ	ENST00000642238	-0.355	chr10:13452539-13452658	-	BEND7	ENST00000466271	-0.01	U2AF2
chr10:21682225-21682257	+	MLLT10	ENST00000307729	-0.403	chr17:78005058-78005079	+	TNRC6C	ENST00000696270	-0.01	U2AF2
chr1:62153358-62153481	+	PATJ	ENST00000642238	-0.234	chr5:32263113-32263242	-	MTMR12	ENST00000382142	-0.01	U2AF2
chr22:19482690-19482827	+	CDC45	ENST00000263201	0.187	chr2:74207704-74207826	+	MTHFD2	ENST00000394053	-0.0	U2AF2
chr7:149878678-149878790	+	ATP6V0E2	ENST00000425642	-0.112	chr17:76019528-76019653	-	EVPL	ENST00000301607	-0.02	U2AF2
chr19:13109915-13110001	-	TRMT1	ENST00000357720	-0.488	chr16:3027170-3027280	+	THOC6	ENST00000326266	-0.01	U2AF2
chr19:13115626-13115768	-	TRMT1	ENST00000357720	-0.274	chr1:160091808-160091938	-	IGSF8	ENST00000314485	-0.0	U2AF2
chr2:201274889-201274953	+	CASP8	ENST00000673742	-0.359	chr2:101842609-101842681	+	MAP4K4	ENST00000324219	-0.0	U2AF2
chr8:42308901-42309025	+	IKBKB	ENST00000520810	0.367	chr13:98457168-98457304	-	STK24	ENST00000539966	-0.01	U2AF2
chrX:30834051-30834152	-	TAB3	ENST00000288422	-0.125	chr5:109865036-109865146	+	MAN2A1	ENST00000261483	-0.0	U2AF2
chr8:31076173-31076287	+	WRN	ENST00000298139	-0.272	chr1:75745806-75745914	+	ACADM	ENST00000370841	0.0	U2AF2
chr20:35632163-35632234	-	CPNE1	ENST00000397443	-0.14	chr12:56083467-56083548	+	ERBB3	ENST00000415288	0.01	U2AF2
chr13:36867273-36867383	-	SMAD9	ENST00000379826	-0.266	chr6:41079029-41079164	+	NFYA	ENST00000341376	-0.02	U2AF2
chr2:97142763-97142835	+	ANKRD36	ENST00000420699	-0.897	chr2:97204191-97204263	+	ANKRD36	ENST00000420699	-0.02	U2AF2
chr9:121961-122090	-	ZNG1A	ENST00000356521	-0.193	chr2:113495120-113495249	+	ZNG1B	ENST00000259199	-0.01	U2AF2
chr22:37855565-37855644	+	EIF3L	ENST00000652021	-0.115	chr12:10218063-10218141	+	GABARAPL1	ENST00000266458	-0.0	U2AF2
chr1:236861125-236861277	+	MTR	ENST00000366577	-0.285	chr3:53874211-53874364	-	ACTR8	ENST00000335754	-0.02	U2AF2
chr1:236815604-236815663	+	MTR	ENST00000366577	-0.162	chr1:109413068-109413135	-	PSMA5	ENST00000271308	-0.02	U2AF2
chr19:9415654-9415742	-	ZNF266	ENST00000592904	-0.421	chr12:7933810-7933902	-	SLC2A3	ENST00000075120	-0.01	U2AF2
chr17:78552697-78552805	-	DNAH17	ENST00000389840	-0.393	chr10:1005818-1005907	+	GTPBP4	ENST00000360803	0.01	U2AF2
chr19:9434075-9434235	-	ZNF266	ENST00000592904	-0.261	chr1:94902121-94902258	-	CNN3	ENST00000370206	-0.02	U2AF2
chr9:122857923-122858093	-	RC3H2	ENST00000357244	-0.253	chr1:114424591-114424755	-	TRIM33	ENST00000358465	-0.0	U2AF2
