exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr16:16162993-16163192	-	ABCC6	ENST00000205557	-0.393	chr13:51944109-51944291	-	ATP7B	ENST00000242839	-0.02	SF1
chr2:164915112-164915273	-	SLC38A11	ENST00000685975	0.367	chr8:100264034-100264195	-	RNF19A	ENST00000341084	-0.01	SF1
chr9:122851323-122851436	-	RC3H2	ENST00000357244	-0.254	chr6:159788058-159788143	-	TCP1	ENST00000321394	-0.01	SF1
chr16:14649804-14649973	+	BFAR	ENST00000261658	-0.274	chr1:46310155-46310316	+	UQCRH	ENST00000311672	-0.0	SF1
chr1:113906996-113907161	+	DCLRE1B	ENST00000650450	-0.255	chr6:44248630-44248776	+	HSP90AB1	ENST00000371646	-0.0	SF1
chr16:2756334-2756606	+	SRRM2	ENST00000301740	-0.182	chr11:646327-646555	-	DEAF1	ENST00000685854	0.01	SF1
chr3:113017448-113017602	-	NEPRO	ENST00000314400	0.45	chr12:119770785-119770910	-	CIT	ENST00000392521	-0.01	SF1
chr12:26979784-26979936	-	TM7SF3	ENST00000343028	-0.173	chr14:64454723-64454875	+	MTHFD1	ENST00000652337	-0.0	SF1
chr7:106017846-106018072	+	CDHR3	ENST00000317716	-0.499	chr20:6110298-6110511	-	FERMT1	ENST00000217289	0.02	SF1
chr11:65038572-65038829	+	SNX15	ENST00000377244	-0.303	chr11:8715603-8715818	-	DENND2B	ENST00000313726	-0.02	SF1
chr16:74889703-74889815	-	WDR59	ENST00000262144	-0.27	chr2:20003161-20003286	-	MATN3	ENST00000407540	-0.0	SF1
chr4:88805011-88805052	-	FAM13A	ENST00000264344	0.348	chr16:47237965-47238008	-	ITFG1	ENST00000320640	-0.0	SF1
chr16:70314902-70314955	+	DDX19B	ENST00000288071	-0.276	chr8:54063328-54063375	-	LYPLA1	ENST00000316963	-0.01	SF1
chr4:56384070-56384341	-	AASDH	ENST00000205214	-0.392	chr11:113743802-113744040	-	ZW10	ENST00000200135	0.01	SF1
chr4:70201454-70201501	+	ODAM	ENST00000683306	0.264	chr2:55671995-55672046	-	PNPT1	ENST00000447944	-0.01	SF1
chr19:18342859-18342911	+	PGPEP1	ENST00000269919	-0.261	chr22:19499101-19499151	+	CDC45	ENST00000263201	0.01	SF1
chr19:18431353-18431418	+	SSBP4	ENST00000270061	-0.228	chr19:2113336-2113413	-	AP3D1	ENST00000643116	0.0	SF1
chr3:50300988-50301077	-	HYAL1	ENST00000395144	-0.153	chr1:19307314-19307410	-	AKR7A2	ENST00000235835	0.01	SF1
chr3:52805808-52805840	+	ITIH3	ENST00000449956	-0.133	chr1:1053461-1053493	+	AGRN	ENST00000620552	0.0	SF1
chr11:90159239-90159337	+	NAALAD2	ENST00000534061	-0.325	chr2:174081152-174081248	-	OLA1	ENST00000284719	0.0	SF1
chr16:4801267-4801321	-	ROGDI	ENST00000322048	-0.332	chr16:88710223-88710282	+	CTU2	ENST00000453996	0.02	SF1
chr11:67299058-67299124	+	ANKRD13D	ENST00000511455	-0.241	chr1:20656101-20656187	-	DDOST	ENST00000602624	0.0	SF1
chr11:74851088-74851203	-	XRRA1	ENST00000684022	-0.344	chr17:75660955-75661066	-	RECQL5	ENST00000317905	0.02	SF1
chr16:30721189-30721476	+	SRCAP	ENST00000262518	0.282	chr17:40035117-40035349	-	MED24	ENST00000394128	-0.02	SF1
chr4:103028747-103028883	-	SLC9B2	ENST00000394785	0.269	chr13:48362815-48362957	+	RB1	ENST00000267163	0.02	SF1
chr22:43137081-43137298	-	MCAT	ENST00000290429	-0.273	chr14:94619195-94619468	+	SERPINA3	ENST00000393078	0.01	SF1
chr1:74707103-74707204	-	CRYZ	ENST00000340866	-0.227	chr2:55309162-55309254	-	CCDC88A	ENST00000436346	-0.01	SF1
chr22:31688156-31688227	-	PRR14L	ENST00000327423	0.274	chr2:202275113-202275189	+	NOP58	ENST00000264279	0.0	SF1
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	-0.211	chr19:43626784-43626918	-	CADM4	ENST00000222374	-0.01	SF1
chr1:32634768-32634792	-	ZBTB8OS	ENST00000468695	-0.233	chr3:58423461-58423494	+	PXK	ENST00000479241	0.01	SF1
chr13:51958311-51958544	-	ATP7B	ENST00000242839	-0.25	chr1:202895522-202895717	-	KLHL12	ENST00000367261	-0.01	SF1
chr1:29150103-29150192	-	SRSF4	ENST00000373795	-0.155	chr10:119044054-119044142	-	EIF3A	ENST00000369144	-0.0	SF1
chr2:108788032-108788089	+	CCDC138	ENST00000295124	-0.448	chr20:41115371-41115439	+	TOP1	ENST00000361337	0.01	SF1
chr2:100988079-100988276	+	NPAS2	ENST00000335681	-0.714	chr16:15691144-15691323	+	NDE1	ENST00000396354	-0.01	SF1
chr1:37796744-37796820	+	MANEAL	ENST00000373045	-0.25	chr6:31745237-31745319	+	MSH5	ENST00000375750	0.01	SF1
chr1:40509451-40509625	+	EXO5	ENST00000415550	-0.314	chr11:60898101-60898271	-	PRPF19	ENST00000227524	0.0	SF1
chr21:15014344-15014466	-	NRIP1	ENST00000318948	0.258	chr6:20781145-20781265	+	CDKAL1	ENST00000274695	-0.02	SF1
chr1:8614561-8614686	-	RERE	ENST00000400908	0.268	chr7:127721287-127721400	+	SND1	ENST00000354725	0.0	SF1
chr21:46636439-46636547	+	PRMT2	ENST00000355680	-0.263	chr11:10807255-10807381	-	EIF4G2	ENST00000339995	0.0	SF1
chr21:41322923-41323066	+	FAM3B	ENST00000357985	-0.199	chr20:50108973-50109111	-	UBE2V1	ENST00000625172	-0.0	SF1
chrX:19380120-19380277	-	MAP3K15	ENST00000338883	-0.264	chr17:78392514-78392665	+	PGS1	ENST00000587356	-0.02	SF1
chr12:56479052-56479181	-	GLS2	ENST00000311966	-0.29	chr17:43520751-43520879	+	DHX8	ENST00000262415	-0.02	SF1
