exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr1:147270932-147271005	+	CHD1L	ENST00000369258	-0.192	chr1:109413068-109413135	-	PSMA5	ENST00000271308	-0.01	PCBP2
chr14:24241020-24241116	-	TINF2	ENST00000267415	-0.185	chr17:7313906-7313988	-	GPS2	ENST00000380728	-0.01	PCBP2
chr20:35632163-35632234	-	CPNE1	ENST00000397443	-0.155	chr12:57695962-57696038	+	OS9	ENST00000315970	-0.0	PCBP2
chr12:102844336-102844431	-	PAH	ENST00000553106	-0.257	chr12:50727703-50727812	+	DIP2B	ENST00000301180	0.01	PCBP2
chr16:20843934-20844026	+	REXO5	ENST00000261377	-0.448	chr7:30631448-30631541	+	GARS1	ENST00000389266	0.01	PCBP2
chr8:6444393-6445547	+	MCPH1	ENST00000344683	-0.331	chr5:173090315-173091401	+	CREBRF	ENST00000296953	-0.02	PCBP2
chr1:109625303-109625433	+	AMPD2	ENST00000528667	-0.296	chr16:75237183-75237344	-	BCAR1	ENST00000162330	-0.02	PCBP2
chr3:105681479-105681610	-	CBLB	ENST00000394030	-0.305	chr15:43149029-43149151	+	TMEM62	ENST00000260403	-0.02	PCBP2
chr12:31709293-31709425	-	AMN1	ENST00000281471	0.268	chr8:94756036-94756159	+	DPY19L4	ENST00000414645	-0.01	PCBP2
chr15:84908718-84908795	+	SLC28A1	ENST00000394573	-0.451	chr8:11861406-11861479	-	CTSB	ENST00000677544	-0.0	PCBP2
chr7:45104099-45104256	-	TBRG4	ENST00000258770	-0.309	chr22:31602607-31602785	+	SFI1	ENST00000400288	0.01	PCBP2
chr2:85371440-85371562	+	ELMOD3	ENST00000409013	0.347	chr19:17517710-17517850	+	PGLS	ENST00000252603	0.01	PCBP2
chr7:45104538-45104709	-	TBRG4	ENST00000258770	-0.339	chr17:80222655-80222847	+	SLC26A11	ENST00000361193	0.01	PCBP2
chr15:99241365-99241559	-	TTC23	ENST00000394132	-0.398	chr7:29499867-29500040	+	CHN2	ENST00000222792	0.01	PCBP2
chr16:635612-635774	-	METTL26	ENST00000301686	0.417	chr17:82236729-82236872	+	SLC16A3	ENST00000582743	0.0	PCBP2
chr11:65046445-65046526	-	NAALADL1	ENST00000358658	-0.379	chr16:28955978-28956058	+	NFATC2IP	ENST00000320805	-0.02	PCBP2
chr4:56384070-56384341	-	AASDH	ENST00000205214	0.308	chr7:23185070-23185298	+	NUP42	ENST00000258742	0.02	PCBP2
chr9:105573655-105573746	+	FKTN	ENST00000357998	0.512	chr2:20332967-20333063	-	PUM2	ENST00000424110	0.02	PCBP2
chr3:49698755-49698822	+	RNF123	ENST00000327697	-0.215	chr17:36599972-36600037	+	DHRS11	ENST00000618403	0.01	PCBP2
chr19:44635401-44635465	+	IGSF23	ENST00000402988	-0.382	chr16:4868833-4868903	+	UBN1	ENST00000262376	0.01	PCBP2
chr16:4821547-4821597	-	GLYR1	ENST00000321919	-0.147	chr17:28857939-28857985	+	ERAL1	ENST00000254928	0.01	PCBP2
chr11:70421470-70421580	+	CTTN	ENST00000301843	-0.417	chrX:49000861-49000959	-	GRIPAP1	ENST00000617369	0.0	PCBP2
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	-0.366	chr19:43626784-43626918	-	CADM4	ENST00000222374	0.01	PCBP2
chr2:11174968-11175009	+	SLC66A3	ENST00000295083	-0.309	chr1:53793229-53793279	-	NDC1	ENST00000371429	0.02	PCBP2
chr9:96336717-96336784	-	SLC35D2	ENST00000253270	-0.162	chr15:41270557-41270618	+	CHP1	ENST00000334660	0.01	PCBP2
chr9:96343904-96343996	-	SLC35D2	ENST00000253270	-0.466	chr8:42362612-42362698	+	POLB	ENST00000265421	-0.02	PCBP2
chr14:23565816-23565892	-	AP1G2	ENST00000397120	-0.352	chr11:47182674-47182764	-	PACSIN3	ENST00000298838	0.01	PCBP2
chr14:24441674-24441795	-	SDR39U1	ENST00000399395	-0.195	chr14:24441678-24441795	-	SDR39U1	ENST00000555225	0.0	PCBP2
chr14:24442178-24442260	-	SDR39U1	ENST00000399395	-0.593	chr9:113410055-113410140	-	POLE3	ENST00000374171	0.0	PCBP2
chr2:53765377-53765585	-	ASB3	ENST00000263634	-0.202	chr2:42682401-42682589	+	MTA3	ENST00000405094	0.0	PCBP2
chr13:113637818-113637896	+	TFDP1	ENST00000375370	-0.264	chr15:68782956-68783053	-	ANP32A	ENST00000465139	-0.01	PCBP2
chr2:200860125-200860215	-	CLK1	ENST00000321356	0.232	chr6:99550218-99550309	-	CCNC	ENST00000520429	-0.0	PCBP2
chr2:219227922-219228053	-	ATG9A	ENST00000361242	0.29	chr12:6922056-6922164	+	ENO2	ENST00000229277	0.01	PCBP2
chr1:224326391-224326464	-	NVL	ENST00000281701	0.266	chr10:124819384-124819450	+	ABRAXAS2	ENST00000298492	-0.01	PCBP2
chr2:227352514-227352573	+	MFF	ENST00000304593	-0.199	chr10:218455-218499	+	ZMYND11	ENST00000397955	-0.01	PCBP2
chr5:78449933-78450034	+	SCAMP1	ENST00000621999	0.167	chr7:112318182-112318273	+	ZNF277	ENST00000361822	-0.01	PCBP2
chr17:36486935-36486966	+	ZNHIT3	ENST00000617429	-0.17	chr16:57463029-57463078	+	POLR2C	ENST00000219252	-0.0	PCBP2
chr17:39745913-39746000	+	GRB7	ENST00000309156	-0.318	chr3:51986415-51986504	+	ACY1	ENST00000636358	0.01	PCBP2
chr17:7412157-7412207	+	NLGN2	ENST00000302926	-0.397	chr21:43746079-43746125	+	PDXK	ENST00000291565	0.0	PCBP2
chr6:144827348-144827386	+	UTRN	ENST00000367545	-0.149	chr12:55800854-55800900	-	SARNP	ENST00000336133	0.0	PCBP2
chr5:136147832-136147906	+	SMAD5	ENST00000545279	0.351	chr2:175136412-175136486	-	ATF2	ENST00000264110	-0.0	PCBP2
chr6:42214120-42214192	-	MRPS10	ENST00000053468	-0.203	chrX:134899090-134899165	-	MOSPD1	ENST00000370783	-0.01	PCBP2
chrX:66604421-66604506	-	EDA2R	ENST00000374719	-0.408	chr11:78102874-78102948	-	ALG8	ENST00000376156	0.01	PCBP2
chr17:5428071-5428211	+	RPAIN	ENST00000381209	-0.342	chr16:14889096-14889215	+	NOMO1	ENST00000287667	-0.0	PCBP2
chr12:27387228-27387320	+	BMAL2	ENST00000266503	0.277	chr17:63754433-63754518	-	CCDC47	ENST00000225726	-0.0	PCBP2
chr6:33304128-33304217	-	TAPBP	ENST00000434618	-0.32	chr2:130370705-130370782	+	PTPN18	ENST00000175756	-0.01	PCBP2
chr9:128187863-128187934	-	CIZ1	ENST00000372938	0.316	chr10:97393684-97393760	-	RRP12	ENST00000370992	-0.02	PCBP2
chr2:101860825-101860986	+	MAP4K4	ENST00000324219	-0.292	chr8:140668269-140668424	-	PTK2	ENST00000696786	-0.01	PCBP2
chr10:50099978-50100064	+	WASHC2A	ENST00000282633	-0.325	chr16:14604146-14604226	-	PARN	ENST00000437198	0.01	PCBP2
chrX:139787173-139787244	-	ATP11C	ENST00000682941	-0.339	chr2:47375234-47375299	+	EPCAM	ENST00000263735	0.0	PCBP2
chr5:138329553-138329647	-	CDC25C	ENST00000323760	0.349	chr3:52643248-52643343	-	PBRM1	ENST00000296302	0.01	PCBP2
chr9:131494405-131494486	+	PRRC2B	ENST00000683519	-0.326	chr11:73649012-73649087	+	PLEKHB1	ENST00000354190	-0.01	PCBP2
chr14:21263311-21263336	-	HNRNPC	ENST00000553300	-0.151	chr3:177091151-177091180	-	TBL1XR1	ENST00000427349	0.01	PCBP2
chr7:92042046-92042186	+	AKAP9	ENST00000356239	0.282	chr2:113495120-113495249	+	ZNG1B	ENST00000259199	0.02	PCBP2
chr14:32090502-32094386	+	ARHGAP5	ENST00000345122	-0.268	chr11:63718702-63721032	+	RTN3	ENST00000377819	0.02	PCBP2
chr3:111884064-111885412	+	PHLDB2	ENST00000431670	-0.272	chr7:66240325-66241270	+	TPST1	ENST00000304842	-0.02	PCBP2
chr17:78205946-78206050	+	AFMID	ENST00000409257	-0.205	chr1:11746127-11746223	+	AGTRAP	ENST00000452018	0.01	PCBP2
chr1:211312720-211312961	+	RCOR3	ENST00000419091	-0.25	chr1:86742208-86742436	+	SH3GLB1	ENST00000370558	0.0	PCBP2
chr17:78205093-78205190	+	AFMID	ENST00000409257	-0.255	chr3:184315763-184315856	+	EIF4G1	ENST00000346169	-0.01	PCBP2
chr17:78204828-78204900	+	AFMID	ENST00000409257	-0.292	chr17:42120030-42120119	-	ENSG00000267261	ENST00000592574	-0.01	PCBP2
chr1:162592732-162592782	+	UAP1	ENST00000367925	-0.267	chr10:75214021-75214070	+	VDAC2	ENST00000332211	-0.0	PCBP2
chr1:167776064-167776166	+	MPZL1	ENST00000359523	-0.233	chr3:170145423-170145521	-	PHC3	ENST00000495893	-0.01	PCBP2
chr4:82862534-82862572	-	SEC31A	ENST00000395310	0.17	chr9:2072032-2072067	+	SMARCA2	ENST00000636916	-0.01	PCBP2
chr3:179701008-179701129	+	USP13	ENST00000263966	-0.319	chr9:120550792-120550902	-	CDK5RAP2	ENST00000349780	0.01	PCBP2
chr3:179690241-179690301	+	USP13	ENST00000263966	-0.326	chr9:2170419-2170472	+	SMARCA2	ENST00000349721	-0.01	PCBP2
chr3:48632245-48632396	-	SLC26A6	ENST00000395550	-0.238	chr16:262093-262225	+	FAM234A	ENST00000399932	-0.0	PCBP2
chr7:94629719-94629841	-	SGCE	ENST00000648936	0.236	chr4:106262098-106262212	-	TBCK	ENST00000394708	-0.0	PCBP2
chr3:58141858-58141929	+	FLNB	ENST00000295956	-0.188	chr19:16081020-16081075	+	TPM4	ENST00000642221	-0.0	PCBP2
chr1:17634548-17634562	+	ARHGEF10L	ENST00000361221	-0.303	chr20:24964375-24964398	-	APMAP	ENST00000451442	-0.01	PCBP2
chr3:171686685-171686798	-	PLD1	ENST00000351298	0.121	chr12:50454314-50454417	+	LARP4	ENST00000398473	0.01	PCBP2
chr17:4892402-4892512	+	MINK1	ENST00000355280	-0.418	chr17:78126524-78126648	-	TMC6	ENST00000590602	0.02	PCBP2
chr14:35548508-35548538	-	RALGAPA1	ENST00000680220	-0.164	chr6:131685876-131685907	+	ENPP3	ENST00000357639	0.02	PCBP2
chr1:45607321-45608337	+	NASP	ENST00000350030	-0.189	chr5:132896323-132897240	-	AFF4	ENST00000265343	-0.01	PCBP2
chr17:5108926-5109052	-	ZNF232	ENST00000250076	0.208	chr8:26643950-26644091	+	DPYSL2	ENST00000521913	-0.01	PCBP2
chr5:66158809-66158932	+	SREK1	ENST00000380918	0.355	chr1:81966058-81966183	+	ADGRL2	ENST00000686636	-0.01	PCBP2
chr14:91145221-91145313	+	DGLUCY	ENST00000518868	-0.585	chr1:36361221-36361340	-	STK40	ENST00000373132	-0.0	PCBP2
chr1:151285206-151286074	+	ZNF687	ENST00000324048	0.343	chr14:94289876-94290643	-	SERPINA10	ENST00000261994	0.02	PCBP2
chr4:1802914-1803064	+	FGFR3	ENST00000340107	0.366	chr7:2659940-2660040	+	TTYH3	ENST00000429448	-0.0	PCBP2
chr8:17554946-17555082	+	SLC7A2	ENST00000470360	0.323	chr12:24832723-24832863	-	BCAT1	ENST00000261192	-0.01	PCBP2
chr3:58141858-58141896	+	FLNB	ENST00000429972	-0.191	chr17:81610210-81610258	-	NPLOC4	ENST00000331134	-0.01	PCBP2
chr14:89190384-89190449	-	FOXN3	ENST00000345097	-0.43	chr3:66462438-66462509	-	LRIG1	ENST00000273261	0.02	PCBP2
chr2:172562741-172562800	+	PDK1	ENST00000392571	0.201	chr13:36994989-36995035	-	ALG5	ENST00000239891	0.02	PCBP2
chr2:187513616-187513646	-	TFPI	ENST00000409676	-0.247	chr3:65401439-65401470	-	MAGI1	ENST00000402939	0.01	PCBP2
chr1:225504991-225505053	-	ENAH	ENST00000366844	-0.314	chr5:38978583-38978650	-	RICTOR	ENST00000357387	0.0	PCBP2
chr2:227342745-227342819	+	MFF	ENST00000353339	0.224	chr13:79543618-79543682	+	NDFIP2	ENST00000487865	-0.01	PCBP2
chr1:112686966-112687106	+	MOV10	ENST00000369644	0.202	chr19:9660720-9660874	-	ZNF562	ENST00000453372	-0.01	PCBP2
chr14:24442098-24442260	-	SDR39U1	ENST00000554698	-0.582	chr6:43130511-43130661	+	PTK7	ENST00000230419	-0.01	PCBP2
chr8:18064457-18064468	-	ASAH1	ENST00000637528	-0.239	chr4:48502828-48502845	-	FRYL	ENST00000358350	0.02	PCBP2
chr2:272037-272065	+	ACP1	ENST00000405233	-0.173	chr6:33202072-33202125	+	SLC39A7	ENST00000374677	-0.0	PCBP2
chr12:56159587-56159622	+	MYL6	ENST00000548400	-0.285	chr17:28350766-28350792	-	POLDIP2	ENST00000540200	0.0	PCBP2
chr2:161161285-161161412	+	TANK	ENST00000402568	0.339	chr12:102061248-102061346	-	WASHC3	ENST00000240079	-0.02	PCBP2
chr3:9928583-9928630	+	IL17RC	ENST00000696825	-0.536	chr19:11438067-11438124	+	PRKCSH	ENST00000677123	-0.0	PCBP2
chr17:58005414-58005600	-	SRSF1	ENST00000584773	-0.167	chr18:57607134-57607333	-	NARS1	ENST00000256854	-0.0	PCBP2
chr16:4343483-4343594	-	PAM16	ENST00000571941	0.534	chr19:55387930-55388048	+	RPL28	ENST00000344063	-0.01	PCBP2
chr14:24442109-24442260	-	SDR39U1	ENST00000556523	-0.601	chr19:1058146-1058269	+	ABCA7	ENST00000263094	0.02	PCBP2
chr14:21263311-21263582	-	HNRNPC	ENST00000557768	-0.135	chr11:86306245-86306482	+	HIKESHI	ENST00000278483	-0.0	PCBP2
chr14:89190387-89190449	-	FOXN3	ENST00000553840	-0.349	chr10:35483404-35483478	+	CCNY	ENST00000374704	-0.01	PCBP2
chr17:43212315-43212394	+	TMEM106A	ENST00000588693	0.329	chr6:43060518-43060605	+	KLC4	ENST00000394056	-0.02	PCBP2
chr1:243293399-243293494	+	SDCCAG8	ENST00000476722	0.332	chr3:9454005-9454101	+	SETD5	ENST00000488236	-0.01	PCBP2
chr20:64258767-64258882	+	PCMTD2	ENST00000609764	0.325	chr16:81084463-81084594	-	GCSH	ENST00000315467	-0.01	PCBP2
chr3:130894731-130894775	+	ATP2C1	ENST00000505072	0.287	chr3:63913157-63913225	+	ATXN7	ENST00000674280	-0.0	PCBP2
chr2:219229010-219229174	-	ATG9A	ENST00000436856	0.358	chr2:197499259-197499438	-	HSPD1	ENST00000428204	-0.0	PCBP2
chr2:187529364-187529485	-	TFPI	ENST00000421427	-0.217	chr15:58698280-58698404	-	ADAM10	ENST00000558004	-0.0	PCBP2
chr12:21501170-21501372	-	RECQL	ENST00000314748	0.248	chr6:33209915-33210130	+	RING1	ENST00000374656	-0.0	PCBP2
chr7:155806711-155806839	-	SHH	ENST00000430104	0.531	chr1:946402-946545	-	NOC2L	ENST00000327044	-0.0	PCBP2
