exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr4:56384070-56384341	-	AASDH	ENST00000205214	0.308	chr7:23185070-23185298	+	NUP42	ENST00000258742	-0.02	TRA2A
chr2:215392931-215393203	-	FN1	ENST00000354785	0.117	chr12:107740946-107741260	-	PRDM4	ENST00000228437	0.0	TRA2A
chr2:19960554-19960614	-	WDR35	ENST00000281405	-0.343	chr5:55656715-55656774	-	SLC38A9	ENST00000396865	-0.01	TRA2A
chr1:51756320-51756358	+	OSBPL9	ENST00000428468	-0.235	chr7:94588689-94588732	-	SGCE	ENST00000648936	0.01	TRA2A
chr10:110132305-110132400	+	ADD3	ENST00000356080	0.348	chr11:125611428-125611519	+	STT3A	ENST00000392708	-0.0	TRA2A
chr6:56468982-56468999	-	DST	ENST00000680361	-0.178	chr6:131615324-131615341	-	MED23	ENST00000354577	0.02	TRA2A
chr6:142383760-142383843	+	ADGRG6	ENST00000367609	0.475	chr14:30707990-30708065	+	SCFD1	ENST00000458591	0.01	TRA2A
chr1:45552436-45552563	+	AKR1A1	ENST00000372070	0.295	chr15:101382092-101382209	-	PCSK6	ENST00000611716	0.01	TRA2A
chr12:21501170-21501215	-	RECQL	ENST00000421138	0.252	chr1:161203787-161203837	+	NDUFS2	ENST00000679218	0.0	TRA2A
chr10:122428276-122428316	+	PLEKHA1	ENST00000368989	-0.281	chr13:75527813-75527851	-	COMMD6	ENST00000355801	0.0	TRA2A
chr10:5720260-5720397	+	TASOR2	ENST00000695834	0.427	chr17:50750501-50750641	+	LUC7L3	ENST00000393227	0.0	TRA2A
chr10:122428276-122428420	+	PLEKHA1	ENST00000368988	-0.249	chr2:215420673-215420801	-	FN1	ENST00000354785	-0.0	TRA2A
chr12:131963532-131963642	+	EP400	ENST00000333577	0.503	chr2:26230192-26230294	-	HADHA	ENST00000380649	0.0	TRA2A
chr12:21501170-21501372	-	RECQL	ENST00000314748	0.282	chr6:33209915-33210130	+	RING1	ENST00000374656	-0.01	TRA2A
