exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr4:152870753-152870848	+	ARFIP1	ENST00000353617	-0.345	chr2:135933910-135933990	-	DARS1	ENST00000264161	-0.0	HNRNPM
chr7:24706184-24706376	-	GSDME	ENST00000645220	-0.234	chrX:49237086-49237263	+	CCDC22	ENST00000376227	0.01	HNRNPM
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.558	chr11:9152358-9152442	-	DENND5A	ENST00000328194	-0.0	HNRNPM
chr16:68347211-68347294	+	PRMT7	ENST00000441236	0.44	chr16:57125277-57125363	+	CPNE2	ENST00000565766	-0.0	HNRNPM
chr3:32737410-32737490	+	CNOT10	ENST00000328834	0.252	chr17:37444696-37444768	+	TADA2A	ENST00000615182	-0.01	HNRNPM
chr3:196566877-196567307	-	WDR53	ENST00000332629	0.449	chr20:47246008-47246517	-	ZMYND8	ENST00000471951	-0.01	HNRNPM
chr3:168040786-168040869	-	GOLIM4	ENST00000470487	-0.265	chr16:11761406-11761511	-	ZC3H7A	ENST00000355758	-0.0	HNRNPM
chr3:121799196-121799374	-	IQCB1	ENST00000310864	-0.667	chr8:58445907-58446068	+	UBXN2B	ENST00000399598	0.01	HNRNPM
chr12:130795995-130796120	-	STX2	ENST00000392373	0.451	chrX:2953143-2953265	-	ARSL	ENST00000381134	0.02	HNRNPM
chr19:1482896-1483020	-	PCSK4	ENST00000300954	-0.516	chr12:120737356-120737467	+	ACADS	ENST00000242592	0.02	HNRNPM
chr16:74889703-74889815	-	WDR59	ENST00000262144	0.252	chr2:20003161-20003286	-	MATN3	ENST00000407540	-0.0	HNRNPM
chr22:35262323-35262421	+	HMGXB4	ENST00000216106	0.448	chr12:109101902-109101999	+	UNG	ENST00000242576	0.0	HNRNPM
chr7:95367362-95367488	-	PON3	ENST00000265627	-0.228	chr10:27235092-27235212	-	ACBD5	ENST00000396271	0.02	HNRNPM
chr21:46636439-46636547	+	PRMT2	ENST00000355680	-0.28	chr12:43805524-43805637	-	TWF1	ENST00000546662	0.02	HNRNPM
chr21:46145417-46145578	-	FTCD	ENST00000397746	-0.209	chr2:131491876-131492024	-	MZT2A	ENST00000309451	0.0	HNRNPM
chr2:27774424-27774530	+	MRPL33	ENST00000296102	0.278	chr1:46643194-46643301	-	ATPAF1	ENST00000574428	-0.01	HNRNPM
chr2:36990648-36990799	-	HEATR5B	ENST00000233099	-0.346	chr9:14750127-14750276	-	FREM1	ENST00000380880	-0.01	HNRNPM
chr1:155910656-155910804	-	RIT1	ENST00000368323	-0.218	chr12:56645171-56645353	-	ATP5F1B	ENST00000262030	-0.0	HNRNPM
chr1:160261285-160261358	-	DCAF8	ENST00000368074	0.268	chr7:95434259-95434333	-	PON2	ENST00000478801	-0.01	HNRNPM
chr2:215380811-215381080	-	FN1	ENST00000354785	0.202	chr4:102633251-102633473	-	MANBA	ENST00000644159	-0.02	HNRNPM
chr2:241099396-241099894	-	MTERF4	ENST00000391980	0.313	chr17:34983002-34983552	+	LIG3	ENST00000378526	-0.01	HNRNPM
chr17:36598921-36599050	+	DHRS11	ENST00000618403	0.487	chr1:11965480-11965593	+	PLOD1	ENST00000196061	-0.0	HNRNPM
chr6:118974428-118974574	-	FAM184A	ENST00000338891	-0.231	chr5:79649062-79649190	+	TENT2	ENST00000453514	0.02	HNRNPM
chr6:144827348-144827386	+	UTRN	ENST00000367545	-0.279	chr12:55800854-55800900	-	SARNP	ENST00000336133	-0.01	HNRNPM
