exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.434	chr5:55957209-55957291	-	IL6ST	ENST00000381298	-0.01	HNRNPC
chr2:130161186-130161272	-	SMPD4	ENST00000680298	-0.241	chr22:35338713-35338788	+	TOM1	ENST00000449058	0.0	HNRNPC
chr15:45172147-45172318	-	SHF	ENST00000690270	-0.35	chr17:42191018-42191210	-	GHDC	ENST00000587427	-0.01	HNRNPC
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	-0.277	chr5:123412399-123412540	-	CEP120	ENST00000306467	0.01	HNRNPC
chr7:24706184-24706376	-	GSDME	ENST00000645220	-0.277	chrX:49237086-49237263	+	CCDC22	ENST00000376227	-0.02	HNRNPC
chr1:147284351-147284499	+	CHD1L	ENST00000369258	-0.214	chr5:34944867-34945025	+	DNAJC21	ENST00000648817	-0.01	HNRNPC
chr2:47046315-47046431	+	TTC7A	ENST00000319190	-0.221	chr16:50621602-50621708	+	NKD1	ENST00000268459	0.0	HNRNPC
chr1:151002165-151002706	-	MINDY1	ENST00000683666	-0.214	chr17:43200167-43200608	+	NBR1	ENST00000590996	-0.0	HNRNPC
chr1:147280026-147280191	+	CHD1L	ENST00000369258	-0.197	chr15:40165053-40165196	+	BUB1B	ENST00000287598	-0.02	HNRNPC
chr11:125637449-125637544	+	CHEK1	ENST00000438015	-0.183	chr6:75265231-75265338	-	TMEM30A	ENST00000230461	-0.01	HNRNPC
chr5:139477329-139477515	-	STING1	ENST00000330794	-0.377	chr3:52785044-52785229	+	ITIH1	ENST00000273283	-0.01	HNRNPC
chr1:45685576-45685620	-	GPBP1L1	ENST00000355105	0.29	chr12:56686869-56686917	-	PTGES3	ENST00000614328	0.02	HNRNPC
chr13:112878217-112878303	+	ATP11A	ENST00000375645	-0.432	chr18:79947267-79947341	-	SLC66A2	ENST00000478144	-0.02	HNRNPC
chr2:169877494-169877637	+	UBR3	ENST00000272793	-0.212	chr8:17962034-17962174	+	PCM1	ENST00000325083	-0.01	HNRNPC
chr15:45603100-45603187	+	BLOC1S6	ENST00000220531	-0.299	chr4:78278655-78278744	+	FRAS1	ENST00000512123	-0.02	HNRNPC
chr8:22080805-22080870	+	DMTN	ENST00000358242	-0.159	chr11:821958-822023	+	PNPLA2	ENST00000336615	-0.0	HNRNPC
chr16:68312042-68312176	+	PRMT7	ENST00000441236	0.429	chr9:93558581-93558715	+	FAM120A	ENST00000698944	-0.02	HNRNPC
chr16:68347211-68347294	+	PRMT7	ENST00000441236	0.455	chr22:37646818-37646929	+	ENSG00000285304	ENST00000451997	-0.0	HNRNPC
chr16:68348342-68348431	+	PRMT7	ENST00000441236	0.26	chr8:27613578-27613683	-	CLU	ENST00000523396	0.0	HNRNPC
chr17:8228727-8228892	-	CTC1	ENST00000651323	-0.258	chr12:49053476-49053641	-	KMT2D	ENST00000301067	-0.02	HNRNPC
chr12:122132292-122132383	+	MLXIP	ENST00000319080	0.264	chr16:29835704-29835798	+	MVP	ENST00000357402	-0.01	HNRNPC
chr12:102843646-102843779	-	PAH	ENST00000553106	-0.162	chr2:241343752-241343897	+	SEPTIN2	ENST00000391971	-0.0	HNRNPC
chr7:151139979-151140116	+	AGAP3	ENST00000397238	-0.406	chr1:112705053-112705168	-	RHOC	ENST00000369638	-0.01	HNRNPC
chr16:15400787-15400857	+	MPV17L	ENST00000396385	0.432	chr5:179580947-179581012	+	RUFY1	ENST00000319449	-0.01	HNRNPC
chr16:15047997-15048099	-	NTAN1	ENST00000287706	-0.173	chr5:179715899-179716000	+	CANX	ENST00000680984	-0.0	HNRNPC
chr15:84687625-84687774	-	SEC11A	ENST00000268220	-0.296	chr14:49795791-49795944	-	NEMF	ENST00000298310	0.01	HNRNPC
chr12:4546309-4546418	+	RAD51AP1	ENST00000352618	-0.216	chr1:51825287-51825382	-	NRDC	ENST00000352171	-0.01	HNRNPC
chr1:154219836-154219937	-	C1orf43	ENST00000368521	0.213	chr4:39503875-39503985	-	UGDH	ENST00000316423	0.0	HNRNPC
chr1:15529088-15529272	+	DNAJC16	ENST00000375847	-0.314	chr8:94534839-94535007	-	VIRMA	ENST00000297591	-0.02	HNRNPC
chr1:155133503-155133568	+	EFNA1	ENST00000368407	-0.107	chr11:62781894-62781968	+	TAF6L	ENST00000294168	-0.02	HNRNPC
chr3:146201035-146201077	-	PLSCR4	ENST00000354952	0.443	chr12:32705825-32705863	+	DNM1L	ENST00000358214	0.0	HNRNPC
chr16:117301-117375	-	NPRL3	ENST00000611875	0.434	chr18:659641-659714	+	TYMS	ENST00000323274	-0.01	HNRNPC
