exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr14:92093746-92093831	-	ATXN3	ENST00000644486	-0.384	chr13:27253765-27253843	+	RPL21	ENST00000311549	-0.0	GEMIN5
chr12:2865355-2865399	-	FOXM1	ENST00000359843	-0.313	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	-0.01	GEMIN5
chr15:99241365-99241559	-	TTC23	ENST00000394132	-0.401	chr9:4826858-4827033	+	RCL1	ENST00000381750	-0.02	GEMIN5
chr19:15886242-15886308	-	CYP4F2	ENST00000221700	-0.304	chr19:39485544-39485602	+	TIMM50	ENST00000607714	-0.0	GEMIN5
chr4:88737472-88737555	-	FAM13A	ENST00000264344	0.341	chr8:43059092-43059177	+	FNTA	ENST00000302279	0.0	GEMIN5
chr16:70469152-70469323	+	FCSK	ENST00000288078	-0.448	chr17:64506076-64506259	-	DDX5	ENST00000577922	0.0	GEMIN5
chr11:59143497-59143695	+	FAM111A	ENST00000675163	-0.422	chr3:185494623-185494761	-	TMEM41A	ENST00000421852	-0.0	GEMIN5
chr11:66643450-66644140	+	RBM4	ENST00000310092	-0.171	chr10:5906037-5906632	+	FBH1	ENST00000362091	0.02	GEMIN5
chr9:70346605-70346649	+	SMC5	ENST00000361138	0.225	chr12:51104155-51104203	-	TFCP2	ENST00000257915	0.01	GEMIN5
chr1:178869114-178869223	-	ANGPTL1	ENST00000234816	0.28	chr14:30639777-30639864	+	SCFD1	ENST00000458591	-0.0	GEMIN5
chr1:193069034-193069634	+	RO60	ENST00000400968	-0.389	chr3:125552181-125552679	-	OSBPL11	ENST00000296220	-0.01	GEMIN5
chr7:6434762-6435020	-	DAGLB	ENST00000297056	-0.331	chr17:76723772-76724058	-	JMJD6	ENST00000397625	0.01	GEMIN5
chr10:44982521-44982663	+	RASSF4	ENST00000340258	-0.19	chr17:74762012-74762173	+	NHERF1	ENST00000262613	-0.01	GEMIN5
chr10:14842134-14842846	+	MSANTD7	ENST00000640019	-0.486	chr10:46010223-46011206	-	NCOA4	ENST00000581486	0.0	GEMIN5
chr6:42810306-42810401	+	BICRAL	ENST00000314073	0.756	chr8:97805353-97805464	+	LAPTM4B	ENST00000521545	-0.0	GEMIN5
chr6:41068841-41068953	-	OARD1	ENST00000424266	-0.208	chr20:17952587-17952710	-	SNX5	ENST00000377759	0.01	GEMIN5
chr20:35458304-35458374	+	CEP250	ENST00000397527	0.322	chr2:112762503-112762569	-	CKAP2L	ENST00000302450	-0.0	GEMIN5
chr5:134741063-134741523	+	CAMLG	ENST00000297156	-0.235	chr15:66325831-66326364	+	DIS3L	ENST00000319212	-0.01	GEMIN5
chr11:72012401-72012442	-	NUMA1	ENST00000393695	-0.245	chr17:75703808-75703859	+	SAP30BP	ENST00000584667	-0.01	GEMIN5
chr4:82861631-82861708	-	SEC31A	ENST00000395310	-0.236	chr20:35713019-35713096	-	RBM39	ENST00000253363	-0.01	GEMIN5
chr4:1803692-1803836	+	FGFR3	ENST00000440486	0.236	chr4:1213478-1213605	-	CTBP1	ENST00000382952	-0.01	GEMIN5
chrX:41557032-41557100	-	CASK	ENST00000378163	0.343	chr5:96770531-96770602	+	CAST	ENST00000309190	-0.0	GEMIN5
chrX:41555600-41555635	-	CASK	ENST00000378163	0.364	chr6:128003197-128003232	-	PTPRK	ENST00000532331	0.01	GEMIN5
chr19:49355959-49355970	-	TEAD2	ENST00000593945	0.161	chr19:35022900-35022911	+	GRAMD1A	ENST00000317991	0.01	GEMIN5
chr3:9744224-9744508	+	BRPF1	ENST00000383829	-0.29	chr8:22249044-22249309	+	POLR3D	ENST00000306433	0.01	GEMIN5
chr4:82371528-82371584	-	HNRNPD	ENST00000313899	0.15	chr2:42304484-42304551	+	EML4	ENST00000318522	0.01	GEMIN5
chr10:110132305-110132400	+	ADD3	ENST00000356080	0.34	chr11:125611428-125611519	+	STT3A	ENST00000392708	-0.0	GEMIN5
chr6:142383760-142383843	+	ADGRG6	ENST00000367609	0.294	chr14:30707990-30708065	+	SCFD1	ENST00000458591	-0.01	GEMIN5
chr10:31839637-31839711	-	ARHGAP12	ENST00000344936	0.319	chr2:182728576-182728658	+	DNAJC10	ENST00000264065	-0.0	GEMIN5
chr10:24494500-24494604	+	KIAA1217	ENST00000376454	0.382	chr9:130075636-130075749	+	GPR107	ENST00000347136	-0.02	GEMIN5
chr1:150441881-150441958	+	RPRD2	ENST00000369068	0.537	chr21:29069423-29069502	-	CCT8	ENST00000286788	0.01	GEMIN5
chr17:76091143-76091235	-	EXOC7	ENST00000589210	0.151	chr9:136802664-136802786	+	CCDC183	ENST00000338005	-0.01	GEMIN5
chr19:44914672-44914733	+	APOC1	ENST00000588750	0.189	chr19:35266679-35266738	+	LSR	ENST00000605618	-0.0	GEMIN5
chr2:121409024-121409047	-	CLASP1	ENST00000541377	0.448	chr4:186590368-186590403	-	FAT1	ENST00000509927	0.02	GEMIN5
chr2:229908965-229909086	-	TRIP12	ENST00000675423	0.609	chr10:74686699-74686820	+	ADK	ENST00000541550	0.0	GEMIN5
chr5:40774928-40774972	-	PRKAA1	ENST00000354209	0.276	chr1:81952987-81953025	+	ADGRL2	ENST00000686636	-0.01	GEMIN5
chr5:57237113-57237172	+	GPBP1	ENST00000424459	0.293	chr7:156762134-156762198	-	LMBR1	ENST00000353442	0.02	GEMIN5
chr20:50098882-50098981	-	UBE2V1	ENST00000557021	0.184	chr14:34609638-34609742	-	SNX6	ENST00000362031	-0.01	GEMIN5
chr3:48715315-48715527	-	IP6K2	ENST00000431721	-0.156	chr9:112078538-112078724	-	SUSD1	ENST00000374270	-0.01	GEMIN5
chr3:48715389-48715527	-	IP6K2	ENST00000446860	-0.2	chr1:25972558-25972712	-	PAFAH2	ENST00000374282	-0.01	GEMIN5
chr19:56833290-56833420	-	PEG3	ENST00000650632	0.354	chr11:108223536-108223686	+	ATM	ENST00000683150	0.01	GEMIN5
chr12:108564060-108564155	+	ISCU	ENST00000392807	-0.301	chr6:42885974-42886083	+	RPL7L1	ENST00000493763	0.0	GEMIN5
chr17:15440208-15440285	-	TVP23C-CDRT4	ENST00000522212	0.308	chr3:48961612-48961679	+	ARIH2	ENST00000356401	0.01	GEMIN5
chr17:67875556-67875744	+	BPTF	ENST00000582467	-0.381	chr2:26285407-26285571	+	HADHB	ENST00000317799	-0.0	GEMIN5
chr13:77118340-77118495	-	MYCBP2	ENST00000682321	0.506	chr10:50859842-50859985	-	A1CF	ENST00000373997	-0.02	GEMIN5
chr5:134741066-134741523	+	CAMLG	ENST00000678771	-0.393	chr16:70528873-70529199	+	SF3B3	ENST00000302516	0.01	GEMIN5
chr13:77118340-77118519	-	MYCBP2	ENST00000683697	0.443	chr1:114421436-114421636	-	TRIM33	ENST00000358465	-0.01	GEMIN5
chr17:76377304-76377404	+	SPHK1	ENST00000591651	0.436	chr17:50464218-50464294	+	ACSF2	ENST00000300441	0.01	GEMIN5
chr12:122520504-122520581	-	RSRC2	ENST00000344591	0.252	chr2:186507395-186507474	+	ZC3H15	ENST00000445547	-0.0	GEMIN5
chr2:241096393-241096438	-	MTERF4	ENST00000414146	-0.293	chr1:32039515-32039573	+	KHDRBS1	ENST00000327300	0.0	GEMIN5
chr19:10106823-10107005	+	PPAN	ENST00000446223	-0.249	chr20:35279566-35279747	-	EIF6	ENST00000374450	-0.0	GEMIN5
