exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr1:10374854-10375046	+	KIF1B	ENST00000676179	-0.195	chr5:138185512-138185710	+	KIF20A	ENST00000394894	0.0	SRSF1
chrX:30697732-30697749	+	GK	ENST00000427190	0.133	chr17:59687001-59687021	+	CLTC	ENST00000472651	0.01	SRSF1
chr2:130161186-130161272	-	SMPD4	ENST00000680298	-0.289	chr1:17619339-17619445	+	ARHGEF10L	ENST00000361221	-0.01	SRSF1
chr17:59880894-59881110	-	TUBD1	ENST00000325752	-0.436	chr2:127852925-127853105	-	POLR2D	ENST00000272645	-0.01	SRSF1
chr17:3648847-3648931	+	CTNS	ENST00000046640	0.321	chr15:101322520-101322607	-	PCSK6	ENST00000611716	0.0	SRSF1
chr6:151445308-151445825	-	RMND1	ENST00000444024	-0.123	chr3:97967162-97967632	-	RIOX2	ENST00000394198	0.01	SRSF1
chr16:16177452-16177626	-	ABCC6	ENST00000205557	-0.159	chr22:29046716-29046883	+	ZNRF3	ENST00000544604	-0.01	SRSF1
chr15:45172147-45172318	-	SHF	ENST00000690270	-0.42	chr7:73605910-73606111	-	MLXIPL	ENST00000313375	-0.01	SRSF1
chr14:92093746-92093831	-	ATXN3	ENST00000644486	-0.324	chr13:27253765-27253843	+	RPL21	ENST00000311549	-0.0	SRSF1
chr2:61162842-61162955	+	C2orf74	ENST00000432605	-0.167	chr1:32668739-32668854	+	RBBP4	ENST00000373493	-0.01	SRSF1
chr3:12312380-12312453	+	PPARG	ENST00000651735	0.166	chr6:106248150-106248244	-	ATG5	ENST00000369076	-0.0	SRSF1
chrX:47089776-47089991	+	RGN	ENST00000397180	-0.421	chr12:101317478-101317663	+	UTP20	ENST00000261637	0.02	SRSF1
chr1:41007449-41007545	+	CTPS1	ENST00000650070	-0.108	chr22:37958374-37958471	+	POLR2F	ENST00000492213	-0.0	SRSF1
chr1:227747692-227748233	+	SNAP47	ENST00000617596	-0.246	chr16:68274691-68275249	+	SLC7A6	ENST00000219343	0.01	SRSF1
chr17:5488196-5488589	+	MIS12	ENST00000611091	-0.365	chr14:102082111-102082444	-	HSP90AA1	ENST00000216281	-0.0	SRSF1
chr22:19508530-19508691	+	CDC45	ENST00000263201	-0.228	chr22:41467448-41467614	-	PHF5A	ENST00000216252	-0.01	SRSF1
chr2:43852354-43852486	+	ABCG8	ENST00000272286	-0.534	chr14:103107424-103107543	+	EXOC3L4	ENST00000688303	-0.02	SRSF1
chr2:43851584-43851822	+	ABCG8	ENST00000272286	-0.46	chr19:54206276-54206462	+	RPS9	ENST00000302907	-0.0	SRSF1
chr19:36201977-36202050	-	ZNF565	ENST00000304116	0.513	chr13:98424572-98424650	+	FARP1	ENST00000319562	-0.02	SRSF1
chr22:19482690-19482827	+	CDC45	ENST00000263201	-0.186	chr2:74207704-74207826	+	MTHFD2	ENST00000394053	-0.0	SRSF1
chr6:28359525-28359988	+	ZKSCAN3	ENST00000252211	-0.228	chr7:107939989-107940358	-	LAMB1	ENST00000222399	0.0	SRSF1
chr2:201274889-201274953	+	CASP8	ENST00000673742	-0.37	chr17:39301001-39301075	-	FBXL20	ENST00000264658	-0.0	SRSF1
chr20:35632163-35632234	-	CPNE1	ENST00000397443	-0.16	chr12:57695962-57696038	+	OS9	ENST00000315970	-0.01	SRSF1
chr19:15924761-15924882	-	CYP4F11	ENST00000402119	-0.309	chr16:23480645-23480770	-	GGA2	ENST00000309859	-0.0	SRSF1
chr1:236861125-236861277	+	MTR	ENST00000366577	-0.211	chr3:53874211-53874364	-	ACTR8	ENST00000335754	0.02	SRSF1
chr1:236873773-236873840	+	MTR	ENST00000366577	-0.501	chr14:58411907-58411971	-	TIMM9	ENST00000395159	-0.0	SRSF1
chr6:16753233-16753347	-	ATXN1	ENST00000436367	0.219	chr16:53711361-53711454	+	FTO	ENST00000636491	0.01	SRSF1
chr19:45766350-45767155	-	SIX5	ENST00000317578	0.367	chr16:2084228-2084715	+	TSC2	ENST00000219476	0.02	SRSF1
chr9:146102-146158	-	ZNG1A	ENST00000356521	0.346	chr9:41156383-41156439	-	ZNG1F	ENST00000377391	0.01	SRSF1
chr1:45685576-45685620	-	GPBP1L1	ENST00000355105	0.389	chr12:56686869-56686917	-	PTGES3	ENST00000614328	-0.01	SRSF1
chr19:44916190-44916325	+	APOC1	ENST00000592535	-0.138	chr7:45069826-45069961	+	CCM2	ENST00000258781	0.02	SRSF1
chr2:74490025-74490127	+	TTC31	ENST00000233623	-0.172	chr19:43487024-43487123	-	PHLDB3	ENST00000292140	-0.01	SRSF1
chr2:201272898-201272942	+	CASP8	ENST00000673742	-0.246	chr12:56111476-56111529	+	PA2G4	ENST00000303305	0.0	SRSF1
chr17:76743398-76743456	+	MFSD11	ENST00000685175	-0.347	chr5:179707132-179707190	+	CANX	ENST00000247461	0.0	SRSF1
chr14:50323945-50324116	+	DMAC2L	ENST00000557421	-0.339	chr13:72728926-72729093	+	BORA	ENST00000390667	-0.02	SRSF1
chr19:2234150-2234240	-	PLEKHJ1	ENST00000326631	-0.117	chr19:12747197-12747304	+	GET3	ENST00000357332	-0.01	SRSF1
chr17:76742177-76742273	+	MFSD11	ENST00000685175	-0.317	chr17:59934434-59934524	+	RPS6KB1	ENST00000225577	-0.0	SRSF1
chr1:25823019-25823128	+	MTFR1L	ENST00000374303	-0.172	chr13:113064304-113064420	+	MCF2L	ENST00000535094	0.01	SRSF1
chr16:15001776-15001856	+	PDXDC1	ENST00000396410	-0.103	chr1:40093933-40094019	-	PPT1	ENST00000641471	-0.0	SRSF1
chr3:180986943-180987022	-	DNAJC19	ENST00000382564	0.211	chr1:31910038-31910112	-	PTP4A2	ENST00000647444	-0.0	SRSF1
chr19:9759860-9759942	-	ZNF846	ENST00000397902	-0.5	chr5:79079369-79079460	+	BHMT2	ENST00000255192	0.01	SRSF1
chr1:100206445-100206636	-	DBT	ENST00000370132	-0.201	chr4:39510661-39510861	-	UGDH	ENST00000316423	-0.0	SRSF1
chr12:111746144-111746284	+	ACAD10	ENST00000313698	-0.24	chr11:9145670-9145815	-	DENND5A	ENST00000328194	-0.01	SRSF1
chr16:15400787-15400857	+	MPV17L	ENST00000396385	-0.254	chr5:179580947-179581012	+	RUFY1	ENST00000319449	-0.01	SRSF1
chr3:185672541-185672669	-	IGF2BP2	ENST00000382199	-0.195	chr10:114465698-114465827	-	ABLIM1	ENST00000533213	-0.0	SRSF1
chr3:169783477-169783560	+	MYNN	ENST00000349841	-0.287	chrX:20194189-20194268	-	RPS6KA3	ENST00000379565	-0.0	SRSF1
chr7:158650832-158650972	-	NCAPG2	ENST00000356309	0.273	chr10:32015509-32015659	-	KIF5B	ENST00000302418	0.0	SRSF1
chr3:25720014-25720191	-	NGLY1	ENST00000280700	-0.2	chr7:27816349-27816520	+	TAX1BP1	ENST00000396319	-0.0	SRSF1
chr16:20475650-20475773	+	ACSM2A	ENST00000573854	-0.301	chr16:20548062-20548185	-	ACSM2B	ENST00000329697	-0.01	SRSF1
chr8:58439633-58439770	+	UBXN2B	ENST00000399598	-0.254	chr6:99482753-99482883	-	USP45	ENST00000500704	-0.01	SRSF1
chr1:153659138-153659184	+	SNAPIN	ENST00000368685	0.198	chr14:21018457-21018504	-	NDRG2	ENST00000556147	-0.0	SRSF1
chr3:114056999-114057106	+	QTRT2	ENST00000281273	0.444	chr7:123557404-123557507	-	NDUFA5	ENST00000679163	0.0	SRSF1
chr9:36594628-36594771	+	MELK	ENST00000298048	-0.553	chr6:24520401-24520544	+	ALDH5A1	ENST00000357578	-0.0	SRSF1
chr12:31980878-31985957	+	RESF1	ENST00000312561	-0.389	chr5:83537007-83542268	+	VCAN	ENST00000265077	-0.02	SRSF1
chr1:154219836-154219937	-	C1orf43	ENST00000368521	-0.176	chr4:39503875-39503985	-	UGDH	ENST00000316423	-0.0	SRSF1
