exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr19:35802191-35802276	-	PRODH2	ENST00000653904	0.297	chr12:121848999-121849076	-	HPD	ENST00000289004	0.0	HNRNPH1
chr19:39168230-39168302	+	PAK4	ENST00000360442	-0.44	chr9:133812114-133812216	-	VAV2	ENST00000371850	0.01	HNRNPH1
chr22:19480953-19481045	+	CDC45	ENST00000263201	0.293	chr1:41010161-41010254	+	CTPS1	ENST00000650070	-0.01	HNRNPH1
chr19:9434075-9434235	-	ZNF266	ENST00000592904	-0.379	chr1:94902121-94902258	-	CNN3	ENST00000370206	0.0	HNRNPH1
chr8:22080805-22080870	+	DMTN	ENST00000358242	0.412	chr12:31103317-31103395	+	DDX11	ENST00000542838	-0.02	HNRNPH1
chr12:102843646-102843779	-	PAH	ENST00000553106	-0.143	chr6:160739068-160739208	+	PLG	ENST00000308192	-0.01	HNRNPH1
chr7:45104099-45104256	-	TBRG4	ENST00000258770	-0.381	chr1:45566869-45567020	+	AKR1A1	ENST00000351829	-0.01	HNRNPH1
chr2:85560815-85560985	-	GGCX	ENST00000233838	-0.274	chr1:156020013-156020167	-	SSR2	ENST00000295702	-0.01	HNRNPH1
chr7:45104538-45104709	-	TBRG4	ENST00000258770	-0.27	chr17:81704244-81704430	+	MRPL12	ENST00000333676	-0.0	HNRNPH1
chr3:15098119-15098274	-	RBSN	ENST00000253699	-0.525	chr3:187074159-187074333	+	ST6GAL1	ENST00000169298	-0.0	HNRNPH1
chr1:150267716-150267789	-	APH1A	ENST00000369109	-0.223	chr1:161223350-161223425	-	APOA2	ENST00000367990	0.0	HNRNPH1
chr12:26979784-26979936	-	TM7SF3	ENST00000343028	0.237	chr14:64454723-64454875	+	MTHFD1	ENST00000652337	-0.01	HNRNPH1
chr19:36011404-36011464	-	ALKBH6	ENST00000378875	-0.452	chr1:46190720-46190784	-	POMGNT1	ENST00000371984	0.01	HNRNPH1
chrX:48902233-48902517	+	PQBP1	ENST00000447146	-0.221	chr17:28367715-28368059	-	VTN	ENST00000226218	-0.02	HNRNPH1
chr19:17404129-17404189	-	BST2	ENST00000252593	-0.259	chr2:218279038-218279091	-	TMBIM1	ENST00000258412	-0.01	HNRNPH1
chr19:50512661-50512810	-	ASPDH	ENST00000389208	0.506	chr8:144512392-144512561	-	RECQL4	ENST00000617875	0.01	HNRNPH1
chr7:151055753-151055848	-	CDK5	ENST00000485972	-0.325	chr19:7630573-7630659	+	PET100	ENST00000594797	-0.01	HNRNPH1
chr3:47423933-47424045	-	SCAP	ENST00000265565	-0.296	chr1:19255948-19256051	+	MRTO4	ENST00000330263	0.01	HNRNPH1
chr16:30721189-30721476	+	SRCAP	ENST00000262518	-0.571	chr1:161175808-161176095	-	B4GALT3	ENST00000622395	0.0	HNRNPH1
chr12:49566077-49566215	-	MCRS1	ENST00000343810	-0.269	chr3:49681101-49681239	+	APEH	ENST00000296456	-0.02	HNRNPH1
chr22:41532659-41532745	-	POLR3H	ENST00000355209	-0.269	chr16:57750827-57750927	+	KATNB1	ENST00000379661	0.01	HNRNPH1
chr1:52357001-52357126	-	CC2D1B	ENST00000284376	-0.442	chr1:161222918-161223050	-	APOA2	ENST00000367990	-0.0	HNRNPH1
chr1:45568485-45568684	+	AKR1A1	ENST00000351829	-0.292	chr16:28845314-28845480	-	TUFM	ENST00000313511	-0.0	HNRNPH1
chr14:104868424-104868555	+	CEP170B	ENST00000414716	-0.37	chr4:1238183-1238337	-	CTBP1	ENST00000382952	0.01	HNRNPH1
chr1:42755548-42755637	-	P3H1	ENST00000296388	-0.208	chr20:32704814-32704904	-	ENSG00000285382	ENST00000646357	-0.01	HNRNPH1
chr20:35280654-35280829	-	EIF6	ENST00000374450	-0.135	chr7:100553347-100553500	+	AGFG2	ENST00000300176	-0.02	HNRNPH1
chrX:103254605-103254677	-	TCEAL8	ENST00000372685	-0.304	chr2:231711890-231711983	+	PTMA	ENST00000409115	0.0	HNRNPH1
chr21:46636439-46636547	+	PRMT2	ENST00000355680	0.298	chr11:123061120-123061258	-	HSPA8	ENST00000528292	-0.0	HNRNPH1
chrX:18242439-18242590	-	SCML2	ENST00000251900	-0.577	chr12:108538934-108539089	-	SART3	ENST00000546815	-0.02	HNRNPH1
chr12:57599400-57599438	+	PIP4K2C	ENST00000354947	-0.343	chr15:90969079-90969120	-	PRC1	ENST00000394249	0.01	HNRNPH1
chr2:74142272-74142360	-	BOLA3	ENST00000327428	0.228	chr17:3640188-3640267	+	CTNS	ENST00000046640	-0.01	HNRNPH1
chr15:75363999-75364188	-	MAN2C1	ENST00000267978	-0.463	chr9:133412299-133412492	-	REXO4	ENST00000371942	-0.02	HNRNPH1
chr2:74525493-74525748	-	DQX1	ENST00000404568	-0.273	chr12:56171679-56171937	-	SMARCC2	ENST00000550164	-0.01	HNRNPH1
chr12:53105561-53105620	+	SOAT2	ENST00000301466	-0.431	chr3:64022739-64022801	-	PSMD6	ENST00000478185	-0.0	HNRNPH1
chr2:70991830-70991983	-	TEX261	ENST00000272438	-0.345	chr10:80509301-80509471	+	TSPAN14	ENST00000429989	0.01	HNRNPH1
chrX:13703814-13703902	+	RAB9A	ENST00000464506	0.284	chr1:160243960-160244034	-	DCAF8	ENST00000368074	0.01	HNRNPH1
chr2:241508006-241508135	-	STK25	ENST00000316586	-0.384	chr2:131491876-131492024	-	MZT2A	ENST00000309451	-0.0	HNRNPH1
chr2:219557343-219557618	-	OBSL1	ENST00000404537	0.702	chr11:10808277-10808508	-	EIF4G2	ENST00000524932	0.0	HNRNPH1
chr17:63707247-63707418	-	STRADA	ENST00000336174	-0.58	chr20:32157794-32157969	+	TM9SF4	ENST00000398022	-0.02	HNRNPH1
chr17:63726638-63726695	-	STRADA	ENST00000336174	0.577	chr5:55324132-55324198	+	MTREX	ENST00000230640	-0.01	HNRNPH1
chr11:124626473-124626609	+	TBRG1	ENST00000441174	0.591	chr6:30909034-30909173	+	GTF2H4	ENST00000259895	-0.02	HNRNPH1
chr17:42662973-42663052	+	TUBG2	ENST00000251412	-0.312	chr2:10784934-10785030	-	PDIA6	ENST00000272227	0.0	HNRNPH1
chr17:7626943-7627044	-	SAT2	ENST00000269298	0.123	chr5:140668415-140668502	+	WDR55	ENST00000358337	-0.01	HNRNPH1
chr5:141638955-141639021	+	RELL2	ENST00000297164	0.369	chr20:35630741-35630795	-	CPNE1	ENST00000397443	0.01	HNRNPH1
chr11:134248809-134248959	-	THYN1	ENST00000341541	-0.346	chr17:7574522-7574678	+	EIF4A1	ENST00000582169	-0.0	HNRNPH1
