exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr6:44135328-44135366	+	TMEM63B	ENST00000323267	-0.145	chrX:153932071-153932115	-	NAA10	ENST00000464845	-0.0	HNRNPF
chr14:103107631-103107783	+	EXOC3L4	ENST00000688303	-0.356	chr17:82087050-82087253	-	FASN	ENST00000306749	-0.0	HNRNPF
chr5:139477329-139477515	-	STING1	ENST00000330794	-0.392	chr2:218430725-218430878	+	VIL1	ENST00000248444	0.01	HNRNPF
chr3:121854687-121854823	+	EAF2	ENST00000273668	-0.334	chr2:182967216-182967361	-	NCKAP1	ENST00000361354	-0.01	HNRNPF
chr1:154219836-154219937	-	C1orf43	ENST00000368521	-0.212	chr4:39503875-39503985	-	UGDH	ENST00000316423	0.0	HNRNPF
chr4:174297966-174298062	+	CEP44	ENST00000503780	0.401	chrX:43711872-43711976	+	MAOA	ENST00000338702	-0.01	HNRNPF
chr20:62668012-62668184	+	SLCO4A1	ENST00000217159	-0.267	chr16:31127189-31127353	+	KAT8	ENST00000219797	0.01	HNRNPF
chr20:32429901-32430053	+	ASXL1	ENST00000375687	0.274	chr11:125102132-125102317	-	TMEM218	ENST00000682305	0.02	HNRNPF
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.334	chr17:4890951-4891124	+	MINK1	ENST00000355280	0.02	HNRNPF
chr1:183806375-183806485	+	RGL1	ENST00000360851	-0.36	chrX:43657862-43657969	+	MAOA	ENST00000542639	0.02	HNRNPF
chr2:215392931-215393203	-	FN1	ENST00000354785	0.161	chr16:18839698-18839946	-	SMG1	ENST00000446231	0.01	HNRNPF
chr2:101868029-101868037	+	MAP4K4	ENST00000324219	0.16	chr22:29274268-29274282	+	EWSR1	ENST00000447973	0.0	HNRNPF
chr6:18191197-18191381	+	KDM1B	ENST00000650836	0.328	chr10:45769449-45769618	+	WASHC2C	ENST00000623400	0.0	HNRNPF
chr8:38429682-38429948	-	FGFR1	ENST00000447712	0.402	chr7:158138294-158138515	-	PTPRN2	ENST00000389418	0.0	HNRNPF
chr9:120407012-120407248	-	CDK5RAP2	ENST00000349780	0.184	chr3:9784028-9784213	-	TADA3	ENST00000301964	0.01	HNRNPF
chr12:6672350-6672532	-	ZNF384	ENST00000683879	0.215	chr3:186617187-186617350	+	AHSG	ENST00000411641	-0.0	HNRNPF
chr16:57759125-57759153	-	KIFC3	ENST00000445690	-0.265	chr8:23027722-23027753	-	TNFRSF10B	ENST00000276431	0.0	HNRNPF
chr11:63903986-63904147	+	MARK2	ENST00000402010	0.421	chr19:44907760-44907952	+	APOE	ENST00000252486	-0.0	HNRNPF
chr1:17634548-17634562	+	ARHGEF10L	ENST00000361221	-0.353	chr22:29339754-29339774	-	AP1B1	ENST00000357586	0.01	HNRNPF
chr9:125962102-125962214	+	PBX3	ENST00000373489	-0.476	chr6:79202276-79202389	-	HMGN3	ENST00000344726	0.01	HNRNPF
chr20:36209488-36209898	+	EPB41L1	ENST00000338074	0.309	chr2:10419734-10420135	+	HPCAL1	ENST00000307845	0.01	HNRNPF
