exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.238	chr1:17619339-17619445	+	ARHGEF10L	ENST00000361221	0.01	NONO
chr3:53165104-53165215	+	PRKCD	ENST00000330452	-0.431	chr11:68365571-68365702	+	LRP5	ENST00000294304	-0.01	NONO
chr12:124327409-124327633	-	NCOR2	ENST00000405201	-0.317	chr16:89649351-89649552	-	CHMP1A	ENST00000675536	0.01	NONO
chr19:4180782-4180909	-	SIRT6	ENST00000337491	-0.183	chr11:118642254-118642394	+	PHLDB1	ENST00000600882	-0.01	NONO
chr4:8373561-8373628	-	ACOX3	ENST00000356406	-0.29	chr5:179867778-179867849	-	TBC1D9B	ENST00000355235	-0.0	NONO
chr2:105881328-105882049	+	NCK2	ENST00000233154	0.351	chr11:16826120-16826590	-	PLEKHA7	ENST00000531066	0.01	NONO
chr22:28703505-28703566	-	CHEK2	ENST00000404276	-0.397	chr19:5645337-5645399	+	SAFB	ENST00000588852	-0.0	NONO
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.271	chr12:48681858-48682065	-	KANSL2	ENST00000550870	-0.01	NONO
chr12:54187819-54187902	-	SMUG1	ENST00000682136	-0.372	chr17:7566927-7567004	+	SENP3	ENST00000321337	0.01	NONO
chr1:230945389-230945454	-	TTC13	ENST00000366661	-0.263	chr6:7289868-7289931	-	SSR1	ENST00000650389	0.0	NONO
chr1:243293091-243293219	+	SDCCAG8	ENST00000366541	0.272	chr3:183856432-183856551	-	PARL	ENST00000639100	0.01	NONO
chr2:227352514-227352573	+	MFF	ENST00000304593	0.33	chr2:229830756-229830821	-	TRIP12	ENST00000283943	-0.02	NONO
chr2:227347226-227347384	+	MFF	ENST00000304593	0.271	chr4:42070526-42070691	+	SLC30A9	ENST00000264451	0.0	NONO
chr11:31456260-31456386	-	IMMP1L	ENST00000532287	-0.257	chr15:63537025-63537156	+	USP3	ENST00000380324	0.01	NONO
chr17:43533187-43533348	-	ETV4	ENST00000319349	-0.427	chr9:35750243-35750379	+	RGP1	ENST00000378078	-0.02	NONO
chr4:947709-947892	+	TMEM175	ENST00000264771	0.447	chr5:179879628-179879789	-	TBC1D9B	ENST00000355235	-0.01	NONO
chr10:12155778-12155931	+	SEC61A2	ENST00000298428	-0.521	chr1:203014889-203015048	+	TMEM183A	ENST00000367242	-0.01	NONO
chr7:56074174-56074218	+	SUMF2	ENST00000434526	-0.325	chr14:23644111-23644162	+	DHRS2	ENST00000250383	-0.0	NONO
chr13:75809154-75809183	+	LMO7	ENST00000377534	0.295	chr8:80050445-80050471	-	TPD52	ENST00000518937	0.0	NONO
chr5:151064960-151065131	-	TNIP1	ENST00000521591	-0.272	chr10:72344950-72345127	-	DNAJB12	ENST00000444643	-0.01	NONO
chr15:29719777-29720016	-	TJP1	ENST00000614355	0.415	chr4:68930546-68930765	-	UGT2A3	ENST00000251566	0.0	NONO
chr3:146077862-146077924	-	PLOD2	ENST00000282903	0.256	chr14:55182370-55182432	-	DLGAP5	ENST00000247191	0.01	NONO
chr10:97450357-97450536	+	ZDHHC16	ENST00000393760	-0.484	chr17:75321659-75321827	-	GRB2	ENST00000316804	0.0	NONO
chr19:18774900-18774986	+	CRTC1	ENST00000321949	-0.242	chr1:1320996-1321093	-	INTS11	ENST00000435064	-0.01	NONO
chr17:29085604-29085648	-	MYO18A	ENST00000527372	0.24	chr21:44855210-44855256	-	PTTG1IP	ENST00000330938	-0.0	NONO
chr11:72012401-72012442	-	NUMA1	ENST00000393695	0.237	chr11:45935121-45935157	-	PHF21A	ENST00000525676	0.02	NONO
chr20:25221232-25221333	+	ENTPD6	ENST00000376652	-0.171	chr21:43748995-43749080	+	PDXK	ENST00000291565	0.0	NONO
chr15:34435383-34435471	-	GOLGA8A	ENST00000359187	-0.265	chr17:48999109-48999169	+	IGF2BP1	ENST00000290341	-0.0	NONO
chr4:1803692-1803836	+	FGFR3	ENST00000440486	-0.355	chr9:136831721-136831861	+	RABL6	ENST00000311502	0.0	NONO
chr2:25383836-25383889	-	DTNB	ENST00000406818	-0.576	chr11:68900548-68900605	-	MRPL21	ENST00000362034	-0.02	NONO
chr3:58141858-58141929	+	FLNB	ENST00000295956	0.223	chr16:3658793-3658865	-	TRAP1	ENST00000246957	0.01	NONO
chr1:17634548-17634562	+	ARHGEF10L	ENST00000361221	0.336	chr22:29339754-29339774	-	AP1B1	ENST00000357586	0.0	NONO
chrX:132439435-132440314	-	MBNL3	ENST00000370853	-0.325	chr10:110964125-110965061	+	SHOC2	ENST00000369452	-0.02	NONO
chr10:101430345-101430452	+	BTRC	ENST00000370187	-0.367	chr1:59554124-59554227	+	FGGY	ENST00000303721	-0.0	NONO
chr11:3811250-3811424	+	PGAP2	ENST00000278243	-0.393	chr17:81894467-81894624	+	ANAPC11	ENST00000579133	-0.01	NONO
chr10:122143572-122143706	+	TACC2	ENST00000369005	-0.278	chr10:70323863-70324030	-	LRRC20	ENST00000446961	0.02	NONO
chr2:55578247-55578342	-	PPP4R3B	ENST00000616407	0.258	chr3:108636616-108636708	+	DZIP3	ENST00000361582	-0.02	NONO
chr3:37091467-37091538	-	LRRFIP2	ENST00000336686	0.27	chr6:135050582-135050647	-	HBS1L	ENST00000367837	-0.01	NONO
chr11:65713348-65713503	+	KAT5	ENST00000341318	0.261	chr17:39742898-39743054	+	GRB7	ENST00000309156	-0.01	NONO
chrX:17744071-17744219	+	SCML1	ENST00000380041	0.304	chr15:38464032-38464177	+	FAM98B	ENST00000397609	0.01	NONO
chr11:57791385-57791673	+	CTNND1	ENST00000399050	0.354	chr3:185689355-185689627	-	IGF2BP2	ENST00000382199	0.01	NONO
chr22:20575113-20575232	+	MED15	ENST00000263205	-0.381	chr1:43545031-43545166	+	PTPRF	ENST00000359947	-0.0	NONO
chr21:42903182-42904276	+	NDUFV3	ENST00000354250	0.296	chr3:10270131-10271015	+	TATDN2	ENST00000448281	-0.02	NONO
chr10:122132609-122132734	+	TACC2	ENST00000369005	-0.213	chr6:35397498-35397593	+	PPARD	ENST00000311565	-0.02	NONO
chr20:35658930-35658982	-	CPNE1	ENST00000352393	-0.131	chr12:64445075-64445131	+	XPOT	ENST00000332707	0.01	NONO
chr14:74691059-74691150	-	AREL1	ENST00000681599	0.194	chr16:80980770-80980879	-	CMC2	ENST00000570195	0.01	NONO
chrX:74612582-74612643	-	RLIM	ENST00000349225	0.404	chr2:55615451-55615506	-	PPP4R3B	ENST00000616407	0.01	NONO
chr13:49401133-49401270	-	CAB39L	ENST00000610540	0.287	chr4:169555720-169555851	-	NEK1	ENST00000507142	0.0	NONO
chr19:46748515-46748717	+	FKRP	ENST00000391909	-0.323	chr10:122211497-122211708	+	TACC2	ENST00000505639	-0.0	NONO
chr10:80468547-80468687	+	TSPAN14	ENST00000372156	-0.234	chr17:37535979-37536127	-	SYNRG	ENST00000612223	-0.01	NONO
chr16:29809540-29809764	+	MAZ	ENST00000219782	0.222	chr9:129009106-129009346	-	SH3GLB2	ENST00000372564	0.01	NONO
chr3:51971812-51971892	-	ABHD14B	ENST00000525795	-0.617	chr16:67868340-67868411	+	NUTF2	ENST00000219169	0.0	NONO
chr17:63634709-63634801	+	MAP3K3	ENST00000361357	0.295	chr2:240005210-240005295	-	NDUFA10	ENST00000252711	0.0	NONO
chr4:1802914-1803064	+	FGFR3	ENST00000340107	0.275	chr7:1472243-1472386	-	INTS1	ENST00000483196	-0.01	NONO
chr3:58141858-58141896	+	FLNB	ENST00000429972	0.283	chr17:81610210-81610258	-	NPLOC4	ENST00000331134	0.0	NONO
chr5:135350823-135350913	-	MACROH2A1	ENST00000312469	0.132	chr12:56291220-56291306	-	CS	ENST00000542324	0.0	NONO
chr6:130876674-130876775	-	EPB41L2	ENST00000706365	0.378	chr15:80122700-80122800	+	ZFAND6	ENST00000261749	-0.0	NONO
