exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.246	chr1:17619339-17619445	+	ARHGEF10L	ENST00000361221	0.0	AKAP8L
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.268	chr11:9152358-9152442	-	DENND5A	ENST00000328194	0.01	AKAP8L
chr3:121460050-121460234	-	POLQ	ENST00000264233	0.383	chr1:20840856-20841028	-	EIF4G3	ENST00000602326	-0.01	AKAP8L
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.245	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	0.0	AKAP8L
chr4:20712788-20712922	+	PACRGL	ENST00000503585	0.46	chr3:161246336-161246448	+	NMD3	ENST00000351193	0.01	AKAP8L
chr19:36039944-36040136	-	THAP8	ENST00000292894	0.392	chr16:70786215-70786365	-	VAC14	ENST00000261776	0.01	AKAP8L
chr19:1487603-1487691	-	PCSK4	ENST00000300954	0.579	chr19:1063760-1063863	+	ABCA7	ENST00000263094	-0.02	AKAP8L
chr19:21310501-21310627	-	ZNF708	ENST00000356929	0.539	chr7:92386509-92386643	+	ANKIB1	ENST00000265742	0.01	AKAP8L
chr2:27774424-27774530	+	MRPL33	ENST00000296102	0.225	chr4:103091177-103091285	-	BDH2	ENST00000296424	-0.0	AKAP8L
chr2:215392931-215393203	-	FN1	ENST00000354785	0.173	chr16:18839698-18839946	-	SMG1	ENST00000446231	-0.0	AKAP8L
chr2:227352514-227352573	+	MFF	ENST00000304593	0.327	chr10:218455-218499	+	ZMYND11	ENST00000397955	0.01	AKAP8L
chr2:227347226-227347384	+	MFF	ENST00000304593	0.257	chr6:142198439-142198615	+	VTA1	ENST00000367630	-0.0	AKAP8L
chr6:10755142-10755232	+	TMEM14B	ENST00000379542	0.434	chr6:13595477-13595564	+	SIRT5	ENST00000606117	0.0	AKAP8L
chr6:10749622-10749698	+	TMEM14B	ENST00000379542	0.407	chr11:72840877-72840959	-	FCHSD2	ENST00000409418	-0.01	AKAP8L
chr6:39927329-39927455	-	MOCS1	ENST00000340692	0.39	chr17:21312142-21312281	+	MAP2K3	ENST00000342679	-0.0	AKAP8L
chr5:154950821-154950938	+	MRPL22	ENST00000523037	0.145	chr19:34208929-34209051	+	LSM14A	ENST00000544216	-0.0	AKAP8L
