exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr3:123955843-123955965	-	CCDC14	ENST00000409697	-0.367	chr5:95536817-95536925	-	SKIC3	ENST00000358746	-0.02	SFPQ
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.211	chr11:9152358-9152442	-	DENND5A	ENST00000328194	-0.01	SFPQ
chr1:13778418-13782831	+	PRDM2	ENST00000311066	0.422	chr17:29285992-29287716	-	NUFIP2	ENST00000225388	-0.01	SFPQ
chr8:22080805-22080870	+	DMTN	ENST00000358242	0.332	chr21:45480070-45480156	+	COL18A1	ENST00000651438	-0.01	SFPQ
chr4:129109307-129109358	+	C4orf33	ENST00000425929	-0.481	chr2:15628445-15628517	+	DDX1	ENST00000233084	-0.02	SFPQ
chr12:101914174-101914232	+	DRAM1	ENST00000258534	0.381	chr2:237727876-237727935	+	LRRFIP1	ENST00000308482	0.02	SFPQ
chr3:168040786-168040869	-	GOLIM4	ENST00000470487	-0.272	chr6:75240301-75240385	-	COX7A2	ENST00000684430	-0.01	SFPQ
chr15:80098416-80098578	+	ZFAND6	ENST00000261749	0.345	chr14:34826013-34826156	-	BAZ1A	ENST00000360310	-0.01	SFPQ
chr12:132695884-132696046	+	PXMP2	ENST00000317479	0.567	chr17:38792726-38792882	-	PIP4K2B	ENST00000617499	-0.01	SFPQ
chr16:117301-117375	-	NPRL3	ENST00000611875	0.302	chr16:22298953-22299036	+	POLR3E	ENST00000564883	0.0	SFPQ
chr12:123618669-123618837	+	DDX55	ENST00000238146	-0.444	chr15:72349079-72349259	-	HEXA	ENST00000268097	-0.01	SFPQ
chr12:124374413-124374463	-	NCOR2	ENST00000405201	0.257	chr22:46661381-46661442	+	GRAMD4	ENST00000406902	0.02	SFPQ
chr12:130795995-130796120	-	STX2	ENST00000392373	0.448	chr17:39519956-39520087	+	CDK12	ENST00000447079	0.01	SFPQ
chr3:13500713-13500789	+	HDAC11	ENST00000295757	0.454	chr17:78977140-78977214	-	LGALS3BP	ENST00000262776	-0.0	SFPQ
chr3:13498513-13498555	+	HDAC11	ENST00000295757	0.723	chr19:18567132-18567178	+	KXD1	ENST00000222307	-0.0	SFPQ
chr12:26979784-26979936	-	TM7SF3	ENST00000343028	-0.152	chr14:64454723-64454875	+	MTHFD1	ENST00000652337	0.01	SFPQ
chr3:47404652-47404779	+	PTPN23	ENST00000265562	0.221	chr7:100562259-100562379	+	AGFG2	ENST00000300176	-0.02	SFPQ
chr4:186276231-186276390	+	F11	ENST00000403665	0.486	chr21:33528167-33528335	-	GART	ENST00000381815	-0.01	SFPQ
chr11:65046445-65046526	-	NAALADL1	ENST00000358658	0.262	chr16:28955978-28956058	+	NFATC2IP	ENST00000320805	-0.0	SFPQ
chr19:16377122-16377254	-	EPS15L1	ENST00000455140	0.33	chr16:89305206-89305344	-	ANKRD11	ENST00000301030	-0.0	SFPQ
chr19:19878481-19878607	+	ZNF253	ENST00000589717	0.236	chr3:141995020-141995141	-	TFDP2	ENST00000489671	0.02	SFPQ
chr19:21310501-21310627	-	ZNF708	ENST00000356929	0.681	chr12:50427765-50427909	+	LARP4	ENST00000518444	-0.01	SFPQ
chr4:55367588-55367722	+	SRD5A3	ENST00000264228	0.267	chr13:95622343-95622480	-	DZIP1	ENST00000376829	0.01	SFPQ
chr19:29812532-29812578	+	CCNE1	ENST00000262643	-0.188	chr16:668488-668569	+	RHOT2	ENST00000315082	0.02	SFPQ
chr11:57491591-57491626	-	SLC43A1	ENST00000278426	-0.252	chr17:75630974-75631010	-	RECQL5	ENST00000317905	-0.02	SFPQ
chr11:893427-893519	-	CHID1	ENST00000323578	0.347	chr19:33396090-33396155	-	PEPD	ENST00000588328	0.0	SFPQ
chr19:57619412-57619508	+	ZNF134	ENST00000396161	-0.302	chr12:121849687-121849790	-	HPD	ENST00000289004	0.01	SFPQ
chr11:90159239-90159337	+	NAALAD2	ENST00000534061	-0.466	chr2:174081152-174081248	-	OLA1	ENST00000284719	0.0	SFPQ
chr3:50100532-50100605	+	RBM5	ENST00000347869	0.277	chr9:132934466-132934540	-	TSC1	ENST00000642646	0.01	SFPQ
chr7:120964742-120964838	+	ING3	ENST00000315870	-0.426	chr6:134969238-134969338	-	HBS1L	ENST00000367837	-0.0	SFPQ
chr16:30721189-30721476	+	SRCAP	ENST00000262518	0.288	chr8:22249044-22249309	+	POLR3D	ENST00000306433	-0.0	SFPQ
chr4:10103896-10103986	-	WDR1	ENST00000499869	0.194	chr6:41577986-41578081	+	FOXP4	ENST00000307972	-0.01	SFPQ
chr22:43137081-43137298	-	MCAT	ENST00000290429	-0.363	chr14:94619195-94619468	+	SERPINA3	ENST00000393078	0.01	SFPQ
chr22:31688156-31688227	-	PRR14L	ENST00000327423	0.288	chr2:202275113-202275189	+	NOP58	ENST00000264279	-0.01	SFPQ
chr14:103498502-103498528	+	MARK3	ENST00000429436	-0.651	chr10:7796121-7796155	+	ATP5F1C	ENST00000356708	-0.0	SFPQ
chr2:128156392-128156415	+	UGGT1	ENST00000259253	-0.196	chr7:77637018-77637048	+	PTPN12	ENST00000248594	0.01	SFPQ
chr2:11562463-11562582	+	GREB1	ENST00000381486	0.288	chr19:17167943-17168064	+	MYO9B	ENST00000682292	-0.01	SFPQ
chr20:58434602-58434705	+	VAPB	ENST00000475243	0.2	chrX:150614589-150614699	+	MTM1	ENST00000370396	0.02	SFPQ
chr14:73955451-73955509	+	COQ6	ENST00000334571	-0.379	chr1:153665663-153665728	-	ILF2	ENST00000361891	-0.0	SFPQ
chr20:420871-421031	+	RBCK1	ENST00000356286	0.395	chr1:1323147-1323287	-	INTS11	ENST00000530031	0.02	SFPQ
chr1:92663420-92663452	-	EVI5	ENST00000684568	-0.534	chr1:207785071-207785106	+	CD46	ENST00000367042	-0.01	SFPQ
chr1:8614561-8614686	-	RERE	ENST00000400908	0.248	chr7:127721287-127721400	+	SND1	ENST00000354725	0.0	SFPQ
chr21:39179924-39179986	-	PSMG1	ENST00000331573	0.124	chr3:101682429-101682492	-	RPL24	ENST00000394077	0.01	SFPQ
chr15:64081102-64081151	-	CIAO2A	ENST00000300030	0.208	chr2:69406022-69406082	-	NFU1	ENST00000410022	-0.0	SFPQ
chrX:19955391-19955566	-	BCLAF3	ENST00000379682	0.45	chr2:61248511-61248683	-	USP34	ENST00000398571	0.0	SFPQ
chr1:172585858-172585948	+	SUCO	ENST00000263688	0.308	chr3:172784707-172784803	+	ECT2	ENST00000392692	0.01	SFPQ
chrX:19380120-19380277	-	MAP3K15	ENST00000338883	-0.302	chr20:47690126-47690295	-	SULF2	ENST00000688720	-0.0	SFPQ
chr2:73938910-73939022	+	DGUOK	ENST00000264093	0.47	chr9:112817705-112817815	+	SNX30	ENST00000374232	-0.0	SFPQ
chr2:73957125-73957240	+	DGUOK	ENST00000264093	0.265	chr1:201963616-201963744	+	TIMM17A	ENST00000367287	-0.01	SFPQ
chr2:85355076-85355170	+	ELMOD3	ENST00000409013	-0.332	chr7:127589485-127589594	+	ARF5	ENST00000000233	-0.0	SFPQ
chr12:51053778-51053860	+	LETMD1	ENST00000262055	-0.506	chr17:43496181-43496268	+	DHX8	ENST00000262415	-0.01	SFPQ
chr1:161160366-161160506	+	USP21	ENST00000368002	-0.31	chr17:63830809-63830935	+	PSMC5	ENST00000310144	-0.0	SFPQ
chr1:23419077-23419139	-	TCEA3	ENST00000450454	0.215	chr19:18912984-18913046	-	COPE	ENST00000262812	-0.0	SFPQ
chr13:114286302-114286400	+	UPF3A	ENST00000375299	-0.157	chr10:5921258-5921357	+	FBH1	ENST00000362091	-0.01	SFPQ
chr13:20731841-20732121	-	EEF1AKMT1	ENST00000382758	0.33	chr22:28780948-28781172	+	CCDC117	ENST00000249064	0.0	SFPQ
chr2:215380811-215381080	-	FN1	ENST00000354785	0.181	chr17:28636965-28637170	-	BLTP2	ENST00000528896	-0.01	SFPQ
chr1:244689249-244689342	+	DESI2	ENST00000302550	0.204	chr5:79681982-79682061	+	TENT2	ENST00000453514	-0.01	SFPQ
chr12:76074203-76074239	-	NAP1L1	ENST00000618691	0.485	chr1:86887156-86887196	-	SELENOF	ENST00000401030	0.01	SFPQ
