exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.187	chr5:55957209-55957291	-	IL6ST	ENST00000381298	0.01	SUGP2
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.205	chr17:29103599-29103664	-	MYO18A	ENST00000527372	0.01	SUGP2
chr14:50314591-50314626	+	DMAC2L	ENST00000557421	0.484	chr12:55980889-55980922	+	RAB5B	ENST00000551459	-0.01	SUGP2
chr16:1413846-1414055	-	UNKL	ENST00000389221	0.327	chr7:817280-817499	+	SUN1	ENST00000457378	-0.01	SUGP2
chr3:177098466-177098541	-	TBL1XR1	ENST00000457928	0.323	chr12:45302014-45302093	+	ANO6	ENST00000320560	-0.02	SUGP2
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	0.199	chr10:102398739-102398864	+	NFKB2	ENST00000661543	-0.02	SUGP2
chr2:37089640-37089866	+	GPATCH11	ENST00000674370	0.489	chr9:19119650-19119831	-	PLIN2	ENST00000276914	0.0	SUGP2
chr2:215380811-215381080	-	FN1	ENST00000354785	-0.144	chr4:102633251-102633473	-	MANBA	ENST00000644159	-0.02	SUGP2
chr17:7632752-7632959	+	SHBG	ENST00000380450	-0.447	chr3:10338726-10338915	-	ATP2B2	ENST00000467702	-0.01	SUGP2
chr11:47500861-47500932	-	CELF1	ENST00000687097	0.523	chr5:32276682-32276742	-	MTMR12	ENST00000382142	-0.01	SUGP2
chr15:29719777-29720016	-	TJP1	ENST00000614355	0.369	chr4:68930546-68930765	-	UGT2A3	ENST00000251566	0.02	SUGP2
chr9:128592983-128593042	+	SPTAN1	ENST00000372739	0.219	chr9:35677790-35677856	+	CA9	ENST00000378357	-0.0	SUGP2
chr2:27094800-27094934	+	KHK	ENST00000260598	0.411	chr20:25498210-25498346	-	NINL	ENST00000278886	-0.01	SUGP2
chr1:178892230-178892307	+	RALGPS2	ENST00000367635	0.266	chr1:183527956-183528027	+	SMG7	ENST00000688051	0.01	SUGP2
chr8:17554560-17554699	+	SLC7A2	ENST00000494857	-0.363	chr5:146254943-146255092	+	RBM27	ENST00000265271	0.01	SUGP2
chr2:39307943-39308005	-	MAP4K3	ENST00000263881	0.197	chr2:135932783-135932842	-	DARS1	ENST00000264161	-0.0	SUGP2
chr2:38989270-38989314	-	SOS1	ENST00000402219	0.211	chr8:61668234-61668275	-	ASPH	ENST00000389204	0.0	SUGP2
chr3:10385268-10385327	-	ATP2B2	ENST00000360273	0.395	chr5:172926509-172926569	+	ERGIC1	ENST00000393784	-0.0	SUGP2
chr17:32366665-32366757	+	ZNF207	ENST00000394670	0.158	chr6:70859329-70859416	+	SMAP1	ENST00000370452	-0.0	SUGP2
chr11:77179735-77179953	+	MYO7A	ENST00000409709	0.393	chr17:42824155-42824379	-	BECN1	ENST00000612631	0.01	SUGP2
chr10:24494500-24494604	+	KIAA1217	ENST00000376454	0.277	chr9:130075636-130075749	+	GPR107	ENST00000347136	0.01	SUGP2
chr1:42849565-42849742	+	ZNF691	ENST00000651192	0.44	chr10:92349671-92349837	+	MARCHF5	ENST00000358935	-0.0	SUGP2
chr19:7150497-7150532	-	INSR	ENST00000302850	0.299	chr21:36053583-36053620	-	SETD4	ENST00000332131	-0.01	SUGP2
chr5:133022841-133022906	-	ZCCHC10	ENST00000509437	0.212	chr17:28944503-28944569	-	PHF12	ENST00000582853	0.01	SUGP2
chr5:75547010-75547157	+	POLK	ENST00000241436	0.293	chr11:86031469-86031611	-	PICALM	ENST00000393346	0.0	SUGP2
chr7:22946952-22947247	-	HYCC1	ENST00000409923	0.268	chr11:14786437-14786685	+	PDE3B	ENST00000282096	0.01	SUGP2
chr3:197161640-197161738	-	DLG1	ENST00000346964	0.269	chrX:108655331-108655457	+	COL4A5	ENST00000328300	0.01	SUGP2
chr8:17554946-17555082	+	SLC7A2	ENST00000470360	0.17	chr11:82843184-82843304	-	PRCP	ENST00000679809	0.01	SUGP2
chr2:27094477-27094611	+	KHK	ENST00000260599	-0.217	chr16:46924389-46924544	+	GPT2	ENST00000340124	-0.0	SUGP2
chr2:164727106-164727144	-	COBLL1	ENST00000629362	0.186	chr3:150565191-150565226	+	EIF2A	ENST00000482093	-0.0	SUGP2
chr1:225504991-225505053	-	ENAH	ENST00000366844	0.187	chr9:121186953-121187019	-	RAB14	ENST00000373840	-0.0	SUGP2
chr11:66756353-66756505	+	C11orf80	ENST00000532565	0.369	chr2:95090386-95090522	-	MRPS5	ENST00000272418	0.02	SUGP2
chr4:82830937-82830975	-	SEC31A	ENST00000503937	0.339	chr2:227550059-227550106	+	AGFG1	ENST00000458212	0.0	SUGP2
chr16:124937-125073	-	NPRL3	ENST00000468260	-0.504	chr22:39509422-39509571	+	MIEF1	ENST00000404569	0.01	SUGP2
