exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.275	chr5:55957209-55957291	-	IL6ST	ENST00000381298	0.02	TARDBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.162	chr22:35338713-35338788	+	TOM1	ENST00000449058	0.02	TARDBP
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	0.244	chr17:12129139-12129287	+	MAP2K4	ENST00000353533	-0.02	TARDBP
chr19:13109915-13110001	-	TRMT1	ENST00000357720	0.322	chr12:49559453-49559535	-	MCRS1	ENST00000343810	0.01	TARDBP
chr14:94581615-94581710	+	SERPINA5	ENST00000329597	-0.186	chr14:94388560-94388660	-	SERPINA1	ENST00000636712	-0.0	TARDBP
chr3:180986943-180987022	-	DNAJC19	ENST00000382564	-0.162	chr1:31910038-31910112	-	PTP4A2	ENST00000647444	0.01	TARDBP
chr16:15047997-15048099	-	NTAN1	ENST00000287706	-0.229	chr5:179715899-179716000	+	CANX	ENST00000680984	-0.0	TARDBP
chr12:125136662-125136864	+	AACS	ENST00000316519	0.213	chr9:133043728-133043926	+	GTF3C5	ENST00000372097	0.0	TARDBP
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.288	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	-0.01	TARDBP
chr7:108565830-108566022	-	THAP5	ENST00000415914	0.348	chrX:38287861-38288041	-	RPGR	ENST00000645032	0.01	TARDBP
chr11:65540013-65540153	-	LTBP3	ENST00000301873	0.45	chr1:1294402-1294628	-	ACAP3	ENST00000354700	0.02	TARDBP
chr19:740352-740483	+	PALM	ENST00000338448	0.359	chr21:44813976-44814104	-	SUMO3	ENST00000332859	-0.0	TARDBP
chr9:32988083-32988129	-	APTX	ENST00000379817	0.194	chr8:42393845-42393884	+	VDAC3	ENST00000022615	-0.0	TARDBP
chr1:52897437-52897484	-	ECHDC2	ENST00000371522	-0.24	chr12:54346612-54346674	+	COPZ1	ENST00000552218	-0.0	TARDBP
chr22:42601970-42602056	-	POLDIP3	ENST00000252115	-0.235	chr2:96269268-96269355	+	CIAO1	ENST00000488633	-0.0	TARDBP
chr2:159764626-159764674	+	MARCHF7	ENST00000409175	-0.179	chr5:90497656-90497706	+	POLR3G	ENST00000651687	0.01	TARDBP
chr2:113471033-113471089	+	ZNG1B	ENST00000259199	0.244	chr1:61694697-61694770	-	TM2D1	ENST00000606498	-0.01	TARDBP
chr22:28703505-28703566	-	CHEK2	ENST00000404276	-0.284	chr2:202275113-202275189	+	NOP58	ENST00000264279	0.0	TARDBP
chr20:33019062-33019115	+	BPIFB2	ENST00000170150	0.102	chr1:40303131-40303185	-	COL9A2	ENST00000372748	-0.01	TARDBP
chr20:33396761-33397084	-	CDK5RAP1	ENST00000346416	0.486	chr22:20783972-20784245	+	SERPIND1	ENST00000215727	-0.0	TARDBP
chr14:73922066-73922206	+	ZNF410	ENST00000555044	0.428	chr7:152157761-152157925	-	KMT2C	ENST00000682283	0.01	TARDBP
