exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr19:52781317-52781464	-	ZNF600	ENST00000692063	0.376	chr17:75042529-75042659	-	ATP5PD	ENST00000301587	0.0	PPP1R8
chr12:31709293-31709425	-	AMN1	ENST00000281471	-0.307	chr8:94756036-94756159	+	DPY19L4	ENST00000414645	-0.0	PPP1R8
chr2:85371440-85371562	+	ELMOD3	ENST00000409013	0.336	chr8:22025647-22025772	+	NPM2	ENST00000518119	0.02	PPP1R8
chr9:36583627-36583712	+	MELK	ENST00000298048	0.282	chr13:114265150-114265240	+	CDC16	ENST00000356221	-0.02	PPP1R8
chr19:41433272-41433434	-	DMAC2	ENST00000221943	0.27	chr19:10089898-10090047	+	SHFL	ENST00000253110	-0.01	PPP1R8
chr11:64227568-64227666	+	NUDT22	ENST00000279206	0.333	chr11:117193853-117193963	+	SIDT2	ENST00000324225	0.01	PPP1R8
chr11:61268922-61269018	-	VWCE	ENST00000335613	-0.453	chr22:20744628-20744720	-	PI4KA	ENST00000255882	0.01	PPP1R8
chr15:22839655-22839790	+	NIPA2	ENST00000337451	-0.29	chr5:138431425-138431559	+	KDM3B	ENST00000314358	0.02	PPP1R8
chr22:35262323-35262421	+	HMGXB4	ENST00000216106	0.373	chr13:49552178-49552285	-	RCBTB1	ENST00000378302	-0.01	PPP1R8
chr13:51960148-51960322	-	ATP7B	ENST00000242839	0.508	chr6:31732217-31732398	-	CLIC1	ENST00000375784	0.0	PPP1R8
chr10:68756273-68756483	+	CCAR1	ENST00000265872	-0.181	chr5:10415488-10415669	+	MARCHF6	ENST00000274140	-0.0	PPP1R8
chr3:57865242-57865292	+	SLMAP	ENST00000671191	0.556	chr15:72555852-72555907	+	ARIH1	ENST00000379887	-0.02	PPP1R8
chr22:38128269-38128430	-	PLA2G6	ENST00000332509	-0.4	chr2:127421283-127421449	+	PROC	ENST00000234071	-0.0	PPP1R8
chr14:54399894-54399976	+	CDKN3	ENST00000335183	0.426	chr16:24949404-24949484	-	ARHGAP17	ENST00000289968	-0.0	PPP1R8
chr2:201203730-201203766	+	CASP10	ENST00000286186	0.44	chr6:43681089-43681120	-	MRPS18A	ENST00000372133	-0.0	PPP1R8
chr11:113852501-113852633	-	USP28	ENST00000696973	-0.437	chr3:129290679-129290804	+	HMCES	ENST00000383463	-0.0	PPP1R8
chr10:78040204-78040225	+	RPS24	ENST00000372360	0.155	chr10:78040201-78040225	+	RPS24	ENST00000435275	0.01	PPP1R8
chr2:201627321-201627414	-	TMEM237	ENST00000409883	0.272	chrX:38322853-38322945	-	RPGR	ENST00000645032	-0.01	PPP1R8
chr10:110907680-110907836	-	BBIP1	ENST00000651952	0.333	chr14:54522454-54522593	+	CGRRF1	ENST00000216420	-0.02	PPP1R8
chr2:241094277-241094432	-	MTERF4	ENST00000614476	0.501	chr20:33640344-33640531	+	CBFA2T2	ENST00000543126	-0.01	PPP1R8
chr1:223818206-223818337	-	TP53BP2	ENST00000391878	0.21	chr15:60360941-60361054	-	ANXA2	ENST00000451270	0.0	PPP1R8
chr7:5329937-5329969	-	TNRC18	ENST00000455076	0.179	chr12:121260319-121260355	-	CAMKK2	ENST00000404169	-0.01	PPP1R8
chr7:155806711-155806839	-	SHH	ENST00000430104	0.541	chr18:79717535-79717676	+	CTDP1	ENST00000613122	0.02	PPP1R8
