exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr16:1667335-1667400	+	CRAMP1	ENST00000397412	0.3	chr14:64951603-64951663	-	RAB15	ENST00000533601	-0.02	MATR3
chr2:43851584-43851822	+	ABCG8	ENST00000272286	-0.245	chr19:4428664-4428890	+	CHAF1A	ENST00000301280	-0.01	MATR3
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.466	chr11:9152358-9152442	-	DENND5A	ENST00000328194	0.02	MATR3
chr14:103574107-103574170	+	COA8	ENST00000409074	-0.295	chr17:76344671-76344737	-	PRPSAP1	ENST00000446526	0.01	MATR3
chr1:13778418-13782831	+	PRDM2	ENST00000311066	0.443	chr11:63718702-63721032	+	RTN3	ENST00000377819	0.01	MATR3
chr11:125627607-125627830	+	CHEK1	ENST00000438015	-0.167	chr3:149209211-149209384	-	CP	ENST00000264613	-0.0	MATR3
chr3:184357620-184357698	-	CLCN2	ENST00000265593	-0.35	chr17:42114000-42114084	-	KAT2A	ENST00000225916	-0.0	MATR3
chr3:25720014-25720191	-	NGLY1	ENST00000280700	-0.231	chr3:155833857-155834041	-	SLC33A1	ENST00000643144	-0.02	MATR3
chr1:153659138-153659184	+	SNAPIN	ENST00000368685	0.186	chr14:21018457-21018504	-	NDRG2	ENST00000556147	0.01	MATR3
chr3:113017448-113017602	-	NEPRO	ENST00000314400	0.295	chr2:9436211-9436361	+	CPSF3	ENST00000238112	-0.0	MATR3
chr1:155253859-155253978	-	ENTREP3	ENST00000361361	0.181	chr3:49685262-49685382	-	MST1	ENST00000449682	-0.0	MATR3
chr15:75904491-75904629	+	FBXO22	ENST00000308275	-0.197	chr12:49741957-49742115	+	TMBIM6	ENST00000549385	0.0	MATR3
chr15:77365163-77365225	-	PEAK1	ENST00000682557	-0.42	chr10:74224538-74224591	+	ADK	ENST00000539909	0.0	MATR3
chr3:139573598-139573680	-	NMNAT3	ENST00000704800	0.511	chr6:53287862-53287942	-	ELOVL5	ENST00000370918	0.01	MATR3
chr12:124327409-124327633	-	NCOR2	ENST00000405201	-0.174	chr16:89649351-89649552	-	CHMP1A	ENST00000675536	-0.01	MATR3
chr3:15245526-15245671	+	CAPN7	ENST00000253693	0.223	chr3:62281563-62281709	+	PTPRG	ENST00000474889	-0.02	MATR3
chr19:36006423-36006671	-	SYNE4	ENST00000324444	-0.286	chr2:74464496-74464722	-	MOGS	ENST00000448666	0.0	MATR3
chr4:20724808-20724888	+	PACRGL	ENST00000503585	0.513	chr17:60255175-60255258	-	USP32	ENST00000300896	-0.0	MATR3
chr8:85214921-85215037	-	RBIS	ENST00000619594	-0.125	chr2:199936405-199936492	-	TYW5	ENST00000354611	-0.01	MATR3
chr16:634889-634956	-	METTL26	ENST00000301686	-0.278	chr19:617777-617849	-	POLRMT	ENST00000588649	0.01	MATR3
chr4:51911070-51911174	+	DCUN1D4	ENST00000334635	0.294	chr8:86425223-86425318	+	WWP1	ENST00000517970	-0.0	MATR3
chr16:536029-536142	+	CAPN15	ENST00000219611	0.227	chr4:1238183-1238337	-	CTBP1	ENST00000382952	-0.01	MATR3
chr4:84808334-84808417	-	WDFY3	ENST00000295888	0.324	chr14:96877502-96877573	+	VRK1	ENST00000680007	0.01	MATR3
chr19:19202470-19202575	-	NR2C2AP	ENST00000331552	-0.179	chr11:47182674-47182764	-	PACSIN3	ENST00000298838	-0.0	MATR3
chr11:47569700-47569891	+	PTPMT1	ENST00000326674	-0.178	chr20:33387323-33387533	-	CDK5RAP1	ENST00000346416	-0.01	MATR3
chr3:52198672-52198848	+	ALAS1	ENST00000484952	-0.358	chr6:43298620-43298751	+	SLC22A7	ENST00000451757	0.01	MATR3
chr19:55322648-55322743	-	TMEM150B	ENST00000326652	-0.263	chr17:79781696-79781801	+	CBX2	ENST00000310942	-0.0	MATR3
chr16:3021215-3021319	+	TNFRSF12A	ENST00000326577	-0.143	chr11:771333-771426	-	GATD1	ENST00000319863	-0.02	MATR3
chr19:58498785-58498915	-	SLC27A5	ENST00000263093	-0.226	chr16:28835058-28835187	+	ATXN2L	ENST00000336783	-0.0	MATR3
chr3:50214402-50214483	+	SLC38A3	ENST00000614032	-0.191	chr14:24138474-24138560	+	PSME1	ENST00000206451	-0.0	MATR3
chr7:140345869-140345970	-	SLC37A3	ENST00000326232	-0.258	chr1:116403884-116403975	+	ATP1A1	ENST00000295598	-0.0	MATR3
chr19:44635401-44635465	+	IGSF23	ENST00000402988	0.275	chr16:78108423-78108487	+	WWOX	ENST00000566780	-0.01	MATR3
chr16:46809603-46809785	-	C16orf87	ENST00000285697	0.18	chr18:35677591-35677757	+	GALNT1	ENST00000269195	0.01	MATR3
chr19:45165127-45165194	-	TRAPPC6A	ENST00000585934	-0.192	chr7:73607590-73607672	-	MLXIPL	ENST00000313375	0.01	MATR3
chr11:66954249-66954436	-	PC	ENST00000393960	0.5	chr10:133302792-133302980	-	TUBGCP2	ENST00000252936	0.0	MATR3
chr19:46748515-46748665	+	FKRP	ENST00000318584	-0.357	chr3:49283987-49284136	-	USP4	ENST00000265560	-0.01	MATR3
chr22:42601970-42602056	-	POLDIP3	ENST00000252115	0.133	chr2:96269268-96269355	+	CIAO1	ENST00000488633	0.01	MATR3
chr22:50250427-50250523	-	HDAC10	ENST00000216271	-0.31	chr17:29115351-29115441	-	MYO18A	ENST00000527372	-0.01	MATR3
chr1:74707103-74707204	-	CRYZ	ENST00000340866	0.2	chr2:11198681-11198774	-	ROCK2	ENST00000315872	-0.0	MATR3
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	0.271	chr19:43626784-43626918	-	CADM4	ENST00000222374	0.0	MATR3
chrX:123885631-123886539	+	XIAP	ENST00000371199	-0.367	chr1:45660184-45661225	-	GPBP1L1	ENST00000355105	-0.01	MATR3
