exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	0.166	chr5:55957209-55957291	-	IL6ST	ENST00000381298	-0.01	RAVER1
chr4:152870753-152870848	+	ARFIP1	ENST00000353617	-0.407	chr10:12215740-12215835	+	CDC123	ENST00000281141	-0.0	RAVER1
chr12:57107605-57107743	-	STAT6	ENST00000300134	-0.371	chr14:35402394-35402534	-	NFKBIA	ENST00000557140	0.0	RAVER1
chr10:69155812-69155887	+	VPS26A	ENST00000263559	-0.145	chr5:60904792-60904873	-	ERCC8	ENST00000676185	0.02	RAVER1
chr12:57108163-57108299	-	STAT6	ENST00000300134	-0.175	chr1:17422705-17422836	-	RCC2	ENST00000375436	-0.01	RAVER1
chr1:245017242-245017326	+	EFCAB2	ENST00000366523	0.25	chr20:2923207-2923285	+	PTPRA	ENST00000399903	-0.02	RAVER1
chr19:56826388-56826463	-	PEG3	ENST00000326441	0.252	chr11:9152358-9152442	-	DENND5A	ENST00000328194	0.01	RAVER1
chr19:1036130-1036246	+	CNN2	ENST00000263097	-0.15	chr8:22624222-22624363	-	BIN3	ENST00000276416	-0.01	RAVER1
chrX:130024990-130025379	+	BCORL1	ENST00000540052	0.269	chr7:45108827-45109243	-	TBRG4	ENST00000494076	-0.01	RAVER1
chr8:22067085-22067159	+	DMTN	ENST00000358242	-0.221	chr17:41835859-41835957	-	NT5C3B	ENST00000435506	-0.01	RAVER1
chr12:122132292-122132383	+	MLXIP	ENST00000319080	-0.353	chr9:38394477-38394565	+	ALDH1B1	ENST00000635162	-0.01	RAVER1
chr12:102846895-102846951	-	PAH	ENST00000553106	-0.155	chr3:50054335-50054395	+	RBM6	ENST00000266022	0.01	RAVER1
chr12:104288931-104289040	+	TXNRD1	ENST00000525566	-0.212	chr17:4331774-4331888	-	UBE2G1	ENST00000572484	0.01	RAVER1
chr1:1040665-1040880	+	AGRN	ENST00000379370	-0.44	chr11:69643031-69643246	+	CCND1	ENST00000227507	-0.0	RAVER1
chr16:15400787-15400857	+	MPV17L	ENST00000396385	0.428	chr12:123639264-123639343	+	GTF2H3	ENST00000543341	-0.02	RAVER1
chr1:109629796-109629916	+	AMPD2	ENST00000528667	-0.229	chr17:5000220-5000352	+	KIF1C	ENST00000320785	-0.0	RAVER1
chr1:109625303-109625433	+	AMPD2	ENST00000528667	-0.671	chr19:18465797-18465918	-	ELL	ENST00000262809	-0.02	RAVER1
chr3:168040786-168040869	-	GOLIM4	ENST00000470487	-0.252	chr2:111872630-111872712	-	ANAPC1	ENST00000341068	0.01	RAVER1
chr15:88899656-88899811	-	MFGE8	ENST00000268150	-0.316	chr12:57769772-57769956	-	METTL1	ENST00000324871	0.0	RAVER1
chr15:84886672-84886787	+	SLC28A1	ENST00000394573	0.489	chr19:10562729-10562837	-	KRI1	ENST00000312962	0.02	RAVER1
chr1:155250276-155250821	-	ENTREP3	ENST00000361361	-0.399	chr3:184362873-184363565	+	POLR2H	ENST00000456318	-0.01	RAVER1
chr1:155254400-155254456	-	ENTREP3	ENST00000361361	-0.261	chr20:35617779-35617840	+	SPAG4	ENST00000374273	0.02	RAVER1
chr12:49105924-49105957	-	LMBR1L	ENST00000267102	-0.318	chr11:45935121-45935157	-	PHF21A	ENST00000525676	0.01	RAVER1
