exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.311	chr1:17619339-17619445	+	ARHGEF10L	ENST00000361221	0.01	TFIP11
chr3:121799196-121799374	-	IQCB1	ENST00000310864	0.238	chr7:92350950-92351094	+	ANKIB1	ENST00000265742	0.02	TFIP11
chr1:150496482-150496628	+	TARS2	ENST00000369064	-0.41	chr12:6855401-6855526	+	USP5	ENST00000229268	0.01	TFIP11
chr11:70421470-70421580	+	CTTN	ENST00000301843	-0.17	chrX:49000861-49000959	-	GRIPAP1	ENST00000617369	-0.02	TFIP11
chr9:32988083-32988129	-	APTX	ENST00000379817	0.339	chr8:42393845-42393884	+	VDAC3	ENST00000022615	-0.0	TFIP11
chr15:22845146-22845267	+	NIPA2	ENST00000337451	-0.374	chr17:39274970-39275100	-	FBXL20	ENST00000264658	-0.02	TFIP11
chr22:37624969-37625076	+	GGA1	ENST00000343632	-0.475	chr16:3672700-3672820	-	TRAP1	ENST00000246957	-0.0	TFIP11
chr13:72734960-72735005	+	BORA	ENST00000390667	0.308	chr4:105449350-105449403	-	PPA2	ENST00000341695	-0.01	TFIP11
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.266	chr17:75239375-75239571	-	GGA3	ENST00000537686	-0.02	TFIP11
chr1:77641384-77641446	-	ZZZ3	ENST00000370801	0.253	chr15:56707082-56707143	-	ZNF280D	ENST00000558320	-0.02	TFIP11
chr2:27774424-27774530	+	MRPL33	ENST00000296102	-0.169	chr1:46643194-46643301	-	ATPAF1	ENST00000574428	0.01	TFIP11
chr1:230945389-230945454	-	TTC13	ENST00000366661	-0.416	chr6:7289868-7289931	-	SSR1	ENST00000650389	0.0	TFIP11
chr2:219557343-219557618	-	OBSL1	ENST00000404537	-0.346	chr19:1055097-1055351	+	ABCA7	ENST00000263094	0.01	TFIP11
chr17:43545558-43545668	-	ETV4	ENST00000319349	-0.457	chr19:2431783-2431902	-	LMNB2	ENST00000325327	0.01	TFIP11
chr17:54905489-54905567	+	TOM1L1	ENST00000575882	-0.212	chr14:35000936-35001020	+	SRP54	ENST00000216774	0.0	TFIP11
chr3:57871636-57871698	+	SLMAP	ENST00000671191	-0.531	chr11:95907862-95907923	-	MTMR2	ENST00000484818	-0.01	TFIP11
chr14:39320928-39321056	+	MIA2	ENST00000640607	-0.207	chr14:39061765-39061871	-	SEC23A	ENST00000307712	0.0	TFIP11
chr10:78040204-78040225	+	RPS24	ENST00000372360	0.264	chr10:78040201-78040225	+	RPS24	ENST00000435275	0.01	TFIP11
chr20:25221232-25221333	+	ENTPD6	ENST00000376652	-0.222	chr19:38704934-38705020	+	ACTN4	ENST00000252699	-0.0	TFIP11
chr12:62566014-62566031	+	MON2	ENST00000393630	0.382	chr12:110436665-110436683	-	ARPC3	ENST00000426440	0.02	TFIP11
chr7:150369671-150369868	+	REPIN1	ENST00000489432	-0.261	chrX:291499-291654	+	PLCXD1	ENST00000381657	-0.01	TFIP11
chr1:9737498-9737554	-	CLSTN1	ENST00000377298	-0.139	chr10:122215391-122215451	+	TACC2	ENST00000369005	0.01	TFIP11
chr1:17634548-17634562	+	ARHGEF10L	ENST00000361221	0.423	chr1:1053461-1053493	+	AGRN	ENST00000620552	-0.0	TFIP11
chr4:53379073-53379117	+	FIP1L1	ENST00000337488	0.413	chr22:29272216-29272252	+	EWSR1	ENST00000397938	0.0	TFIP11
chr1:45607321-45608337	+	NASP	ENST00000350030	-0.238	chr5:132896323-132897240	-	AFF4	ENST00000265343	0.01	TFIP11
chr10:31839637-31839711	-	ARHGAP12	ENST00000344936	0.319	chr12:22472744-22472807	-	C2CD5	ENST00000446597	0.02	TFIP11
chr16:15086365-15086454	-	RRN3	ENST00000198767	0.219	chr2:169805474-169805577	+	SSB	ENST00000260956	0.0	TFIP11
chr9:127897956-127898010	-	ST6GALNAC6	ENST00000373146	-0.506	chr19:34494586-34494637	+	WTIP	ENST00000590071	0.02	TFIP11
chr11:57789037-57789155	+	CTNND1	ENST00000399050	-0.258	chr3:179030880-179030999	-	ZMAT3	ENST00000311417	0.02	TFIP11
chr10:114473879-114473956	-	ABLIM1	ENST00000533213	0.143	chr1:27897633-27897707	-	RPA2	ENST00000373912	-0.01	TFIP11
chr11:57791385-57791673	+	CTNND1	ENST00000399050	0.338	chr3:185689355-185689627	-	IGF2BP2	ENST00000382199	0.01	TFIP11
chr10:14553322-14553387	-	FAM107B	ENST00000496330	0.652	chr5:160051129-160051183	+	TTC1	ENST00000231238	0.01	TFIP11
chr3:51971812-51971892	-	ABHD14B	ENST00000525795	-0.546	chr19:36125451-36125523	+	TBCB	ENST00000221855	-0.0	TFIP11
chr16:30065876-30065927	+	ALDOA	ENST00000569545	0.174	chr20:62818518-62818553	+	COL9A3	ENST00000649368	0.02	TFIP11
chr9:32988083-32988124	-	APTX	ENST00000673248	0.377	chr2:61502249-61502310	-	XPO1	ENST00000401558	0.0	TFIP11
chr9:121300056-121300126	+	GSN	ENST00000699558	-0.262	chr7:5624056-5624125	-	RNF216	ENST00000389902	0.0	TFIP11
chr1:225504991-225505053	-	ENAH	ENST00000366844	-0.273	chr5:38978583-38978650	-	RICTOR	ENST00000357387	-0.02	TFIP11
chr1:112616813-112616844	-	ST7L	ENST00000490067	0.399	chr15:68183630-68183667	+	PIAS1	ENST00000249636	0.01	TFIP11
chr10:15140987-15141029	-	NMT2	ENST00000378150	0.435	chr12:123639957-123640001	+	GTF2H3	ENST00000538845	-0.01	TFIP11
chr19:8418537-8418807	+	MARCHF2	ENST00000601283	-0.679	chr14:94619195-94619468	+	SERPINA3	ENST00000393078	0.0	TFIP11
chr10:45553112-45553204	-	MARCHF8	ENST00000453980	-0.419	chr12:108678272-108678394	-	CORO1C	ENST00000261401	-0.0	TFIP11
chr20:49158437-49158497	-	STAU1	ENST00000456866	0.343	chr11:47634672-47634734	-	MTCH2	ENST00000302503	0.0	TFIP11
chr17:79000100-79000270	-	CANT1	ENST00000586916	-0.26	chr16:67444528-67444706	-	ATP6V0D1	ENST00000290949	-0.01	TFIP11
chr19:8418742-8418807	+	MARCHF2	ENST00000601724	-0.724	chr1:154932352-154932415	-	PMVK	ENST00000368467	0.01	TFIP11
chr7:150369742-150369868	+	REPIN1	ENST00000488943	-0.531	chr17:42537398-42537545	+	NAGLU	ENST00000225927	0.0	TFIP11
