target_coordinates	gene_name	transcript_id	Strand
chr2:130161186-130161272	SMPD4	ENST00000680298	-
chr22:35338713-35338788	TOM1	ENST00000449058	+
chr11:47259180-47259259	NR1H3	ENST00000441012	+
chr20:37401602-37401678	SRC	ENST00000373578	+
chr20:49850810-49850844	SLC9A8	ENST00000361573	+
chr15:84679932-84679969	SEC11A	ENST00000560266	-
chr9:96852853-96853069	ZNF782	ENST00000481138	-
chr15:72349079-72349259	HEXA	ENST00000268097	-
chr9:133465322-133465447	CACFD1	ENST00000316948	+
chr7:857828-857957	SUN1	ENST00000401592	+
chr13:75809154-75809183	LMO7	ENST00000377534	+
chr2:32175319-32175361	SLC30A6	ENST00000282587	+
chr19:42511576-42511628	CEACAM1	ENST00000161559	-
chr2:219174146-219174207	CNPPD1	ENST00000360507	-
chr9:125962102-125962214	PBX3	ENST00000373489	+
chr6:79202276-79202389	HMGN3	ENST00000344726	-
chr12:56160626-56160670	MYL6	ENST00000550697	+
chr11:47173426-47173482	ARFGAP2	ENST00000524782	-
chr11:57791385-57791673	CTNND1	ENST00000399050	+
chr12:95956685-95956962	AMDHD1	ENST00000266736	+
chr9:36390467-36390616	RNF38	ENST00000259605	-
chr11:36648016-36648155	IFTAP	ENST00000334307	+
chr2:95405277-95405402	FAHD2A	ENST00000447036	+
chr19:11120092-11120233	LDLR	ENST00000558518	+
chr19:44914672-44914733	APOC1	ENST00000588750	+
chr1:161306108-161306168	MPZ	ENST00000533357	-
chr4:39062559-39063035	KLHL5	ENST00000261425	+
chrX:107088436-107088839	RBM41	ENST00000685964	-
chr17:50975863-50975901	SPAG9	ENST00000510283	-
chr9:83975462-83975505	HNRNPK	ENST00000376263	-
chr20:49850762-49850844	SLC9A8	ENST00000417961	+
chrX:68513327-68513405	YIPF6	ENST00000462683	+
chr8:130361670-130361771	ASAP1	ENST00000357668	-
chr13:111205289-111205373	ARHGEF7	ENST00000646102	+
chr11:57791494-57791673	CTNND1	ENST00000532844	+
chr3:47590661-47590837	SMARCC1	ENST00000254480	-
chr11:57791492-57791673	CTNND1	ENST00000534579	+
chrX:18951104-18951272	PHKA2	ENST00000379942	-
chr12:3863836-3863957	PARP11	ENST00000427057	-
chrX:133692369-133692494	GPC3	ENST00000370818	-
chr2:63842059-63842204	UGP2	ENST00000484142	+
chr13:51451025-51451174	INTS6	ENST00000311234	-
chr4:102827592-102827741	UBE2D3	ENST00000502690	-
chr22:50438599-50438762	PPP6R2	ENST00000612753	+
chr1:17619339-17619445	ARHGEF10L	ENST00000361221	+
chr19:56826388-56826463	PEG3	ENST00000326441	-
chr11:9152358-9152442	DENND5A	ENST00000328194	-
chr3:121460050-121460234	POLQ	ENST00000264233	-
chr1:20840856-20841028	EIF4G3	ENST00000602326	-
chr12:2865355-2865399	FOXM1	ENST00000359843	-
chr17:38778334-38778372	PIP4K2B	ENST00000619039	-
chr4:20712788-20712922	PACRGL	ENST00000503585	+
chr3:161246336-161246448	NMD3	ENST00000351193	+
chr19:36039944-36040136	THAP8	ENST00000292894	-
chr16:70786215-70786365	VAC14	ENST00000261776	-
chr19:1487603-1487691	PCSK4	ENST00000300954	-
chr19:1063760-1063863	ABCA7	ENST00000263094	+
chr19:21310501-21310627	ZNF708	ENST00000356929	-
chr7:92386509-92386643	ANKIB1	ENST00000265742	+
chr2:27774424-27774530	MRPL33	ENST00000296102	+
chr4:103091177-103091285	BDH2	ENST00000296424	-
chr2:215392931-215393203	FN1	ENST00000354785	-
chr16:18839698-18839946	SMG1	ENST00000446231	-
chr2:227352514-227352573	MFF	ENST00000304593	+
chr10:218455-218499	ZMYND11	ENST00000397955	+
chr2:227347226-227347384	MFF	ENST00000304593	+
chr6:142198439-142198615	VTA1	ENST00000367630	+
chr6:10755142-10755232	TMEM14B	ENST00000379542	+
chr6:13595477-13595564	SIRT5	ENST00000606117	+
chr6:10749622-10749698	TMEM14B	ENST00000379542	+
chr11:72840877-72840959	FCHSD2	ENST00000409418	-
chr6:39927329-39927455	MOCS1	ENST00000340692	-
chr17:21312142-21312281	MAP2K3	ENST00000342679	+
chr5:154950821-154950938	MRPL22	ENST00000523037	+
chr19:34208929-34209051	LSM14A	ENST00000544216	+
chr12:879573-880031	WNK1	ENST00000315939	+
chr19:5648989-5649499	SAFB	ENST00000588852	+
chr2:101868029-101868037	MAP4K4	ENST00000324219	+
chr9:81633348-81633364	TLE1	ENST00000376499	-
chr14:39320928-39321056	MIA2	ENST00000640607	+
chr14:39061765-39061871	SEC23A	ENST00000307712	-
chr12:880721-880999	WNK1	ENST00000315939	+
chr17:37570637-37570885	SYNRG	ENST00000612223	-
chr8:61646750-61646878	ASPH	ENST00000379454	-
chr3:45837927-45838051	LZTFL1	ENST00000296135	-
chr9:128592983-128593042	SPTAN1	ENST00000372739	+
chr9:35677790-35677856	CA9	ENST00000378357	+
chr6:70791689-70791769	SMAP1	ENST00000370455	+
chr20:8141871-8141948	PLCB1	ENST00000630495	+
chr3:146077862-146077924	PLOD2	ENST00000282903	-
chr1:163338020-163338093	NUF2	ENST00000271452	+
chr6:138441983-138442114	NHSL1	ENST00000343505	-
chr3:119447018-119447172	TMEM39A	ENST00000319172	-
chr3:78647629-78647655	ROBO1	ENST00000464233	-
chr13:25319326-25319350	NUP58	ENST00000381736	+
chr18:58335478-58335537	NEDD4L	ENST00000400345	+
chr3:66370529-66370602	SLC25A26	ENST00000354883	+
chr7:105038126-105038199	KMT2E	ENST00000311117	+
chr2:176323392-176323464	MTX2	ENST00000249442	+
chr8:140925661-140925749	PTK2	ENST00000696786	-
chr6:24205002-24205102	DCDC2	ENST00000378454	-
chr4:56298214-56298349	CRACD	ENST00000682029	+
chr11:12496458-12496598	PARVA	ENST00000334956	+
chr14:70995741-70995925	PCNX1	ENST00000304743	+
chr14:39326864-39327022	MIA2	ENST00000640607	+
chr3:58141858-58141929	FLNB	ENST00000295956	+
chr16:3658793-3658865	TRAP1	ENST00000246957	-
chr1:207790253-207790345	CD46	ENST00000367042	+
chr3:32487938-32488036	CMTM6	ENST00000205636	-
chr9:128272785-128272865	GOLGA2	ENST00000611957	-
chr6:169658276-169658358	WDR27	ENST00000448612	-
chr6:142383760-142383843	ADGRG6	ENST00000367609	+
chr6:131615907-131616002	MED23	ENST00000368068	-
chr7:158752781-158752843	ESYT2	ENST00000275418	-
chr14:54436369-54436437	CNIH1	ENST00000216416	-
chr12:67649797-67649945	DYRK2	ENST00000344096	+
chr2:173963761-173963883	SP3	ENST00000310015	-
chr11:57789037-57789155	CTNND1	ENST00000399050	+
chr9:129929567-129929695	FNBP1	ENST00000446176	-
chrX:17745456-17745539	SCML1	ENST00000380041	+
chr4:39926775-39926861	PDS5A	ENST00000303538	-
chr11:85990250-85990399	PICALM	ENST00000393346	-
chr6:82181879-82182028	IBTK	ENST00000306270	-
chr19:7150497-7150532	INSR	ENST00000302850	-
chr21:36053583-36053620	SETD4	ENST00000332131	-
chr16:24793473-24793649	TNRC6A	ENST00000395799	+
chr5:176498914-176499085	FAF2	ENST00000261942	+
chr10:86843406-86843510	BMPR1A	ENST00000480152	+
chr6:17513849-17513954	CAP2	ENST00000229922	+
chr2:241094277-241094432	MTERF4	ENST00000614476	-
chr11:5683986-5684139	TRIM5	ENST00000419850	-
chr17:76090329-76090397	EXOC7	ENST00000634349	-
chr2:240873978-240874062	AGXT	ENST00000307503	+
chr16:491134-491268	RAB11FIP3	ENST00000434585	+
chr17:6701004-6701126	SLC13A5	ENST00000433363	-
chr10:80356297-80356596	DYDC2	ENST00000372197	+
chr3:126067947-126068246	SLC41A3	ENST00000360370	-
chr10:78037439-78037441	RPS24	ENST00000464716	+
chr20:32367727-32367729	ASXL1	ENST00000375687	+
chr12:110499535-110499546	VPS29	ENST00000360579	-
chr11:12511514-12511533	PARVA	ENST00000334956	+
chr3:65375745-65375948	MAGI1	ENST00000483466	-
chr6:43587272-43587489	POLH	ENST00000372236	+
chr3:58141858-58141896	FLNB	ENST00000429972	+
chr17:81610210-81610258	NPLOC4	ENST00000331134	-
chr10:5720260-5720397	TASOR2	ENST00000695834	+
chr2:186675604-186675717	ITGAV	ENST00000261023	+
chr6:142440908-142440953	ADGRG6	ENST00000296932	+
chr2:171058151-171058197	TLK1	ENST00000431350	-
chr17:61380506-61380571	BCAS3	ENST00000408905	+
chr9:128378036-128378106	URM1	ENST00000372853	+
chr20:50941105-50941209	DPM1	ENST00000371584	-
chr9:121161533-121161625	CNTRL	ENST00000686219	+
chr5:154950803-154950938	MRPL22	ENST00000522038	+
chr13:21391722-21391854	ZDHHC20	ENST00000400590	-
chr10:73825321-73825347	CAMK2G	ENST00000700396	-
chr1:15507873-15507907	CASP9	ENST00000333868	-
chr8:140948666-140948723	PTK2	ENST00000520045	-
chr2:200329431-200329480	SPATS2L	ENST00000409140	+
chr2:241096393-241096438	MTERF4	ENST00000414146	-
chr2:241404799-241404841	FARP2	ENST00000264042	+
chr3:188225405-188225527	LPP	ENST00000617246	+
chr3:11671262-11671394	VGLL4	ENST00000426568	-
chr3:121799196-121799374	IQCB1	ENST00000310864	-
chr2:39058673-39058804	SOS1	ENST00000402219	-
chr14:20381553-20381686	TEP1	ENST00000262715	-
chr12:6856305-6856450	USP5	ENST00000229268	+
chr16:57722713-57722841	DRC7	ENST00000360716	+
chr20:3804569-3804680	CDC25B	ENST00000245960	+
chr17:45989878-45990075	MAPT	ENST00000262410	+
chr16:70262346-70262524	AARS1	ENST00000261772	-
chr6:17789872-17789910	KIF13A	ENST00000259711	-
chr15:64123503-64123546	SNX1	ENST00000559844	+
chr2:30148245-30148541	YPEL5	ENST00000379520	+
chr2:178450242-178450411	PRKRA	ENST00000325748	-
chr4:82830937-82830975	SEC31A	ENST00000503937	-
chr2:227550059-227550106	AGFG1	ENST00000458212	+
chr20:63978245-63978361	SAMD10	ENST00000450107	-
chr20:62964228-62964315	SLC17A9	ENST00000370351	+
chr2:218658701-218658876	ZNF142	ENST00000411696	-
chr6:43042802-43042984	CUL7	ENST00000265348	-
chrX:107154096-107154246	NUP62CL	ENST00000372466	-
chr6:87500508-87500667	SLC35A1	ENST00000369552	+
chr14:50112615-50112719	VCPKMT	ENST00000395860	-
chr6:151454548-151454653	ARMT1	ENST00000367294	+
chr5:69567727-69567777	GTF2H2C	ENST00000380729	+
chr18:259682-259730	THOC1	ENST00000261600	-
chr8:80050445-80050471	TPD52	ENST00000518937	-
chr10:78040204-78040225	RPS24	ENST00000372360	+
chr10:78040201-78040225	RPS24	ENST00000435275	+
chr18:79176813-79176907	ATP9B	ENST00000426216	+
chr14:69424094-69424202	SLC39A9	ENST00000336643	+
chr19:9415654-9415742	ZNF266	ENST00000592904	-
chr17:75040092-75040163	ATP5PD	ENST00000301587	-
chr12:31089403-31089490	DDX11	ENST00000542838	+
chr17:7223133-7223237	ACADVL	ENST00000356839	+
chr2:9418626-9418732	ITGB1BP1	ENST00000355346	-
chr14:101906402-101906529	PPP2R5C	ENST00000694906	+
chr16:117301-117375	NPRL3	ENST00000611875	-
chr4:4423518-4423587	STX18	ENST00000306200	-
chr16:1314020-1314096	UBE2I	ENST00000397514	+
chr10:102654653-102654748	TRIM8	ENST00000643721	+
chr19:4097279-4097343	MAP2K2	ENST00000262948	-
chr5:179867778-179867849	TBC1D9B	ENST00000355235	-
chr16:29895259-29895460	SEZ6L2	ENST00000617533	-
chr15:40751426-40751569	RMDN3	ENST00000338376	-
chr9:32988083-32988129	APTX	ENST00000379817	-
chr19:8473664-8473708	HNRNPM	ENST00000325495	+
chr11:74161399-74161556	C2CD3	ENST00000334126	-
chr3:134507109-134507286	CEP63	ENST00000675561	+
chr2:15628638-15628710	DDX1	ENST00000233084	+
chr2:86456805-86456877	KDM3A	ENST00000312912	+
chr1:36462088-36462163	MRPS15	ENST00000373116	-
chr16:74949718-74949798	WDR59	ENST00000262144	-
chr21:33597280-33597401	CRYZL1	ENST00000381554	-
chr2:53899881-53900017	PSME4	ENST00000404125	-
chr1:21706467-21706589	USP48	ENST00000308271	-
chr11:57738664-57738770	TMX2	ENST00000278422	+
