exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr11:65047475-65047565	-	NAALADL1	ENST00000358658	0.212	chr16:1964276-1964365	-	RPS2	ENST00000343262	0.0	TIA1
chr11:66845500-66845562	+	RCE1	ENST00000309657	0.207	chr6:43071567-43071619	+	KLC4	ENST00000347162	-0.0	TIA1
chrX:107154096-107154246	-	NUP62CL	ENST00000372466	-0.486	chr6:87500508-87500667	+	SLC35A1	ENST00000369552	-0.0	TIA1
chr8:27290156-27290178	-	TRIM35	ENST00000305364	0.518	chr19:35508205-35508240	-	DMKN	ENST00000419602	0.0	TIA1
chr7:64814918-64815044	+	ZNF138	ENST00000307355	-0.634	chr10:103106589-103106706	-	NT5C2	ENST00000404739	-0.01	TIA1
chr6:41744397-41744514	-	PGC	ENST00000373025	0.179	chr1:205528048-205528168	+	CDK18	ENST00000429964	0.01	TIA1
chr17:82019641-82019694	-	CENPX	ENST00000392359	0.324	chr3:47406703-47406750	+	PTPN23	ENST00000265562	-0.01	TIA1
chr20:35618087-35618130	+	SPAG4	ENST00000374273	0.193	chr19:17228256-17228309	+	OCEL1	ENST00000215061	0.02	TIA1
chr15:77031180-77031278	+	PSTPIP1	ENST00000558012	0.327	chr20:64066915-64067020	+	TCEA2	ENST00000343484	0.01	TIA1
chr17:78205603-78205738	+	AFMID	ENST00000409257	0.315	chr16:1962497-1962656	-	RPS2	ENST00000343262	-0.0	TIA1
chr17:78204656-78204741	+	AFMID	ENST00000409257	0.255	chr19:39433665-39433761	-	RPS16	ENST00000251453	-0.0	TIA1
chr4:15040464-15040487	+	CPEB2	ENST00000538197	0.382	chr6:13652659-13652681	-	RANBP9	ENST00000011619	-0.0	TIA1
chr4:1803692-1803836	+	FGFR3	ENST00000440486	0.282	chr5:177459603-177459740	-	DBN1	ENST00000393565	-0.0	TIA1
chr17:32366665-32366757	+	ZNF207	ENST00000394670	0.268	chr6:70859329-70859416	+	SMAP1	ENST00000370452	-0.0	TIA1
chr16:15086365-15086454	-	RRN3	ENST00000198767	0.26	chr2:169805474-169805577	+	SSB	ENST00000260956	-0.0	TIA1
chr8:85219323-85219363	-	RBIS	ENST00000612809	0.126	chr17:47619737-47619784	+	NPEPPS	ENST00000322157	0.0	TIA1
chr5:66158809-66158932	+	SREK1	ENST00000380918	0.291	chr1:81966058-81966183	+	ADGRL2	ENST00000686636	-0.01	TIA1
chr6:127286050-127286177	+	RNF146	ENST00000608991	0.39	chrX:120539268-120539372	-	CUL4B	ENST00000371322	-0.01	TIA1
chr17:82019510-82019694	-	CENPX	ENST00000584347	0.232	chr3:49686313-49686481	-	MST1	ENST00000449682	0.0	TIA1
chr2:164727106-164727144	-	COBLL1	ENST00000629362	0.328	chr10:21928506-21928552	-	DNAJC1	ENST00000376980	0.01	TIA1
chr2:210016204-210016257	+	RPE	ENST00000429921	0.144	chr12:54282800-54282874	+	HNRNPA1	ENST00000340913	-0.0	TIA1
chr17:17180607-17180669	+	MPRIP	ENST00000341712	0.291	chr8:22636525-22636586	-	BIN3	ENST00000276416	0.02	TIA1
chr10:50862889-50862981	-	A1CF	ENST00000395489	0.406	chr14:96544149-96544258	+	PAPOLA	ENST00000216277	-0.0	TIA1
chr11:119026603-119026688	-	SLC37A4	ENST00000545985	0.315	chr19:19197521-19197621	+	RFXANK	ENST00000303088	-0.02	TIA1
chrX:156022699-156022834	+	WASH6P	ENST00000359512	0.345	chr11:66287812-66287916	-	YIF1A	ENST00000376901	0.0	TIA1
chr17:15440208-15440285	-	TVP23C-CDRT4	ENST00000522212	0.256	chr3:48961612-48961679	+	ARIH2	ENST00000356401	-0.01	TIA1
chr14:73100301-73100362	+	RBM25	ENST00000526754	0.282	chr17:67737071-67737145	+	NOL11	ENST00000253247	0.0	TIA1
chr17:58005414-58005600	-	SRSF1	ENST00000584773	-0.278	chr18:57607134-57607333	-	NARS1	ENST00000256854	-0.0	TIA1
chr7:100353895-100354012	+	PILRB	ENST00000419749	-0.299	chr17:29092343-29092456	-	MYO18A	ENST00000527372	-0.0	TIA1
chr5:42810691-42810778	-	SELENOP	ENST00000510965	0.22	chr8:100532356-100532460	-	ANKRD46	ENST00000519597	0.02	TIA1
chr19:40365662-40365930	+	PLD3	ENST00000600948	0.258	chr19:49524507-49524776	+	FCGRT	ENST00000221466	0.0	TIA1
chr16:57174620-57174688	-	PSME3IP1	ENST00000566584	0.343	chr8:124522937-124523002	-	TATDN1	ENST00000276692	0.0	TIA1
chr4:158833801-158833890	+	FNIP2	ENST00000504715	0.286	chr1:109065797-109065918	-	TAF13	ENST00000692048	-0.01	TIA1
