exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr4:127989721-127989821	+	ABHD18	ENST00000645843	0.219	chr8:73825147-73825249	-	UBE2W	ENST00000602593	-0.02	SND1
chr6:31639500-31639646	-	BAG6	ENST00000676615	0.183	chr7:100722664-100722843	+	EPO	ENST00000252723	0.01	SND1
chr9:36390467-36390616	-	RNF38	ENST00000259605	0.555	chr1:23030469-23030634	+	KDM1A	ENST00000400181	0.0	SND1
chr15:41668828-41669958	+	MGA	ENST00000566586	-0.358	chr2:73572262-73573424	+	ALMS1	ENST00000613296	-0.02	SND1
chr14:23556743-23557304	+	THTPA	ENST00000404535	0.383	chr3:50302057-50302623	-	HYAL1	ENST00000457214	-0.01	SND1
chr3:51971812-51971892	-	ABHD14B	ENST00000525795	-0.461	chr1:156544389-156544472	-	IQGAP3	ENST00000361170	0.01	SND1
chr14:91145221-91145313	+	DGLUCY	ENST00000518868	-0.559	chr1:36361221-36361340	-	STK40	ENST00000373132	-0.0	SND1
chr12:131963532-131963642	+	EP400	ENST00000333577	0.459	chr2:26230192-26230294	-	HADHA	ENST00000380649	0.0	SND1
chr7:35831353-35831496	+	SEPTIN7	ENST00000635047	0.333	chr13:95785939-95786071	+	DNAJC3	ENST00000602402	-0.01	SND1
chr16:635518-635774	-	METTL26	ENST00000568830	0.38	chr4:1804330-1804520	+	FGFR3	ENST00000440486	-0.0	SND1
