exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr6:143947985-143948460	-	PLAGL1	ENST00000674357	0.55	chr5:134887695-134888182	+	TXNDC15	ENST00000358387	-0.01	HNRNPK
chrX:30727466-30727552	+	GK	ENST00000427190	0.329	chr10:94510091-94510179	+	TBC1D12	ENST00000225235	0.01	HNRNPK
chrX:30697732-30697749	+	GK	ENST00000427190	0.101	chr12:39330242-39330262	-	KIF21A	ENST00000361418	0.02	HNRNPK
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.266	chr5:1470826-1470924	-	LPCAT1	ENST00000283415	-0.0	HNRNPK
chrX:14026140-14026221	-	GEMIN8	ENST00000680255	0.473	chr3:138228918-138229010	+	ARMC8	ENST00000469044	0.01	HNRNPK
chr5:150403121-150403312	-	CD74	ENST00000009530	-0.129	chr3:48536256-48536463	-	PFKFB4	ENST00000232375	0.0	HNRNPK
chr15:45592135-45592276	+	BLOC1S6	ENST00000220531	-0.226	chr17:12129139-12129287	+	MAP2K4	ENST00000353533	-0.01	HNRNPK
chr3:12312380-12312453	+	PPARG	ENST00000651735	-0.172	chr6:106248150-106248244	-	ATG5	ENST00000369076	-0.01	HNRNPK
chr10:21617112-21617207	+	MLLT10	ENST00000307729	-0.195	chr3:172786493-172786574	+	ECT2	ENST00000392692	-0.01	HNRNPK
chr1:62153358-62153481	+	PATJ	ENST00000642238	0.398	chr5:32263113-32263242	-	MTMR12	ENST00000382142	0.01	HNRNPK
chr1:147252623-147252735	+	CHD1L	ENST00000369258	-0.151	chr12:49749618-49749734	+	TMBIM6	ENST00000549966	-0.0	HNRNPK
chr13:36867273-36867383	-	SMAD9	ENST00000379826	0.376	chr10:89247538-89247649	-	LIPA	ENST00000336233	-0.0	HNRNPK
chr19:5834950-5835077	-	FUT6	ENST00000318336	0.332	chr19:41344747-41344864	-	TGFB1	ENST00000221930	0.0	HNRNPK
chr19:1061782-1061888	+	ABCA7	ENST00000263094	-0.384	chrX:38804310-38804413	+	MID1IP1	ENST00000378474	-0.01	HNRNPK
chr2:201272898-201272942	+	CASP8	ENST00000673742	0.313	chr5:62398511-62398560	-	DIMT1	ENST00000199320	-0.01	HNRNPK
chr14:94581615-94581710	+	SERPINA5	ENST00000329597	0.136	chr14:94388560-94388660	-	SERPINA1	ENST00000636712	0.02	HNRNPK
chr13:112878217-112878303	+	ATP11A	ENST00000375645	-0.307	chr17:57871286-57871369	-	CUEDC1	ENST00000577830	0.02	HNRNPK
chr15:45603100-45603187	+	BLOC1S6	ENST00000220531	-0.254	chr14:52457090-52457174	-	TXNDC16	ENST00000281741	0.01	HNRNPK
chr11:125627607-125627830	+	CHEK1	ENST00000438015	-0.168	chr3:149209211-149209384	-	CP	ENST00000264613	-0.0	HNRNPK
chr6:25915499-25915646	-	SLC17A2	ENST00000377850	0.15	chr14:20990464-20990598	+	METTL17	ENST00000339374	-0.0	HNRNPK
chr12:120098811-120098935	-	RAB35	ENST00000229340	-0.163	chr16:29862586-29862720	-	CDIPT	ENST00000219789	-0.02	HNRNPK
chr12:102844336-102844431	-	PAH	ENST00000553106	-0.278	chr12:50727703-50727812	+	DIP2B	ENST00000301180	0.01	HNRNPK
chr7:156688030-156688191	-	LMBR1	ENST00000353442	-0.152	chr1:92380724-92380873	+	RPAP2	ENST00000610020	-0.02	HNRNPK
chr3:38131596-38131638	-	ACAA1	ENST00000333167	-0.15	chr19:5664397-5664439	+	SAFB	ENST00000588852	-0.0	HNRNPK
chr7:151139979-151140116	+	AGAP3	ENST00000397238	0.261	chr2:675510-675630	-	TMEM18	ENST00000281017	0.0	HNRNPK
chr12:109523978-109524115	+	UBE3B	ENST00000342494	-0.319	chr2:85609435-85609586	-	C2orf68	ENST00000306336	0.01	HNRNPK
chr12:113950083-113950154	-	RBM19	ENST00000261741	-0.178	chr19:1364509-1364579	+	PWWP3A	ENST00000591337	0.02	HNRNPK
chr3:185672541-185672669	-	IGF2BP2	ENST00000382199	0.2	chr6:157150725-157150853	+	ARID1B	ENST00000637015	0.0	HNRNPK
chr3:114056999-114057106	+	QTRT2	ENST00000281273	0.33	chr7:123557404-123557507	-	NDUFA5	ENST00000679163	-0.0	HNRNPK
chr7:45072726-45072783	+	CCM2	ENST00000258781	-0.194	chr11:47288968-47289027	+	MADD	ENST00000349238	0.01	HNRNPK
chr1:154213893-154213946	-	C1orf43	ENST00000368521	-0.185	chr14:74889897-74889952	+	DLST	ENST00000334220	0.0	HNRNPK
chr3:120644319-120644443	-	HGD	ENST00000283871	-0.236	chr9:125323798-125323923	+	GAPVD1	ENST00000297933	-0.0	HNRNPK
chr3:120646267-120646366	-	HGD	ENST00000283871	-0.214	chr12:121330583-121330672	-	ANAPC5	ENST00000261819	-0.02	HNRNPK
chr3:16264155-16264229	-	DPH3	ENST00000488423	-0.243	chr13:28659822-28659919	+	POMP	ENST00000460403	0.0	HNRNPK
chr2:9407449-9407598	-	ITGB1BP1	ENST00000355346	-0.19	chr12:55990682-55990804	+	RAB5B	ENST00000360299	0.0	HNRNPK
chr1:155253859-155253978	-	ENTREP3	ENST00000361361	0.198	chr3:49116047-49116162	-	USP19	ENST00000417901	-0.01	HNRNPK
chr15:75904491-75904629	+	FBXO22	ENST00000308275	-0.274	chr4:127965072-127965208	-	MFSD8	ENST00000296468	-0.01	HNRNPK
chr15:80098416-80098578	+	ZFAND6	ENST00000261749	-0.199	chr18:49118744-49118926	-	DYM	ENST00000675505	0.01	HNRNPK
chr12:15883541-15883676	+	STRAP	ENST00000419869	-0.105	chr10:68936936-68937095	+	DDX50	ENST00000373585	-0.0	HNRNPK
chr3:139573598-139573680	-	NMNAT3	ENST00000704800	0.455	chr6:53287862-53287942	-	ELOVL5	ENST00000370918	-0.0	HNRNPK
chr8:47728933-47729047	+	SPIDR	ENST00000297423	0.278	chr10:70121092-70121211	-	AIFM2	ENST00000307864	0.02	HNRNPK
chr16:117301-117375	-	NPRL3	ENST00000611875	-0.585	chr3:127662237-127662311	+	PODXL2	ENST00000342480	-0.01	HNRNPK
chr12:124327409-124327633	-	NCOR2	ENST00000405201	-0.409	chr17:39924030-39924225	-	ORMDL3	ENST00000304046	-0.01	HNRNPK
chr3:15245526-15245671	+	CAPN7	ENST00000253693	0.208	chr9:71717948-71718079	-	CEMIP2	ENST00000377044	0.0	HNRNPK
chr16:119126-119255	-	NPRL3	ENST00000611875	-0.18	chr11:970169-970311	+	AP2A2	ENST00000448903	0.01	HNRNPK
chr12:125118641-125118765	+	AACS	ENST00000316519	-0.164	chr19:16081913-16082046	+	TPM4	ENST00000643579	-0.0	HNRNPK
chr1:1355450-1355752	-	MXRA8	ENST00000309212	-0.359	chr8:143805112-143805435	-	SCRIB	ENST00000356994	-0.01	HNRNPK
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.353	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	-0.0	HNRNPK
chr9:36583627-36583712	+	MELK	ENST00000298048	-0.321	chr1:229475638-229475732	-	NUP133	ENST00000261396	-0.01	HNRNPK
chr15:90877527-90877615	+	FURIN	ENST00000268171	-0.201	chr22:50518649-50518732	+	NCAPH2	ENST00000420993	-0.0	HNRNPK
chr3:13501871-13501933	+	HDAC11	ENST00000295757	-0.469	chr7:128085711-128085780	+	SND1	ENST00000354725	-0.0	HNRNPK
chr3:13496736-13496852	+	HDAC11	ENST00000295757	-0.589	chr16:68287746-68287871	+	SLC7A6	ENST00000219343	-0.01	HNRNPK
chr8:89762829-89762982	+	RIPK2	ENST00000220751	-0.596	chr11:32973397-32973549	+	QSER1	ENST00000650167	0.02	HNRNPK
chr4:38868398-38868546	+	FAM114A1	ENST00000358869	0.551	chr11:44096225-44096321	+	EXT2	ENST00000343631	-0.0	HNRNPK
chr16:66563122-66563217	+	CKLF	ENST00000264001	-0.304	chr3:5199592-5199695	+	EDEM1	ENST00000256497	0.02	HNRNPK
chr4:1939654-1939778	+	NSD2	ENST00000508803	-0.326	chr14:64390337-64390467	+	MTHFD1	ENST00000697173	-0.0	HNRNPK
chr16:634889-634956	-	METTL26	ENST00000301686	0.305	chr19:43546052-43546106	-	XRCC1	ENST00000262887	-0.0	HNRNPK
chr4:44722084-44722242	-	GNPDA2	ENST00000295448	-0.323	chrX:129511804-129511983	-	SMARCA1	ENST00000371121	0.0	HNRNPK
chr4:4425164-4425222	-	STX18	ENST00000306200	-0.27	chr6:158623550-158623607	+	TMEM181	ENST00000684151	0.0	HNRNPK
chr19:40365718-40365930	+	PLD3	ENST00000409735	0.302	chr4:3414072-3414241	+	RGS12	ENST00000336727	0.02	HNRNPK
chr4:78935121-78935283	-	PAQR3	ENST00000512733	-0.294	chr5:33448541-33448731	+	TARS1	ENST00000265112	-0.0	HNRNPK
chr16:70679315-70679323	-	MTSS2	ENST00000338779	0.154	chr7:128393722-128393738	-	IMPDH1	ENST00000648462	-0.01	HNRNPK
chr4:84726861-84726911	-	WDFY3	ENST00000295888	0.505	chr1:94515146-94515202	+	ABCD3	ENST00000370214	-0.0	HNRNPK
chr9:109422718-109422852	-	PTPN3	ENST00000374541	0.384	chr9:69216339-69216463	+	TJP2	ENST00000377245	-0.0	HNRNPK
chr11:504824-504996	-	RNH1	ENST00000354420	0.188	chr16:89900635-89900794	+	TCF25	ENST00000263346	-0.0	HNRNPK
chr19:17501273-17501419	+	SLC27A1	ENST00000252595	0.258	chr19:12710621-12710773	-	TNPO2	ENST00000425528	0.0	HNRNPK
chr19:18431353-18431418	+	SSBP4	ENST00000270061	0.591	chr20:62826204-62826257	+	COL9A3	ENST00000649368	-0.0	HNRNPK
chr11:8912453-8912533	+	AKIP1	ENST00000309377	0.353	chr7:849520-849603	+	SUN1	ENST00000429178	-0.01	HNRNPK
chr19:55342215-55342380	+	KMT5C	ENST00000255613	0.438	chr19:10091476-10091630	+	SHFL	ENST00000253110	0.01	HNRNPK
chr11:830866-831032	+	CRACR2B	ENST00000525077	-0.402	chr1:1342363-1342484	-	DVL1	ENST00000378888	-0.01	HNRNPK
chr3:58310309-58310406	+	RPP14	ENST00000295959	0.278	chr8:100706887-100706997	-	PABPC1	ENST00000318607	0.0	HNRNPK
chr11:834530-834591	+	CD151	ENST00000397420	0.275	chr2:240872979-240873049	+	AGXT	ENST00000307503	0.0	HNRNPK
chr3:53855294-53855341	+	IL17RB	ENST00000288167	-0.182	chr1:165905921-165905969	+	UCK2	ENST00000367879	0.01	HNRNPK
chr16:2775451-2775556	-	ELOB	ENST00000409906	-0.106	chr22:45543401-45543526	+	FBLN1	ENST00000327858	-0.0	HNRNPK
