exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr14:75046376-75049718	-	MLH3	ENST00000355774	0.328	chr2:47798611-47801155	+	MSH6	ENST00000234420	-0.01	HNRNPD
chr3:146201035-146201077	-	PLSCR4	ENST00000354952	0.281	chr12:32705825-32705863	+	DNM1L	ENST00000358214	-0.01	HNRNPD
chr7:30050434-30050474	+	PLEKHA8	ENST00000449726	0.258	chr8:432886-432935	+	FBXO25	ENST00000350302	0.02	HNRNPD
chr12:130795995-130796120	-	STX2	ENST00000392373	0.302	chrX:2953143-2953265	-	ARSL	ENST00000381134	-0.0	HNRNPD
chr2:159400599-159400664	-	BAZ2B	ENST00000392783	0.357	chr2:177440965-177441036	+	AGPS	ENST00000264167	0.0	HNRNPD
chr2:171392043-171392197	-	METTL8	ENST00000375258	0.359	chr20:41564011-41564151	-	CHD6	ENST00000373222	-0.01	HNRNPD
chr2:108383093-108383219	+	SULT1C4	ENST00000272452	0.228	chr17:40133534-40133658	+	MSL1	ENST00000398532	-0.0	HNRNPD
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.323	chr2:43896634-43896708	-	LRPPRC	ENST00000260665	-0.0	HNRNPD
chr2:191400749-191400835	+	MYO1B	ENST00000392318	0.282	chr14:20351047-20351122	+	PARP2	ENST00000429687	0.01	HNRNPD
chr7:76401008-76401043	-	SSC4D	ENST00000275560	0.463	chr16:22250654-22250691	+	EEF2K	ENST00000263026	-0.0	HNRNPD
chr2:222900674-222900780	+	ACSL3	ENST00000357430	0.17	chr4:38680587-38680682	+	KLF3	ENST00000261438	0.01	HNRNPD
chr10:98431131-98431291	-	HPS1	ENST00000361490	-0.47	chr18:2922047-2922199	-	LPIN2	ENST00000677752	0.0	HNRNPD
chr20:46398697-46398771	-	ELMO2	ENST00000290246	0.409	chr1:23820510-23820593	-	HMGCL	ENST00000374490	0.01	HNRNPD
chr10:78040204-78040225	+	RPS24	ENST00000372360	-0.151	chr10:78040201-78040225	+	RPS24	ENST00000435275	-0.0	HNRNPD
chr4:82371528-82371584	-	HNRNPD	ENST00000313899	0.244	chr2:42304484-42304551	+	EML4	ENST00000318522	-0.0	HNRNPD
chr10:31839637-31839711	-	ARHGAP12	ENST00000344936	0.394	chr2:58163434-58163517	-	FANCL	ENST00000233741	-0.02	HNRNPD
chr16:15086365-15086454	-	RRN3	ENST00000198767	0.325	chr2:169805474-169805577	+	SSB	ENST00000260956	-0.0	HNRNPD
chr17:37210467-37210490	-	ACACA	ENST00000616317	0.366	chr15:99703362-99703385	+	MEF2A	ENST00000557942	0.01	HNRNPD
chr11:85990250-85990399	-	PICALM	ENST00000393346	0.199	chr3:111126184-111126335	+	NECTIN3	ENST00000485303	-0.01	HNRNPD
chr2:99156301-99156426	+	LIPT1	ENST00000393473	0.521	chr6:42057389-42057513	+	TAF8	ENST00000372977	0.02	HNRNPD
chr3:30623199-30623273	+	TGFBR2	ENST00000359013	0.195	chr5:73923087-73923164	+	ARHGEF28	ENST00000437974	0.01	HNRNPD
chr11:85990250-85990378	-	PICALM	ENST00000526033	0.159	chr3:38190731-38190839	+	OXSR1	ENST00000311806	0.01	HNRNPD
