exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr8:89762829-89762982	+	RIPK2	ENST00000220751	0.545	chr11:32973397-32973549	+	QSER1	ENST00000650167	-0.01	HNRNPA2B1
chr7:149080591-149080717	-	ZNF786	ENST00000491431	0.435	chr17:64160801-64160933	-	TEX2	ENST00000584379	0.0	HNRNPA2B1
chr4:128942996-128943188	-	SCLT1	ENST00000281142	-0.332	chr17:31330296-31330498	+	NF1	ENST00000358273	-0.02	HNRNPA2B1
chr4:127938783-127938838	-	MFSD8	ENST00000641686	0.265	chr5:62366414-62366481	+	KIF2A	ENST00000407818	0.01	HNRNPA2B1
chr3:9938015-9938106	+	CRELD1	ENST00000452070	0.401	chr1:29280039-29280141	+	PTPRU	ENST00000373779	-0.01	HNRNPA2B1
chr14:21087320-21087463	+	ARHGEF40	ENST00000298694	0.467	chr19:43626784-43626918	-	CADM4	ENST00000222374	0.01	HNRNPA2B1
chr1:44804650-44804779	+	PLK3	ENST00000372201	0.277	chr6:31269966-31270085	-	HLA-C	ENST00000376228	-0.01	HNRNPA2B1
chr13:72731281-72731387	+	BORA	ENST00000390667	0.444	chr12:79786374-79786478	-	PPP1R12A	ENST00000450142	-0.0	HNRNPA2B1
chr13:72734960-72735005	+	BORA	ENST00000390667	0.45	chr4:105449350-105449403	-	PPA2	ENST00000341695	-0.01	HNRNPA2B1
chr9:65731630-65731698	+	ZNG1E	ENST00000382405	0.43	chr18:2718158-2718235	+	SMCHD1	ENST00000320876	0.01	HNRNPA2B1
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.152	chrX:20132182-20132263	-	EIF1AX	ENST00000379607	0.01	HNRNPA2B1
chr15:71951777-71951896	-	MYO9A	ENST00000356056	0.409	chr5:115253137-115253255	-	PGGT1B	ENST00000419445	-0.02	HNRNPA2B1
chr4:183655881-183655961	-	RWDD4	ENST00000326397	0.357	chr9:100445169-100445237	+	MSANTD3	ENST00000374885	0.02	HNRNPA2B1
chr13:113110690-113110850	+	F7	ENST00000346342	0.316	chr13:113163009-113163122	+	PROZ	ENST00000375547	-0.02	HNRNPA2B1
chr17:82179027-82179189	-	CCDC57	ENST00000694881	0.292	chr14:94586846-94586983	+	SERPINA5	ENST00000554633	-0.0	HNRNPA2B1
chr1:162592732-162592782	+	UAP1	ENST00000367925	0.244	chr9:130086420-130086476	+	GPR107	ENST00000347136	0.01	HNRNPA2B1
chr2:38989270-38989314	-	SOS1	ENST00000402219	0.217	chr7:74714857-74714916	+	GTF2I	ENST00000573035	0.01	HNRNPA2B1
chr5:142012288-142012339	-	GNPDA1	ENST00000500692	0.267	chr12:57524029-57524092	+	MBD6	ENST00000355673	0.02	HNRNPA2B1
chr12:53502020-53502184	+	TARBP2	ENST00000456234	0.228	chr3:50302057-50302205	-	HYAL1	ENST00000447605	-0.0	HNRNPA2B1
chr6:127286050-127286177	+	RNF146	ENST00000608991	0.318	chr5:138511475-138511604	-	ETF1	ENST00000360541	-0.0	HNRNPA2B1
chr4:127938783-127938836	-	MFSD8	ENST00000513559	0.327	chr9:152034-152078	-	ZNG1A	ENST00000356521	0.01	HNRNPA2B1
chr1:32633951-32634110	-	ZBTB8OS	ENST00000465588	-0.477	chr6:169689127-169689308	-	WDR27	ENST00000647873	-0.02	HNRNPA2B1
