exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr16:16162993-16163192	-	ABCC6	ENST00000205557	-0.295	chr20:49228715-49228888	+	DDX27	ENST00000618172	0.01	EWSR1
chr16:19735353-19735450	+	IQCK	ENST00000695302	-0.41	chr9:112716461-112716541	-	INIP	ENST00000374242	-0.02	EWSR1
chr20:35632163-35632234	-	CPNE1	ENST00000397443	-0.11	chr6:30590306-30590378	+	ABCF1	ENST00000326195	-0.0	EWSR1
chr17:78552697-78552805	-	DNAH17	ENST00000389840	-0.389	chr10:1005818-1005907	+	GTPBP4	ENST00000360803	0.0	EWSR1
chr19:1036130-1036246	+	CNN2	ENST00000263097	-0.101	chr11:65543427-65543549	-	LTBP3	ENST00000301873	-0.01	EWSR1
chr8:22080805-22080870	+	DMTN	ENST00000358242	-0.159	chr11:116837345-116837407	-	APOA1	ENST00000236850	-0.0	EWSR1
chr17:8229142-8229206	-	CTC1	ENST00000651323	-0.449	chr20:35630741-35630795	-	CPNE1	ENST00000397443	-0.0	EWSR1
chr12:121857328-121857432	-	HPD	ENST00000289004	-0.107	chr6:30891380-30891479	+	DDR1	ENST00000376568	-0.01	EWSR1
chr3:38126162-38126341	-	ACAA1	ENST00000333167	-0.158	chr2:27131672-27131831	-	PREB	ENST00000260643	-0.02	EWSR1
chr7:151374097-151374243	+	NUB1	ENST00000568733	-0.244	chr3:126016731-126016875	-	SLC41A3	ENST00000360370	-0.01	EWSR1
chr3:28263291-28263380	+	CMC1	ENST00000466830	-0.229	chr6:106248150-106248244	-	ATG5	ENST00000369076	-0.01	EWSR1
chr3:38131596-38131638	-	ACAA1	ENST00000333167	-0.157	chr2:27311899-27311951	-	MPV17	ENST00000380044	0.01	EWSR1
chr7:44760151-44760228	+	ZMIZ2	ENST00000309315	-0.355	chr22:31614789-31614860	+	SFI1	ENST00000400288	0.02	EWSR1
chr15:88899656-88899811	-	MFGE8	ENST00000268150	-0.291	chr16:28958717-28958861	+	NFATC2IP	ENST00000320805	0.01	EWSR1
chr7:44076509-44076629	-	POLM	ENST00000242248	-0.466	chr20:62289207-62289330	+	OSBPL2	ENST00000313733	0.02	EWSR1
chr1:11828458-11828624	+	CLCN6	ENST00000346436	-0.421	chr11:61357203-61357371	-	CYB561A3	ENST00000426130	-0.02	EWSR1
chr3:129559620-129559783	-	PLXND1	ENST00000324093	-0.151	chr17:29086438-29086577	-	MYO18A	ENST00000527372	-0.01	EWSR1
chr3:13496736-13496852	+	HDAC11	ENST00000295757	0.468	chr15:73697596-73697702	+	CD276	ENST00000558689	0.01	EWSR1
