exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	-0.284	chr22:35338713-35338788	+	TOM1	ENST00000449058	0.02	HNRNPL
chr19:35675840-35676019	+	UPK1A	ENST00000222275	-0.458	chr15:64134664-64134807	+	SNX1	ENST00000559844	-0.01	HNRNPL
chr11:6547863-6548040	+	DNHD1	ENST00000254579	-0.645	chr17:1660993-1661162	-	PRPF8	ENST00000304992	0.0	HNRNPL
chr2:17771196-17771287	+	GEN1	ENST00000381254	0.279	chr6:13642479-13642591	-	RANBP9	ENST00000011619	0.0	HNRNPL
chr7:92244002-92244149	-	KRIT1	ENST00000394505	0.416	chr1:186339642-186339772	-	TPR	ENST00000367478	0.0	HNRNPL
chr16:20460107-20460291	+	ACSM2A	ENST00000573854	-0.246	chr5:31472063-31472232	-	DROSHA	ENST00000344624	-0.01	HNRNPL
chr1:143964855-143964979	-	FAM72C	ENST00000584486	0.25	chr1:206195752-206195876	-	FAM72A	ENST00000367128	0.0	HNRNPL
chr4:44722084-44722242	-	GNPDA2	ENST00000295448	-0.373	chrX:129511804-129511983	-	SMARCA1	ENST00000371121	0.0	HNRNPL
chr4:44717113-44717295	-	GNPDA2	ENST00000295448	-0.442	chr3:160404328-160404504	+	SMC4	ENST00000357388	0.01	HNRNPL
chr4:78935121-78935283	-	PAQR3	ENST00000512733	-0.34	chr5:33448541-33448731	+	TARS1	ENST00000265112	-0.01	HNRNPL
chr4:78887174-78887284	+	BMP2K	ENST00000502613	0.388	chr1:62841428-62841547	+	ATG4C	ENST00000317868	-0.01	HNRNPL
chr19:11405323-11405426	-	RGL3	ENST00000380456	0.34	chr1:11838335-11838442	+	CLCN6	ENST00000346436	-0.02	HNRNPL
chr16:30654629-30655214	+	PRR14	ENST00000300835	-0.248	chr17:40095444-40096087	-	NR1D1	ENST00000246672	-0.01	HNRNPL
