exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	0.381	chr22:35338713-35338788	+	TOM1	ENST00000449058	-0.0	KHSRP
chr1:62153358-62153481	+	PATJ	ENST00000642238	0.409	chr5:32263113-32263242	-	MTMR12	ENST00000382142	0.01	KHSRP
chr12:3828910-3829030	-	PARP11	ENST00000228820	-0.498	chr16:18797925-18798044	-	ENSG00000260342	ENST00000567078	-0.0	KHSRP
chr1:15529088-15529272	+	DNAJC16	ENST00000375847	-0.44	chr8:94534839-94535007	-	VIRMA	ENST00000297591	-0.02	KHSRP
chr16:10414574-10414612	+	ATF7IP2	ENST00000562102	0.524	chr11:47506858-47506897	-	CELF1	ENST00000528538	-0.02	KHSRP
chr3:13501871-13501933	+	HDAC11	ENST00000295757	0.161	chr15:40765860-40765921	+	GCHFR	ENST00000559445	0.02	KHSRP
chr3:53855294-53855341	+	IL17RB	ENST00000288167	0.2	chr1:165905921-165905969	+	UCK2	ENST00000367879	0.01	KHSRP
chr9:72363470-72363606	-	ZFAND5	ENST00000376962	0.233	chr2:231463200-231463316	-	NCL	ENST00000322723	-0.0	KHSRP
chr1:56674381-56674522	+	PRKAA2	ENST00000371244	-0.638	chr7:96208838-96208977	-	SLC25A13	ENST00000265631	0.01	KHSRP
chr2:202966978-202967098	+	CARF	ENST00000438828	-0.354	chr6:87524557-87524674	-	RARS2	ENST00000686284	-0.01	KHSRP
chr13:20589811-20589867	+	IFT88	ENST00000351808	0.229	chr9:163978-164037	-	ZNG1A	ENST00000356521	-0.0	KHSRP
chr2:207737411-207737446	+	CCNYL1	ENST00000295414	-0.295	chr18:58248899-58248937	+	NEDD4L	ENST00000400345	0.0	KHSRP
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.193	chrX:20132182-20132263	-	EIF1AX	ENST00000379607	-0.0	KHSRP
chr2:200439122-200439328	+	SPATS2L	ENST00000409140	0.175	chr7:37948840-37949048	+	EPDR1	ENST00000199448	-0.01	KHSRP
chr2:224864-224920	-	SH3YL1	ENST00000356150	0.237	chr1:225783300-225783368	+	SRP9	ENST00000304786	-0.0	KHSRP
chr2:219557343-219557618	-	OBSL1	ENST00000404537	-0.311	chr19:41892603-41892849	+	ARHGEF1	ENST00000354532	0.02	KHSRP
chr19:10547189-10547253	+	ATG4D	ENST00000309469	0.417	chr9:128936583-128936645	+	PHYHD1	ENST00000372592	-0.02	KHSRP
chr19:10546839-10547115	+	ATG4D	ENST00000309469	0.416	chr3:184170006-184170221	+	DVL3	ENST00000313143	-0.01	KHSRP
chr9:136799713-136799790	+	CCDC183	ENST00000338005	0.321	chr19:2343965-2344039	+	SPPL2B	ENST00000613503	0.01	KHSRP
chr10:42636920-42636972	-	ZNF33B	ENST00000359467	0.12	chr11:47625674-47625741	-	MTCH2	ENST00000302503	0.02	KHSRP
chr2:201203730-201203766	+	CASP10	ENST00000286186	0.567	chr2:10684567-10684612	-	NOL10	ENST00000381685	0.01	KHSRP
chr14:30918966-30919106	-	STRN3	ENST00000357479	0.185	chr18:42057883-42058051	+	PIK3C3	ENST00000262039	0.01	KHSRP
chr3:146077862-146077924	-	PLOD2	ENST00000282903	0.212	chr1:163338020-163338093	+	NUF2	ENST00000271452	0.02	KHSRP
chr10:97450357-97450536	+	ZDHHC16	ENST00000393760	-0.496	chr17:75321659-75321827	-	GRB2	ENST00000316804	0.01	KHSRP
chr2:27094800-27094934	+	KHK	ENST00000260598	0.285	chr9:136923852-136924000	+	TRAF2	ENST00000247668	-0.01	KHSRP
chr17:78205440-78205518	+	AFMID	ENST00000409257	0.582	chr11:65111161-65111237	+	VPS51	ENST00000530673	-0.0	KHSRP
chr4:82862534-82862572	-	SEC31A	ENST00000395310	0.171	chr9:2072032-2072067	+	SMARCA2	ENST00000636916	0.02	KHSRP
chrX:45060609-45060764	+	KDM6A	ENST00000611820	0.461	chrX:41343216-41343351	+	DDX3X	ENST00000644876	-0.0	KHSRP
chrX:45060022-45060156	+	KDM6A	ENST00000611820	0.367	chr7:22976693-22976808	-	HYCC1	ENST00000432176	0.02	KHSRP
chr2:38989270-38989314	-	SOS1	ENST00000402219	0.234	chr7:74714857-74714916	+	GTF2I	ENST00000573035	0.01	KHSRP
chr12:53467805-53467843	+	PCBP2	ENST00000546463	0.148	chr1:19149763-19149795	-	UBR4	ENST00000417040	-0.01	KHSRP
chr4:53391430-53391498	+	FIP1L1	ENST00000337488	0.298	chr6:127326496-127326574	-	ECHDC1	ENST00000436638	0.0	KHSRP
chr8:67091803-67091883	+	CSPP1	ENST00000678616	0.386	chr1:63402254-63402343	+	ALG6	ENST00000263440	0.02	KHSRP
chr4:185651784-185651828	-	SORBS2	ENST00000695409	0.343	chr17:5485151-5485216	-	DERL2	ENST00000158771	0.01	KHSRP
chr1:29058589-29058645	+	EPB41	ENST00000343067	0.354	chr11:43318421-43318482	+	API5	ENST00000455725	0.01	KHSRP
chr1:207790253-207790345	+	CD46	ENST00000367042	0.157	chr1:51776833-51776918	+	OSBPL9	ENST00000428468	-0.0	KHSRP
chr17:5108926-5109052	-	ZNF232	ENST00000250076	0.327	chr15:34225536-34225658	+	EMC4	ENST00000557879	-0.01	KHSRP
chr7:74190247-74190306	+	EIF4H	ENST00000265753	0.126	chr7:43887415-43887485	-	URGCP	ENST00000453200	-0.02	KHSRP
chr5:115269703-115269798	-	CCDC112	ENST00000379611	0.445	chrX:120539268-120539372	-	CUL4B	ENST00000371322	0.0	KHSRP
chr9:105539263-105539351	+	FSD1L	ENST00000481272	0.424	chr5:149520290-149520388	-	CSNK1A1	ENST00000377843	0.0	KHSRP
chr15:65651670-65651759	+	SLC24A1	ENST00000261892	0.499	chr5:154822472-154822577	-	FAXDC2	ENST00000326080	-0.0	KHSRP
chr20:47212642-47212725	-	ZMYND8	ENST00000471951	0.226	chr16:66531380-66531469	-	TK2	ENST00000544898	0.01	KHSRP
chr13:36336287-36336358	-	SPART	ENST00000494062	0.326	chr1:27897633-27897707	-	RPA2	ENST00000373912	-0.02	KHSRP
chr6:28144331-28144424	+	ZKSCAN8	ENST00000457389	0.246	chr3:138688875-138688974	-	PIK3CB	ENST00000674063	-0.01	KHSRP
chr8:85219236-85219363	-	RBIS	ENST00000612977	0.15	chr21:39181772-39181878	-	PSMG1	ENST00000331573	-0.01	KHSRP
chr8:85219323-85219363	-	RBIS	ENST00000612809	0.14	chr5:126466294-126466336	+	GRAMD2B	ENST00000542322	-0.0	KHSRP
chr5:66158809-66158932	+	SREK1	ENST00000380918	0.502	chr1:81966058-81966183	+	ADGRL2	ENST00000686636	0.01	KHSRP
chr2:241094277-241094432	-	MTERF4	ENST00000614476	0.325	chr12:50134546-50134702	-	CERS5	ENST00000317551	-0.01	KHSRP
chr3:51971812-51971892	-	ABHD14B	ENST00000525795	-0.258	chr12:54347767-54347844	+	COPZ1	ENST00000262061	0.0	KHSRP
chr3:197161640-197161738	-	DLG1	ENST00000346964	0.299	chr2:119791155-119791272	+	PTPN4	ENST00000420482	0.0	KHSRP
chr12:114679913-114679972	-	TBX3	ENST00000257566	0.244	chr11:62571838-62571901	-	EEF1G	ENST00000329251	-0.0	KHSRP
chr9:83628007-83628211	+	IDNK	ENST00000454393	0.382	chr15:72756251-72756447	-	ADPGK	ENST00000456471	-0.01	KHSRP
chr8:18064457-18064471	-	ASAH1	ENST00000636577	0.208	chr1:222648829-222648850	+	MIA3	ENST00000344922	-0.01	KHSRP
chr8:18064457-18064468	-	ASAH1	ENST00000637528	0.223	chr4:113350228-113350249	+	ANK2	ENST00000357077	-0.01	KHSRP
chr14:73100301-73100362	+	RBM25	ENST00000526754	0.359	chr17:67737071-67737145	+	NOL11	ENST00000253247	0.01	KHSRP
chr12:103953414-103953534	-	UQCC6	ENST00000552940	0.249	chr12:53459272-53459403	+	PCBP2	ENST00000546463	-0.0	KHSRP
chr9:97912873-97912975	-	TRMO	ENST00000375117	0.216	chr18:13114130-13114251	+	CEP192	ENST00000506447	-0.02	KHSRP
chr17:76377304-76377404	+	SPHK1	ENST00000591651	0.468	chr19:1918889-1918990	+	SCAMP4	ENST00000316097	0.01	KHSRP
chr5:180286975-180287067	-	MAPK9	ENST00000523583	0.582	chr16:67125959-67126042	+	PHAF1	ENST00000219139	0.01	KHSRP
chr16:635518-635774	-	METTL26	ENST00000568830	0.435	chr8:144083124-144083303	+	GPAA1	ENST00000355091	0.01	KHSRP
