exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr3:53165104-53165215	+	PRKCD	ENST00000330452	-0.421	chr9:133685193-133685286	-	SARDH	ENST00000439388	-0.02	PPIG
chr16:1346847-1346955	+	BAIAP3	ENST00000426824	-0.405	chr7:73607331-73607420	-	MLXIPL	ENST00000313375	-0.01	PPIG
chr12:2865355-2865399	-	FOXM1	ENST00000359843	-0.297	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	-0.0	PPIG
chr16:70467886-70467966	+	FCSK	ENST00000288078	-0.375	chr1:156137654-156137743	+	LMNA	ENST00000368300	0.01	PPIG
chr4:127939853-127939997	-	MFSD8	ENST00000641686	-0.335	chr5:66177514-66177658	+	SREK1	ENST00000334121	-0.01	PPIG
chrX:124021367-124021431	+	STAG2	ENST00000371145	0.389	chr7:40180947-40180998	+	SUGCT	ENST00000335693	-0.02	PPIG
chr13:95989973-95990073	-	UGGT2	ENST00000376747	0.219	chr13:100262729-100262831	+	PCCA	ENST00000376285	0.02	PPIG
chr2:172568741-172568817	+	PDK1	ENST00000282077	0.207	chr2:43896634-43896708	-	LRPPRC	ENST00000260665	-0.0	PPIG
chr14:39320928-39321056	+	MIA2	ENST00000640607	0.195	chr14:39061765-39061871	-	SEC23A	ENST00000307712	0.0	PPIG
chr22:50457034-50457111	-	SBF1	ENST00000380817	0.335	chr21:45475476-45475535	+	COL18A1	ENST00000651438	0.0	PPIG
chr1:17634548-17634562	+	ARHGEF10L	ENST00000361221	-0.282	chr1:1053461-1053493	+	AGRN	ENST00000620552	0.0	PPIG
chr8:67091803-67091883	+	CSPP1	ENST00000678616	0.357	chrX:55727307-55727390	+	RRAGB	ENST00000262850	0.01	PPIG
chr11:85976623-85976682	-	PICALM	ENST00000393346	0.227	chr4:122313628-122313687	+	BLTP1	ENST00000679879	0.01	PPIG
chr16:85633914-85634132	+	GSE1	ENST00000253458	-0.376	chr12:132508153-132508350	+	FBRSL1	ENST00000680143	-0.02	PPIG
chr3:13047478-13047522	-	IQSEC1	ENST00000648114	-0.258	chr7:158489735-158489785	-	PTPRN2	ENST00000389418	-0.02	PPIG
