exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr2:130161186-130161272	-	SMPD4	ENST00000680298	-0.24	chr16:505524-505627	+	RAB11FIP3	ENST00000262305	0.0	RBFOX2
chr3:66236544-66236700	+	SLC25A26	ENST00000354883	-0.358	chr12:32576266-32576449	+	FGD4	ENST00000534526	0.01	RBFOX2
chr2:17771196-17771287	+	GEN1	ENST00000381254	0.33	chr6:13642479-13642591	-	RANBP9	ENST00000011619	-0.01	RBFOX2
chr3:168040786-168040869	-	GOLIM4	ENST00000470487	-0.705	chr8:17210388-17210480	+	ZDHHC2	ENST00000262096	-0.02	RBFOX2
chr3:105681479-105681610	-	CBLB	ENST00000394030	0.196	chr15:70687540-70687646	-	UACA	ENST00000322954	0.02	RBFOX2
chr15:84886672-84886787	+	SLC28A1	ENST00000394573	0.383	chr7:6580555-6580678	+	ZDHHC4	ENST00000335965	0.0	RBFOX2
chr12:130795995-130796120	-	STX2	ENST00000392373	0.245	chr17:39519956-39520087	+	CDK12	ENST00000447079	0.01	RBFOX2
chr12:2865355-2865399	-	FOXM1	ENST00000359843	-0.493	chr19:35508205-35508240	-	DMKN	ENST00000419602	-0.01	RBFOX2
chr8:89762829-89762982	+	RIPK2	ENST00000220751	-0.481	chr3:195519018-195519185	-	PPP1R2	ENST00000618156	-0.0	RBFOX2
chr4:20712788-20712922	+	PACRGL	ENST00000503585	-0.375	chr1:23338490-23338608	-	HNRNPR	ENST00000302271	-0.01	RBFOX2
chr11:90159239-90159337	+	NAALAD2	ENST00000534061	-0.321	chr11:110236099-110236191	-	RDX	ENST00000645495	-0.0	RBFOX2
chr11:70421470-70421580	+	CTTN	ENST00000301843	-0.267	chr17:41809706-41809834	-	P3H4	ENST00000393928	-0.01	RBFOX2
chr22:31688156-31688227	-	PRR14L	ENST00000327423	0.269	chr2:202275113-202275189	+	NOP58	ENST00000264279	-0.0	RBFOX2
chr13:42313047-42313130	+	AKAP11	ENST00000025301	-0.24	chr3:28341512-28341596	-	AZI2	ENST00000414162	0.02	RBFOX2
chr14:103498502-103498528	+	MARK3	ENST00000429436	-0.794	chr10:7796121-7796155	+	ATP5F1C	ENST00000356708	0.01	RBFOX2
chr2:100988079-100988276	+	NPAS2	ENST00000335681	-0.308	chr16:15691144-15691323	+	NDE1	ENST00000396354	-0.0	RBFOX2
chr2:128156392-128156415	+	UGGT1	ENST00000259253	-0.404	chr12:110436665-110436683	-	ARPC3	ENST00000426440	-0.0	RBFOX2
chr1:92663420-92663452	-	EVI5	ENST00000684568	-0.585	chr14:30721884-30721917	+	SCFD1	ENST00000458591	-0.0	RBFOX2
chr14:23966283-23966417	+	DHRS4	ENST00000313250	-0.223	chr17:44859905-44860045	-	EFTUD2	ENST00000426333	-0.0	RBFOX2
chr1:172577539-172577559	+	SUCO	ENST00000263688	0.383	chr17:51007837-51007851	-	SPAG9	ENST00000511795	-0.0	RBFOX2
chr1:161160366-161160506	+	USP21	ENST00000368002	-0.321	chr17:63830809-63830935	+	PSMC5	ENST00000310144	-0.01	RBFOX2
chr7:90303969-90304106	+	CFAP69	ENST00000389297	0.503	chr1:220025132-220025258	-	EPRS1	ENST00000366923	0.01	RBFOX2
chr12:76074203-76074239	-	NAP1L1	ENST00000618691	0.468	chr1:86887156-86887196	-	SELENOF	ENST00000401030	-0.0	RBFOX2
chr2:241751246-241751388	+	D2HGDH	ENST00000321264	-0.335	chr19:38717927-38718074	+	ACTN4	ENST00000252699	0.0	RBFOX2
chr5:95919424-95919545	-	ELL2	ENST00000237853	0.29	chrX:20209288-20209404	-	RPS6KA3	ENST00000379565	-0.0	RBFOX2
chr17:62035463-62035608	-	MED13	ENST00000397786	0.316	chr17:60271350-60271481	-	USP32	ENST00000300896	-0.02	RBFOX2
chr17:333759-333934	-	RPH3AL	ENST00000331302	-0.502	chr16:67744288-67744455	-	RANBP10	ENST00000317506	0.01	RBFOX2
chr6:144827348-144827386	+	UTRN	ENST00000367545	-0.633	chr12:55800854-55800900	-	SARNP	ENST00000336133	-0.0	RBFOX2
chr5:56911169-56911536	+	SETD9	ENST00000285947	-0.382	chr3:98521133-98521442	-	CLDND1	ENST00000341181	-0.01	RBFOX2
chr5:69562673-69562770	+	GTF2H2C	ENST00000380729	0.47	chr20:37232296-37232391	+	RPN2	ENST00000237530	0.01	RBFOX2
chr3:57865242-57865292	+	SLMAP	ENST00000671191	-0.244	chr12:62588856-62588916	+	MON2	ENST00000546600	-0.01	RBFOX2
chr16:30001414-30001530	+	INO80E	ENST00000563197	-0.215	chr2:240871349-240871449	+	AGXT	ENST00000307503	0.01	RBFOX2
chr11:59109540-59109706	+	FAM111B	ENST00000343597	0.565	chr6:18236452-18236600	-	DEK	ENST00000652689	-0.0	RBFOX2
chr1:6820181-6820250	+	CAMTA1	ENST00000303635	0.23	chr5:96722639-96722698	+	CAST	ENST00000309190	-0.01	RBFOX2
chr13:75809154-75809183	+	LMO7	ENST00000377534	-0.641	chr8:80050445-80050471	-	TPD52	ENST00000518937	0.01	RBFOX2
chr4:159243774-159243791	+	RAPGEF2	ENST00000691494	0.462	chr17:78005058-78005079	+	TNRC6C	ENST00000696270	0.01	RBFOX2
chr8:85115100-85115275	+	LRRCC1	ENST00000360375	-0.226	chr4:68330202-68330310	-	YTHDC1	ENST00000344157	-0.01	RBFOX2
chr15:29719777-29720016	-	TJP1	ENST00000614355	-0.335	chr4:68930546-68930765	-	UGT2A3	ENST00000251566	0.0	RBFOX2
chr5:179617989-179618060	-	HNRNPH1	ENST00000393432	-0.689	chr12:56106990-56107095	+	ENSG00000257411	ENST00000548861	0.0	RBFOX2
chr7:24863200-24863292	-	OSBPL3	ENST00000313367	0.382	chr2:241266537-241266627	-	HDLBP	ENST00000449864	0.0	RBFOX2
chr22:50457034-50457111	-	SBF1	ENST00000380817	-0.253	chr17:81995992-81996065	+	ASPSCR1	ENST00000306739	-0.01	RBFOX2
chr6:90544552-90544632	-	MAP3K7	ENST00000369329	0.366	chr12:15681226-15681302	-	EPS8	ENST00000281172	-0.01	RBFOX2
chr10:97450357-97450536	+	ZDHHC16	ENST00000393760	-0.35	chr14:94306071-94306218	-	SERPINA6	ENST00000341584	-0.0	RBFOX2
