exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.366	chr5:55957209-55957291	-	IL6ST	ENST00000381298	-0.01	TIAL1
chrX:14026140-14026221	-	GEMIN8	ENST00000680255	0.315	chr20:5963274-5963359	+	ENSG00000286235	ENST00000652720	0.01	TIAL1
chr3:66346364-66346408	+	SLC25A26	ENST00000354883	-0.359	chr2:39378066-39378123	-	MAP4K3	ENST00000263881	-0.01	TIAL1
chr1:150556621-150556793	+	ADAMTSL4	ENST00000271643	-0.303	chr11:119049018-119049203	-	HYOU1	ENST00000617285	-0.0	TIAL1
chr10:38094931-38095224	+	ZNF37A	ENST00000685332	-0.525	chr2:197499167-197499438	-	HSPD1	ENST00000439605	0.0	TIAL1
chr20:35632163-35632234	-	CPNE1	ENST00000397443	-0.109	chr6:43018145-43018216	+	KLHDC3	ENST00000326974	-0.0	TIAL1
chr2:97198586-97198658	+	ANKRD36	ENST00000420699	-0.379	chr2:97204191-97204263	+	ANKRD36	ENST00000420699	-0.02	TIAL1
chr5:139477329-139477515	-	STING1	ENST00000330794	-0.463	chr14:24162144-24162324	+	IRF9	ENST00000396864	-0.0	TIAL1
chr2:97209800-97209872	+	ANKRD36	ENST00000420699	-0.475	chr3:45830913-45830990	-	LZTFL1	ENST00000296135	-0.01	TIAL1
chr12:53285924-53286912	+	ESPL1	ENST00000257934	-0.404	chr10:77821082-77822101	-	DLG5	ENST00000372391	0.0	TIAL1
chr22:37095906-37096090	-	TMPRSS6	ENST00000676104	-0.235	chr3:184317321-184317497	+	EIF4G1	ENST00000346169	-0.0	TIAL1
chr1:11658533-11658628	+	FBXO44	ENST00000251547	-0.382	chr8:143992245-143992373	+	GRINA	ENST00000395068	-0.0	TIAL1
chr12:102164438-102164608	+	PARPBP	ENST00000327680	0.242	chr6:85549723-85549879	-	SNX14	ENST00000314673	0.01	TIAL1
