exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr15:42726097-42726160	-	CDAN1	ENST00000356231	-0.524	chr20:35630741-35630795	-	CPNE1	ENST00000397443	-0.01	SMN1
chr14:103107631-103107783	+	EXOC3L4	ENST00000688303	-0.355	chrX:154366024-154366224	-	FLNA	ENST00000369850	-0.02	SMN1
chr2:200439122-200439328	+	SPATS2L	ENST00000409140	0.18	chr7:37948840-37949048	+	EPDR1	ENST00000199448	-0.01	SMN1
chr17:61955680-61955838	-	MED13	ENST00000397786	-0.239	chr2:33585530-33585697	-	FAM98A	ENST00000238823	-0.01	SMN1
chr6:144827348-144827386	+	UTRN	ENST00000367545	-0.204	chr2:135616152-135616193	+	R3HDM1	ENST00000683871	-0.0	SMN1
chr22:50457034-50457111	-	SBF1	ENST00000380817	-0.326	chr7:2652187-2652242	+	TTYH3	ENST00000258796	-0.0	SMN1
chr9:128592983-128593042	+	SPTAN1	ENST00000372739	0.292	chr9:35677790-35677856	+	CA9	ENST00000378357	0.01	SMN1
chr20:44938674-44938748	+	PABPC1L	ENST00000217073	0.281	chr1:161222918-161222994	-	APOA2	ENST00000468465	0.0	SMN1
chr3:9818822-9818920	+	TTLL3	ENST00000685419	-0.367	chr17:57107946-57108048	+	AKAP1	ENST00000314126	0.01	SMN1
chr12:53505135-53505262	+	TARBP2	ENST00000266987	-0.301	chr6:32170937-32171070	-	AGPAT1	ENST00000375107	-0.0	SMN1
chr4:82862534-82862572	-	SEC31A	ENST00000395310	0.18	chr17:62523134-62523177	+	TLK2	ENST00000346027	-0.01	SMN1
chr4:82861631-82861708	-	SEC31A	ENST00000395310	0.249	chr8:67216590-67216662	-	ARFGEF1	ENST00000262215	0.01	SMN1
chr9:35684732-35684807	-	TPM2	ENST00000645482	-0.273	chr3:129556617-129556691	-	PLXND1	ENST00000324093	-0.0	SMN1
chr3:58141858-58141929	+	FLNB	ENST00000295956	0.165	chr16:3658793-3658865	-	TRAP1	ENST00000246957	0.02	SMN1
chr10:110132305-110132400	+	ADD3	ENST00000356080	0.395	chr11:125611428-125611519	+	STT3A	ENST00000392708	-0.0	SMN1
chr14:35548508-35548538	-	RALGAPA1	ENST00000680220	-0.182	chr12:68820885-68820910	+	MDM2	ENST00000544561	0.0	SMN1
chr1:39480920-39481030	+	MACF1	ENST00000564288	0.116	chrX:2877200-2877307	+	GYG2	ENST00000398806	0.01	SMN1
