exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr4:139067684-139067770	-	ELF2	ENST00000686138	-0.182	chr12:16357605-16357699	+	MGST1	ENST00000396210	0.0	ZRANB2
chr2:159764626-159764674	+	MARCHF7	ENST00000409175	-0.163	chr15:65162604-65162645	-	CLPX	ENST00000300107	-0.01	ZRANB2
chr9:74999730-74999870	-	CARNMT1	ENST00000376834	-0.338	chr3:122401376-122401535	+	FAM162A	ENST00000232125	0.0	ZRANB2
chr3:146077862-146077924	-	PLOD2	ENST00000282903	0.193	chr15:48167349-48167401	-	MYEF2	ENST00000324324	0.01	ZRANB2
chr10:78040204-78040225	+	RPS24	ENST00000372360	0.167	chr10:78040201-78040225	+	RPS24	ENST00000435275	0.01	ZRANB2
chr10:96954953-96955957	+	LCOR	ENST00000675537	0.419	chr2:99438601-99439310	-	REV1	ENST00000258428	0.02	ZRANB2
chr17:68514987-68515119	+	PRKAR1A	ENST00000536854	-0.446	chr11:63752507-63752645	+	RTN3	ENST00000377819	-0.0	ZRANB2
chr14:91145221-91145313	+	DGLUCY	ENST00000518868	-0.598	chr16:28581055-28581144	+	SGF29	ENST00000317058	-0.01	ZRANB2
chr12:114679913-114679972	-	TBX3	ENST00000257566	-0.174	chr11:62571838-62571901	-	EEF1G	ENST00000329251	-0.0	ZRANB2
chr10:96954953-96955834	+	LCOR	ENST00000540664	0.419	chr2:61214060-61214694	-	USP34	ENST00000398571	-0.01	ZRANB2
chr10:96954953-96955671	+	LCOR	ENST00000676381	0.411	chr2:23757418-23758101	-	ATAD2B	ENST00000238789	0.01	ZRANB2
chr10:96954953-96955454	+	LCOR	ENST00000676414	0.419	chr2:256207-256690	-	SH3YL1	ENST00000403657	0.02	ZRANB2
