exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.197	chr22:32491086-32491181	+	FBXO7	ENST00000266087	-0.0	HNRNPU
chr17:3648847-3648931	+	CTNS	ENST00000046640	-0.303	chr15:101322520-101322607	-	PCSK6	ENST00000611716	0.01	HNRNPU
chr5:150403121-150403312	-	CD74	ENST00000009530	0.487	chr2:218434526-218434705	+	VIL1	ENST00000248444	0.0	HNRNPU
chr1:41007449-41007545	+	CTPS1	ENST00000650070	-0.255	chr22:37958374-37958471	+	POLR2F	ENST00000492213	0.0	HNRNPU
chr16:89114339-89114487	+	ACSF3	ENST00000614302	-0.249	chr10:6226192-6226365	+	PFKFB3	ENST00000379775	-0.02	HNRNPU
chr10:21682225-21682257	+	MLLT10	ENST00000307729	0.347	chr14:21230319-21230366	-	HNRNPC	ENST00000553300	0.0	HNRNPU
chr19:56826388-56826463	-	PEG3	ENST00000326441	-0.351	chr11:9152358-9152442	-	DENND5A	ENST00000328194	0.02	HNRNPU
chr2:174846880-174846957	-	CHN1	ENST00000409900	-0.432	chr8:116689069-116689140	-	EIF3H	ENST00000522453	0.0	HNRNPU
chr19:44784264-44784401	+	CBLC	ENST00000647358	-0.295	chr1:156259005-156259163	-	SMG5	ENST00000361813	-0.02	HNRNPU
chr14:103571623-103571820	+	COA8	ENST00000409074	-0.251	chr7:149020967-149021147	-	PDIA4	ENST00000652332	-0.0	HNRNPU
chr3:179602652-179602797	-	MRPL47	ENST00000476781	-0.121	chr17:32202770-32202900	+	RHOT1	ENST00000545287	-0.01	HNRNPU
chr7:2544909-2545056	-	BRAT1	ENST00000340611	-0.299	chr19:47086384-47086538	-	ZC3H4	ENST00000253048	-0.0	HNRNPU
chr12:101920109-101920201	+	DRAM1	ENST00000258534	-0.133	chr17:43489449-43489534	+	DHX8	ENST00000262415	-0.02	HNRNPU
chr3:32449454-32449552	+	CMTM7	ENST00000334983	-0.413	chr2:218245420-218245546	+	ARPC2	ENST00000315717	-0.0	HNRNPU
chr7:156688030-156688191	-	LMBR1	ENST00000353442	-0.362	chr1:92380724-92380873	+	RPAP2	ENST00000610020	0.0	HNRNPU
chr12:109579802-109579946	+	MVK	ENST00000228510	-0.265	chr20:25213263-25213406	+	ENTPD6	ENST00000376652	-0.02	HNRNPU
chr12:111746144-111746284	+	ACAD10	ENST00000313698	-0.205	chr17:42021545-42021671	+	NKIRAS2	ENST00000393881	-0.02	HNRNPU
chr16:15047997-15048099	-	NTAN1	ENST00000287706	-0.262	chr5:179715899-179716000	+	CANX	ENST00000680984	-0.0	HNRNPU
chr3:185495154-185495315	-	TMEM41A	ENST00000421852	-0.388	chr20:63994916-63995092	+	PRPF6	ENST00000266079	-0.01	HNRNPU
chr8:56168028-56168386	-	PLAG1	ENST00000316981	0.432	chr7:35635135-35635458	-	HERPUD2	ENST00000311350	-0.01	HNRNPU
chr16:15047855-15047920	-	NTAN1	ENST00000287706	-0.219	chr14:103336036-103336117	+	EIF5	ENST00000216554	0.0	HNRNPU
chr15:80172149-80172248	+	FAH	ENST00000561421	-0.472	chr19:43508775-43508864	-	ETHE1	ENST00000292147	-0.01	HNRNPU
chr3:120644319-120644443	-	HGD	ENST00000283871	-0.348	chr9:125323798-125323923	+	GAPVD1	ENST00000297933	0.01	HNRNPU
chr3:120646267-120646366	-	HGD	ENST00000283871	-0.346	chr2:27479509-27479604	-	IFT172	ENST00000260570	0.02	HNRNPU
chr2:9414178-9414256	-	ITGB1BP1	ENST00000355346	-0.11	chr3:42199177-42199253	+	TRAK1	ENST00000327628	-0.01	HNRNPU
chr12:48695999-48696162	-	CCNT1	ENST00000261900	-0.376	chr14:31101180-31101324	-	HECTD1	ENST00000399332	0.0	HNRNPU
chr9:37781986-37782137	-	EXOSC3	ENST00000327304	-0.243	chr7:56054369-56054503	+	CCT6A	ENST00000275603	0.0	HNRNPU
chr1:155261657-155261734	-	SCAMP3	ENST00000302631	0.181	chr9:127937434-127937523	-	DPM2	ENST00000314392	0.02	HNRNPU
chr15:76295591-76295737	-	ETFA	ENST00000557943	-0.186	chr7:138515212-138515359	+	TRIM24	ENST00000343526	-0.0	HNRNPU
chr9:37842089-37842286	+	DCAF10	ENST00000377724	-0.501	chr9:6460573-6460791	+	UHRF2	ENST00000276893	0.0	HNRNPU
chr2:85560815-85560985	-	GGCX	ENST00000233838	-0.262	chr1:156020013-156020167	-	SSR2	ENST00000295702	-0.0	HNRNPU
chr12:47965282-47965345	+	TMEM106C	ENST00000429772	-0.269	chr11:8684823-8684892	+	RPL27A	ENST00000532359	-0.0	HNRNPU
chr1:143964855-143964979	-	FAM72C	ENST00000584486	-0.294	chr1:206195752-206195876	-	FAM72A	ENST00000367128	-0.02	HNRNPU
chr8:47728933-47729047	+	SPIDR	ENST00000297423	-0.243	chr1:36091244-36091340	+	ADPRS	ENST00000373178	0.02	HNRNPU
chr12:123203250-123203375	-	MPHOSPH9	ENST00000606320	-0.336	chr10:12149595-12149726	+	SEC61A2	ENST00000298428	0.02	HNRNPU
chr1:11828458-11828624	+	CLCN6	ENST00000346436	-0.346	chr17:7585946-7586078	+	MPDU1	ENST00000250124	0.02	HNRNPU
chr12:2865355-2865399	-	FOXM1	ENST00000359843	0.269	chr17:38778334-38778372	-	PIP4K2B	ENST00000619039	0.01	HNRNPU
chr12:2885283-2885534	+	RHNO1	ENST00000489288	-0.152	chr10:22541804-22542047	-	PIP4K2A	ENST00000376573	0.01	HNRNPU
chr12:26976260-26976357	-	TM7SF3	ENST00000343028	-0.283	chr5:146172687-146172774	-	LARS1	ENST00000394434	-0.02	HNRNPU
chr12:26979784-26979936	-	TM7SF3	ENST00000343028	-0.474	chr14:64454723-64454875	+	MTHFD1	ENST00000652337	-0.0	HNRNPU
chr19:40240045-40240110	-	AKT2	ENST00000392038	-0.142	chr19:18926303-18926377	+	DDX49	ENST00000247003	-0.02	HNRNPU
chr11:47259180-47259259	+	NR1H3	ENST00000441012	0.42	chr20:37401602-37401678	+	SRC	ENST00000373578	0.01	HNRNPU
chr4:75918761-75918789	-	NAAA	ENST00000286733	-0.479	chr6:28907236-28907262	-	TRIM27	ENST00000377199	0.01	HNRNPU
chr9:109454496-109454574	-	PTPN3	ENST00000374541	-0.32	chr1:151227320-151227400	+	PIP5K1A	ENST00000368888	-0.01	HNRNPU
chr3:50300988-50301077	-	HYAL1	ENST00000395144	-0.148	chr20:37383757-37383874	+	SRC	ENST00000692423	-0.0	HNRNPU
chr11:8912453-8912533	+	AKIP1	ENST00000309377	-0.607	chr11:34143445-34143528	+	NAT10	ENST00000257829	-0.0	HNRNPU
chr3:58412901-58412963	+	PXK	ENST00000356151	-0.448	chr20:51689064-51689139	-	ATP9A	ENST00000338821	0.01	HNRNPU
chr11:85631687-85631808	+	TMEM126B	ENST00000358867	-0.189	chr15:50596255-50596381	-	TRPM7	ENST00000646667	-0.02	HNRNPU
chr3:53849655-53849795	+	IL17RB	ENST00000288167	-0.135	chr6:31937319-31937459	+	C2	ENST00000299367	0.0	HNRNPU
chr9:33071740-33071892	-	SMU1	ENST00000397149	-0.17	chr16:70532479-70532620	+	SF3B3	ENST00000302516	0.0	HNRNPU
chr16:3777613-3777657	-	CREBBP	ENST00000262367	-0.287	chr22:41607262-41607331	-	DESI1	ENST00000263256	-0.01	HNRNPU
chr8:76988307-76988338	-	PEX2	ENST00000357039	0.132	chr14:52744852-52744884	+	STYX	ENST00000354586	-0.02	HNRNPU
chr16:50072605-50072714	+	HEATR3	ENST00000299192	-0.331	chr16:11733982-11734079	-	TXNDC11	ENST00000283033	-0.01	HNRNPU
chr11:71982761-71982915	+	RNF121	ENST00000361756	-0.247	chr1:161356677-161356840	+	SDHC	ENST00000367975	-0.02	HNRNPU
chr4:112548253-112548380	-	ZGRF1	ENST00000505019	-0.887	chr15:64118117-64118244	+	SNX1	ENST00000559844	-0.01	HNRNPU
chr4:106194718-106194754	-	TBCK	ENST00000394708	0.168	chr10:21681332-21681376	+	MLLT10	ENST00000307729	0.02	HNRNPU
chr4:103057801-103057971	-	SLC9B2	ENST00000394785	0.253	chr8:102849987-102850144	-	AZIN1	ENST00000684566	0.02	HNRNPU
chr2:85355555-85355598	+	ELMOD3	ENST00000409013	-0.317	chr15:74904664-74904712	-	FAM219B	ENST00000357635	0.01	HNRNPU
chr22:40364880-40365056	+	ADSL	ENST00000623063	-0.164	chr12:7932987-7933147	-	SLC2A3	ENST00000075120	-0.0	HNRNPU
chr8:140514369-140514495	+	CHRAC1	ENST00000220913	-0.299	chr1:150231777-150231926	-	ANP32E	ENST00000583931	0.01	HNRNPU
chr7:99498716-99498842	-	ZNF394	ENST00000337673	0.497	chr5:141925410-141925527	+	DELE1	ENST00000432126	-0.01	HNRNPU
chr1:45690974-45691110	+	TMEM69	ENST00000372025	-0.165	chr7:56017234-56017379	-	PSPH	ENST00000275605	0.0	HNRNPU
chr1:65429862-65430048	+	LEPROT	ENST00000371065	-0.245	chr12:1777854-1778025	+	ADIPOR2	ENST00000357103	-0.0	HNRNPU
chr9:71734806-71734994	-	CEMIP2	ENST00000377044	-0.159	chr11:113817658-113817837	-	USP28	ENST00000696973	-0.02	HNRNPU
chr13:51960148-51960322	-	ATP7B	ENST00000242839	-0.223	chr6:31732217-31732398	-	CLIC1	ENST00000375784	-0.0	HNRNPU
chr13:51961837-51961913	-	ATP7B	ENST00000242839	-0.237	chr3:50068690-50068764	+	RBM6	ENST00000266022	-0.01	HNRNPU
chr13:40807294-40807463	+	SLC25A15	ENST00000338625	-0.323	chr3:139346878-139347044	+	MRPS22	ENST00000680020	-0.0	HNRNPU
chr2:163734903-163735072	-	FIGN	ENST00000333129	0.334	chr21:37430269-37430400	+	DYRK1A	ENST00000642309	-0.02	HNRNPU
chr1:37796744-37796820	+	MANEAL	ENST00000373045	0.169	chr6:42974003-42974086	-	PEX6	ENST00000304611	0.02	HNRNPU
chr2:113717753-113717850	-	SLC35F5	ENST00000245680	-0.131	chr15:72563394-72563500	+	ARIH1	ENST00000379887	-0.01	HNRNPU
chr20:34585437-34585580	-	PIGU	ENST00000217446	-0.173	chrX:152862596-152862724	+	NSDHL	ENST00000370274	-0.0	HNRNPU
chr9:96321998-96322080	-	SLC35D2	ENST00000253270	-0.266	chr1:8867988-8868057	-	ENO1	ENST00000234590	-0.0	HNRNPU
chr14:74293154-74293248	-	ABCD4	ENST00000356924	0.192	chr1:6632391-6632495	+	THAP3	ENST00000054650	-0.02	HNRNPU
chr14:23565816-23565892	-	AP1G2	ENST00000397120	-0.334	chr12:56236931-56237011	+	SLC39A5	ENST00000454355	-0.01	HNRNPU
chrX:103254605-103254677	-	TCEAL8	ENST00000372685	-0.286	chrX:71251178-71251244	-	ZMYM3	ENST00000314425	-0.02	HNRNPU
chr14:23639179-23639356	+	DHRS2	ENST00000250383	0.243	chr17:4890951-4891124	+	MINK1	ENST00000355280	0.02	HNRNPU
chr20:3213169-3213226	+	ITPA	ENST00000380113	-0.224	chr12:105195585-105195627	-	APPL2	ENST00000258530	0.02	HNRNPU
chr21:46636439-46636547	+	PRMT2	ENST00000355680	0.506	chr12:43805524-43805637	-	TWF1	ENST00000546662	-0.0	HNRNPU
chr21:46196202-46196267	-	LSS	ENST00000397728	-0.231	chr15:74854581-74854649	-	SCAMP2	ENST00000268099	0.01	HNRNPU
chr1:183806375-183806485	+	RGL1	ENST00000360851	-0.395	chrX:43657862-43657969	+	MAOA	ENST00000542639	-0.0	HNRNPU
chr12:57292572-57292667	-	R3HDM2	ENST00000402412	-0.402	chr7:129400290-129400384	+	AHCYL2	ENST00000325006	-0.02	HNRNPU
chr15:66495330-66495419	-	SNAPC5	ENST00000316634	-0.366	chr1:8876199-8876302	-	ENO1	ENST00000646906	-0.0	HNRNPU
chrX:19354491-19354583	+	PDHA1	ENST00000422285	-0.346	chr15:43768489-43768597	+	PDIA3	ENST00000300289	-0.0	HNRNPU
chr9:5805611-5805785	-	ERMP1	ENST00000339450	-0.271	chr6:159780935-159781110	-	TCP1	ENST00000321394	0.0	HNRNPU
chr2:27774424-27774530	+	MRPL33	ENST00000296102	-0.298	chr3:47101458-47101555	-	SETD2	ENST00000409792	0.0	HNRNPU
chr8:22591551-22591668	+	PDLIM2	ENST00000409417	-0.268	chr2:11578297-11578431	+	GREB1	ENST00000381486	-0.01	HNRNPU
chr12:68316581-68316610	-	MDM1	ENST00000682720	0.44	chr1:100878424-100878447	-	EXTL2	ENST00000450240	0.0	HNRNPU
chr2:74205705-74205889	+	MTHFD2	ENST00000394053	-0.157	chr20:1445666-1445830	-	NSFL1C	ENST00000216879	0.0	HNRNPU
chr12:50087363-50087485	+	SMARCD1	ENST00000394963	-0.326	chr1:153761570-153761676	+	INTS3	ENST00000318967	-0.02	HNRNPU
chr12:50088521-50088637	+	SMARCD1	ENST00000394963	-0.247	chr20:17955365-17955475	-	SNX5	ENST00000377759	-0.0	HNRNPU
chr12:51052092-51052207	+	LETMD1	ENST00000262055	-0.607	chr17:42498924-42499042	+	ATP6V0A1	ENST00000343619	-0.01	HNRNPU
chr12:51053778-51053860	+	LETMD1	ENST00000262055	-0.568	chr3:184366717-184366800	+	POLR2H	ENST00000456318	-0.0	HNRNPU
chr2:61838538-61838705	-	FAM161A	ENST00000404929	-0.502	chr8:26363721-26363890	+	PPP2R2A	ENST00000380737	0.01	HNRNPU
chr1:161160366-161160506	+	USP21	ENST00000368002	-0.427	chr17:63830809-63830935	+	PSMC5	ENST00000310144	-0.0	HNRNPU
chr7:65979727-65979911	-	GUSB	ENST00000304895	-0.177	chr1:26280765-26280932	+	SH3BGRL3	ENST00000270792	-0.0	HNRNPU
chr8:18064457-18064531	-	ASAH1	ENST00000637790	-0.181	chr17:43177936-43177998	+	NBR1	ENST00000590996	-0.01	HNRNPU
chr1:229286486-229286566	+	RAB4A	ENST00000366690	-0.494	chr8:17265907-17265981	+	VPS37A	ENST00000324849	0.01	HNRNPU
chr2:215380811-215381080	-	FN1	ENST00000354785	0.167	chr4:82827369-82827632	-	SEC31A	ENST00000395310	0.0	HNRNPU
chr1:229288729-229288843	+	RAB4A	ENST00000366690	-0.198	chr6:151427482-151427582	-	RMND1	ENST00000444024	-0.01	HNRNPU
chr1:23810736-23810799	-	HMGCL	ENST00000374490	-0.465	chr19:49351301-49351365	-	TEAD2	ENST00000593945	-0.01	HNRNPU
chr1:23814190-23814338	-	HMGCL	ENST00000374490	-0.474	chr1:10467190-10467332	-	DFFA	ENST00000377038	0.02	HNRNPU
chr1:23796509-23796586	-	GALE	ENST00000617979	-0.154	chr22:20996886-20996966	+	LZTR1	ENST00000646124	0.01	HNRNPU
chr2:200860125-200860215	-	CLK1	ENST00000321356	0.298	chr4:154546123-154546213	-	PLRG1	ENST00000499023	0.0	HNRNPU
chr2:200439122-200439328	+	SPATS2L	ENST00000409140	0.325	chr9:122984485-122984719	+	RABGAP1	ENST00000373647	-0.01	HNRNPU
chr7:90355086-90355230	+	GTPBP10	ENST00000222511	0.296	chrX:115610803-115610921	+	PLS3	ENST00000289290	-0.0	HNRNPU
chr2:190208880-190208913	-	HIBCH	ENST00000359678	-0.21	chr14:58219694-58219729	+	ACTR10	ENST00000254286	0.01	HNRNPU
chr1:205772496-205772567	-	RAB29	ENST00000367139	-0.487	chr12:110036261-110036328	+	ANKRD13A	ENST00000261739	-0.01	HNRNPU
