exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr16:2527561-2527615	+	AMDHD2	ENST00000293971	0.232	chr16:1361743-1361797	+	GNPTG	ENST00000204679	-0.0	STAU1
chr9:36581644-36581739	+	MELK	ENST00000298048	-0.368	chr12:122492715-122492789	-	ZCCHC8	ENST00000633063	0.01	STAU1
chr11:57496031-57496164	-	SLC43A1	ENST00000278426	0.421	chr6:35421820-35421958	+	PPARD	ENST00000360694	-0.02	STAU1
chr13:72731281-72731387	+	BORA	ENST00000390667	0.369	chr2:39265203-39265306	-	MAP4K3	ENST00000263881	-0.01	STAU1
chr14:39124992-39125036	+	GEMIN2	ENST00000308317	0.216	chr10:114451624-114451671	-	ABLIM1	ENST00000533213	0.0	STAU1
chr15:58912563-58912610	-	SLTM	ENST00000380516	0.344	chr1:212349189-212349242	+	PPP2R5A	ENST00000261461	0.02	STAU1
chr5:82252562-82252659	+	ATG10	ENST00000282185	-0.54	chr2:138000918-138001025	+	HNMT	ENST00000280097	-0.0	STAU1
chr3:121719646-121719768	-	GOLGB1	ENST00000614479	0.393	chr3:100375018-100375152	-	TOMM70	ENST00000284320	-0.01	STAU1
chr10:110918121-110918213	-	BBIP1	ENST00000448814	0.302	chr12:102061248-102061346	-	WASHC3	ENST00000240079	-0.01	STAU1
chr7:158752781-158752843	-	ESYT2	ENST00000275418	0.207	chr14:54436369-54436437	-	CNIH1	ENST00000216416	-0.0	STAU1
chr17:49636759-49636809	-	SPOP	ENST00000665825	-0.882	chr2:190310754-190310796	-	HIBCH	ENST00000359678	0.0	STAU1
chr1:54258069-54258149	-	SSBP3	ENST00000610401	0.325	chr22:23309424-23309483	+	BCR	ENST00000305877	0.01	STAU1
chr17:49668027-49668078	-	SPOP	ENST00000514121	0.222	chr3:47902950-47903000	-	MAP4	ENST00000683076	-0.0	STAU1
chr7:150370760-150370884	+	REPIN1	ENST00000397281	-0.493	chr20:45909942-45910070	-	PLTP	ENST00000372431	-0.01	STAU1
chr16:2527573-2527615	+	AMDHD2	ENST00000563556	0.495	chr19:4028146-4028187	+	PIAS4	ENST00000262971	0.02	STAU1
