exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr15:25411908-25411971	-	UBE3A	ENST00000648336	0.738	chr6:79696485-79696565	+	SH3BGRL2	ENST00000369838	-0.02	FUS
chr15:25409088-25409207	-	UBE3A	ENST00000648336	0.446	chr5:163478684-163478800	+	HMMR	ENST00000393915	0.01	FUS
chr1:15529088-15529272	+	DNAJC16	ENST00000375847	-0.295	chr2:9436211-9436361	+	CPSF3	ENST00000238112	0.0	FUS
chr16:635281-635340	-	METTL26	ENST00000301686	0.439	chr19:1399524-1399587	-	GAMT	ENST00000252288	-0.0	FUS
chr3:50104248-50104308	+	RBM5	ENST00000347869	0.157	chr12:122586701-122586757	+	KNTC1	ENST00000333479	0.02	FUS
chr9:70346605-70346649	+	SMC5	ENST00000361138	0.249	chr1:81989657-81989709	+	ADGRL2	ENST00000370715	-0.02	FUS
chrX:124021367-124021431	+	STAG2	ENST00000371145	0.456	chr7:40180947-40180998	+	SUGCT	ENST00000335693	0.02	FUS
chr14:37606663-37606742	+	TTC6	ENST00000553443	0.42	chr20:25259237-25259338	+	PYGB	ENST00000216962	-0.01	FUS
chr1:212887891-212888001	+	FLVCR1	ENST00000366971	0.311	chr4:169007636-169007756	-	CBR4	ENST00000306193	0.01	FUS
chr2:227352514-227352573	+	MFF	ENST00000304593	-0.254	chr10:218455-218499	+	ZMYND11	ENST00000397955	-0.01	FUS
chr2:227347226-227347384	+	MFF	ENST00000304593	-0.188	chr4:42070526-42070691	+	SLC30A9	ENST00000264451	-0.01	FUS
chr16:88611268-88611536	+	ZC3H18	ENST00000301011	-0.397	chr17:82415398-82415627	-	OGFOD3	ENST00000313056	-0.01	FUS
chr9:131504189-131504340	+	POMT1	ENST00000402686	-0.321	chr1:40980886-40981043	+	CTPS1	ENST00000649124	0.01	FUS
chr18:14124350-14124476	-	ZNF519	ENST00000590202	-0.393	chr9:26961949-26962087	+	IFT74	ENST00000380062	0.0	FUS
chr13:75809154-75809183	+	LMO7	ENST00000377534	0.175	chr2:32175319-32175361	+	SLC30A6	ENST00000282587	0.0	FUS
chr13:113110690-113110850	+	F7	ENST00000346342	-0.43	chr7:5287809-5287985	+	SLC29A4	ENST00000396872	-0.0	FUS
chr3:33408690-33408797	-	UBP1	ENST00000283629	0.252	chr6:10989703-10989837	-	ELOVL2	ENST00000354666	0.0	FUS
chr14:30918966-30919106	-	STRN3	ENST00000357479	0.204	chr18:42057883-42058051	+	PIK3C3	ENST00000262039	-0.01	FUS
chr15:44402887-44403054	+	GOLM2	ENST00000299957	0.24	chr2:218509979-218510140	-	USP37	ENST00000258399	-0.02	FUS
chr10:78040204-78040225	+	RPS24	ENST00000372360	0.186	chr10:78040201-78040225	+	RPS24	ENST00000435275	0.02	FUS
chr2:135616668-135616757	+	R3HDM1	ENST00000683871	0.267	chr12:14457207-14457295	+	ATF7IP	ENST00000261168	0.02	FUS
chr10:113158667-113158717	+	TCF7L2	ENST00000355995	0.422	chr17:57981873-57981936	-	VEZF1	ENST00000581208	0.0	FUS
chr17:32366665-32366757	+	ZNF207	ENST00000394670	0.19	chr4:70200497-70200601	+	ODAM	ENST00000683306	-0.01	FUS
chr10:110918121-110918213	-	BBIP1	ENST00000448814	0.248	chr15:58932356-58932443	-	SLTM	ENST00000380516	0.02	FUS
chr16:15086365-15086454	-	RRN3	ENST00000198767	0.176	chr2:169805474-169805577	+	SSB	ENST00000260956	-0.0	FUS
chr10:24494500-24494604	+	KIAA1217	ENST00000376454	-0.304	chr16:69447150-69447278	+	CYB5B	ENST00000307892	0.0	FUS
chr7:74190247-74190306	+	EIF4H	ENST00000265753	0.179	chrX:101041317-101041371	-	TRMT2B	ENST00000372936	0.01	FUS
chr2:241317499-241317599	+	SEPTIN2	ENST00000360051	0.172	chr5:138812183-138812302	+	CTNNA1	ENST00000302763	-0.0	FUS
chr7:22946952-22947247	-	HYCC1	ENST00000409923	-0.322	chr1:227112671-227112913	-	CDC42BPA	ENST00000366766	-0.01	FUS
chr12:114679913-114679972	-	TBX3	ENST00000257566	0.306	chr11:62571838-62571901	-	EEF1G	ENST00000329251	-0.0	FUS
chr9:125335172-125335252	+	GAPVD1	ENST00000394105	0.347	chr17:63754433-63754518	-	CCDC47	ENST00000225726	-0.0	FUS
chr19:11039458-11039553	+	SMARCA4	ENST00000642726	0.212	chr14:75639352-75639462	+	FLVCR2	ENST00000238667	-0.01	FUS
chr5:57237113-57237172	+	GPBP1	ENST00000424459	0.321	chr14:35107304-35107374	-	PPP2R3C	ENST00000261475	0.02	FUS
chr15:25407067-25407228	-	UBE3A	ENST00000438097	-0.378	chr6:99412551-99412739	-	PNISR	ENST00000369239	-0.01	FUS
chr15:25407067-25407212	-	UBE3A	ENST00000638155	-0.395	chr1:147265932-147266087	+	CHD1L	ENST00000369258	-0.0	FUS
chr15:25407067-25407137	-	UBE3A	ENST00000428984	-0.424	chr3:152458130-152458193	+	MBNL1	ENST00000485509	0.02	FUS
chr14:73100301-73100362	+	RBM25	ENST00000526754	0.213	chr17:67737071-67737145	+	NOL11	ENST00000253247	0.0	FUS
chr12:131963532-131963642	+	EP400	ENST00000333577	0.422	chr2:26230192-26230294	-	HADHA	ENST00000380649	0.0	FUS
chr9:97912873-97912975	-	TRMO	ENST00000375117	0.295	chr18:13114130-13114251	+	CEP192	ENST00000506447	-0.01	FUS
chr6:63550300-63550493	+	PTP4A1	ENST00000639568	0.207	chr14:75882685-75882902	+	TTLL5	ENST00000298832	0.02	FUS
