exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chrX:30727466-30727552	+	GK	ENST00000427190	-0.283	chr6:83175962-83176060	-	PGM3	ENST00000513973	0.0	DAZAP1
chr1:150549822-150549895	+	ADAMTSL4	ENST00000271643	-0.54	chr19:2112860-2112931	-	AP3D1	ENST00000700387	-0.02	DAZAP1
chr4:1939654-1939778	+	NSD2	ENST00000508803	-0.218	chr14:64390337-64390467	+	MTHFD1	ENST00000697173	-0.0	DAZAP1
chr4:106194718-106194754	-	TBCK	ENST00000394708	-0.377	chr10:24622733-24622762	-	ARHGAP21	ENST00000396432	-0.02	DAZAP1
chr4:103028747-103028883	-	SLC9B2	ENST00000394785	-0.242	chrX:41150921-41151057	+	USP9X	ENST00000378308	-0.01	DAZAP1
chr14:96560649-96560711	+	PAPOLA	ENST00000216277	-0.43	chr7:87849881-87849948	-	SLC25A40	ENST00000341119	0.01	DAZAP1
chr14:96562819-96562893	+	PAPOLA	ENST00000216277	-0.286	chr10:69008841-69008925	+	KIFBP	ENST00000361983	-0.01	DAZAP1
chrX:107154096-107154246	-	NUP62CL	ENST00000372466	0.254	chr4:76995781-76995938	+	SEPTIN11	ENST00000510515	0.0	DAZAP1
chr1:74707103-74707204	-	CRYZ	ENST00000340866	-0.209	chr2:11198681-11198774	-	ROCK2	ENST00000315872	-0.0	DAZAP1
chr1:54017376-54017427	-	LDLRAD1	ENST00000371360	-0.388	chr22:20726488-20726541	-	PI4KA	ENST00000255882	0.01	DAZAP1
chr1:32631827-32631879	-	ZBTB8OS	ENST00000468695	-0.348	chr20:6094939-6094988	-	FERMT1	ENST00000217289	0.0	DAZAP1
chr1:43992523-43992639	+	CCDC24	ENST00000372318	0.484	chr12:53119124-53119253	+	SOAT2	ENST00000301466	-0.02	DAZAP1
chr13:95860788-95860883	-	UGGT2	ENST00000376747	-0.242	chr12:82354495-82354594	-	CCDC59	ENST00000256151	-0.0	DAZAP1
chr14:55061680-55061701	+	MAPK1IP1L	ENST00000395468	-0.209	chr10:7796121-7796155	+	ATP5F1C	ENST00000356708	-0.01	DAZAP1
chr12:55997615-55997723	+	SUOX	ENST00000266971	0.234	chr5:908355-908461	+	TRIP13	ENST00000166345	0.02	DAZAP1
chr1:18886464-18886511	-	ALDH4A1	ENST00000375341	-0.128	chr22:41338313-41338355	+	ZC3H7B	ENST00000352645	-0.01	DAZAP1
chr7:90355086-90355230	+	GTPBP10	ENST00000222511	-0.37	chrX:115610803-115610921	+	PLS3	ENST00000289290	0.0	DAZAP1
chr7:90372155-90372228	+	GTPBP10	ENST00000222511	-0.29	chr2:134336217-134336288	+	MGAT5	ENST00000281923	-0.02	DAZAP1
chr13:32344558-32344653	+	BRCA2	ENST00000380152	-0.547	chr7:87843754-87843863	-	SLC25A40	ENST00000341119	0.02	DAZAP1
chr1:212375193-212375300	-	PACC1	ENST00000261455	-0.235	chr8:73969560-73969673	-	ELOC	ENST00000522337	0.01	DAZAP1
chr5:115895087-115895158	+	AP3S1	ENST00000316788	-0.142	chr2:171028339-171028405	-	TLK1	ENST00000431350	0.0	DAZAP1
chr17:59119319-59119495	-	SKA2	ENST00000330137	-0.394	chr6:149638386-149638560	-	KATNA1	ENST00000367411	-0.02	DAZAP1
chr17:59131281-59131367	-	SKA2	ENST00000330137	-0.303	chr3:45446891-45446980	+	LARS2	ENST00000645846	-0.01	DAZAP1
chr14:39320928-39321056	+	MIA2	ENST00000640607	-0.193	chr2:237089862-237089994	+	COPS8	ENST00000354371	-0.01	DAZAP1
chr6:127316450-127316502	-	ECHDC1	ENST00000454859	-0.208	chr2:113453139-113453198	+	ZNG1B	ENST00000259199	0.0	DAZAP1
chr12:111943265-111943369	-	TMEM116	ENST00000552374	0.308	chrX:72495156-72495268	-	HDAC8	ENST00000373573	-0.0	DAZAP1
chr8:61643945-61644001	-	ASPH	ENST00000379454	0.121	chr4:73420254-73420321	+	ALB	ENST00000295897	-0.0	DAZAP1
chr14:104715284-104715340	+	INF2	ENST00000392634	-0.435	chr1:19344358-19344434	-	CAPZB	ENST00000264202	0.0	DAZAP1
chr10:28595733-28596041	+	WAC	ENST00000354911	-0.197	chr2:63933673-63934013	-	VPS54	ENST00000272322	0.01	DAZAP1
chr6:90518447-90518562	-	MAP3K7	ENST00000369329	-0.221	chr11:28090617-28090727	-	KIF18A	ENST00000263181	0.01	DAZAP1
chr19:42511576-42511628	-	CEACAM1	ENST00000161559	0.223	chr2:112020604-112020654	+	MERTK	ENST00000449344	-0.01	DAZAP1
chr5:37157313-37157420	-	CPLANE1	ENST00000651892	0.569	chr16:11761406-11761511	-	ZC3H7A	ENST00000355758	-0.01	DAZAP1
chr6:75640684-75640704	+	SENP6	ENST00000447266	-0.392	chr6:13652659-13652681	-	RANBP9	ENST00000011619	-0.01	DAZAP1
chr8:17554560-17554699	+	SLC7A2	ENST00000494857	-0.298	chr7:30612096-30612245	+	GARS1	ENST00000389266	0.0	DAZAP1
chr2:39307943-39308005	-	MAP4K3	ENST00000263881	-0.297	chr2:135932783-135932842	-	DARS1	ENST00000264161	-0.0	DAZAP1
chr1:17634548-17634562	+	ARHGEF10L	ENST00000361221	-0.262	chr10:97752857-97752877	+	ZFYVE27	ENST00000684270	-0.01	DAZAP1
chr19:10808569-10808580	+	DNM2	ENST00000389253	-0.344	chr10:122245065-122245073	+	TACC2	ENST00000635597	0.01	DAZAP1
chr10:31839637-31839711	-	ARHGAP12	ENST00000344936	-0.501	chr2:58163434-58163517	-	FANCL	ENST00000233741	-0.0	DAZAP1
chr6:167913403-167913423	+	AFDN	ENST00000683244	-0.185	chr18:74256830-74256853	-	CYB5A	ENST00000494131	0.0	DAZAP1
chr4:122226707-122226835	+	BLTP1	ENST00000679879	-0.409	chr4:140540168-140540301	+	ELMOD2	ENST00000323570	0.01	DAZAP1
chr12:55999333-55999458	+	SUOX	ENST00000394115	0.53	chr22:41894820-41894937	+	SREBF2	ENST00000361204	-0.01	DAZAP1
chr7:22946952-22947247	-	HYCC1	ENST00000409923	0.335	chr9:70297966-70298221	+	SMC5	ENST00000361138	-0.02	DAZAP1
chr16:491134-491268	+	RAB11FIP3	ENST00000434585	-0.275	chr7:76060373-76060498	+	MDH2	ENST00000315758	-0.0	DAZAP1
chr2:232734417-232734486	+	GIGYF2	ENST00000409547	0.476	chrX:133700617-133700709	-	GPC3	ENST00000692084	-0.0	DAZAP1
